Player,Season,Age,Team,Shot_/90,Passes_completed,Passes_attempted,Passes_completition%,Crosses_into18yard_box,TotProgressive_passes,Attempted_long_passes,PrgDist_Carries,Carries_10yards_forward,Carries_into18yard_box,Miscontrols,Dispossesd,Goal_creating_actions,Shot_creating_actions,Aerials_Won%,Yellow_cards,Fouls_committed,Fouls_drawn,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Succ_Takes_on%,Touches_Def__3rd,Touches_Mid__3rd,Touches_Att__3rd,Role,Tier_league
Jemerson,2021-2022,28,Metz,0.13,40,30.7,36.3,0.1,527.4,1.9,63,0.4,0.1,0.7,0.3,0,0.3,40.6,0.2,1.3,0.5,1.9,1.3,0.6,1.7,0.6,1.1,1.9,4.6,2.5,2.7,2.5,0,0.6,0,75,27.5,19.9,0.9,CB,0
Jimmy Giraudon,2017-2018,25,Troyes,0.12,25,33.9,42.8,0.2,752.1,7,110.2,0.3,0.1,0.4,0.1,0,0.3,60.3,0.2,0.6,0.5,0.7,0.4,0.3,1.3,0.9,0.3,1.3,2.5,5.5,2.5,2.4,0,0.5,0,100,28.7,23.2,1.2,CB,0
Joachim Andersen,2019-2020,23,Lyon,0.6,70.2,78.4,89.6,0,440.7,12.3,178.1,0.4,0,0.2,0.1,0,0.9,69.4,0.2,1,0.2,0.5,0.4,0.7,0.9,0.7,0.2,0.6,1.6,4.4,1.6,0.1,1.1,0.1,0.1,100,42.9,42.4,1.9,CB,0
Jonathan Gradit,2018-2019,25,Caen,0.03,0,33.1,41.1,0.5,605.8,3.6,104.5,1.9,0.1,0.8,0.5,0,0.7,37.1,0,0.9,1.7,1.3,1.3,1.1,1.8,0.7,1.1,2,4.3,3.7,4.1,0.6,0,0.2,0.7,70,21.4,27,5.5,CB,0
Jonathan Gradit,2020-2021,27,Lens,0.02,0,48.1,55.5,0.2,971.9,6.5,201.9,2.3,0,0.8,0.4,0.1,0.9,50.5,0.3,1.6,2,1.2,0.7,0.5,1.2,0.6,0.6,1.8,3.7,2.6,2.3,1.8,0.1,1,0.1,70.8,21.9,41.1,3,CB,0
Jonathan Gradit,2021-2022,28,Lens,0.02,0,54,60.8,0.4,984.5,4.9,176.9,1.9,0.1,0.4,0.3,0.1,1.2,47.5,0.2,1.2,1.1,0.8,0.7,0.6,1.1,0.8,0.4,1.9,3.7,3.1,1.6,1.3,0.1,0.8,0.3,76.2,23,44,3.9,CB,0
Jonathan Panzo,2020-2021,19,Dijon,0.06,40,47.5,54.8,0.1,948.3,5.8,117,0.7,0,0.4,0.1,0,0.2,61.9,0.2,1.4,0.4,0.6,0.4,0.1,1.3,0.6,0.7,2.9,3.8,4.5,1.4,1.3,0,0,0,93.3,41.8,24.1,1.3,CB,0
Jonathan Rivierez,2017-2018,28,Metz,0.03,37.5,31.7,42,0.7,618.2,3.6,53.5,0.7,0.2,0.6,0.1,0,1.6,47.7,0.3,1.4,0.6,2.6,1.8,1.7,0.9,0.3,0.6,1.7,5.2,3.2,9.5,0.6,0,0.3,1.1,67.5,19.9,25.4,8.5,CB,0
Jordan Lefort,2018-2019,24,Amiens,0.04,9.1,31.7,45.9,0.3,585.7,3.8,69.7,0.8,0.1,0.8,0.3,0,0.6,67,0.2,0.7,0.7,0.9,0.8,0.4,0.5,0.4,0.1,2.3,3.9,5.3,6.2,0.9,0,0.2,1.1,66.7,25.5,25.8,7.6,CB,0
Jordan Lefort,2019-2020,25,Amiens,0.05,33.3,43.5,53.8,0.1,801.2,5.5,75.1,0.2,0.1,0.7,0.2,0.2,0.7,52,0.2,0.4,0.6,0.2,0.3,0.2,0.4,0.1,0.3,1,1.3,3.1,5.1,1.2,0,1.2,0.7,83.3,29.4,27.9,3.4,CB,0
Joris Gnagnon,2017-2018,20,Rennes,0.09,32.1,36.4,40.1,0,681.5,3,76.1,0.3,0,0.4,0.2,0.1,0.4,66.7,0.1,0.8,0.8,0.9,0.6,0.3,0.7,0.5,0.2,0.9,2.2,4.7,1.4,1.3,0,0.2,0,100,20.4,26.3,2.5,CB,0
Joris Gnagnon,2019-2020,22,Rennes,0.07,11.1,41.3,46.3,0.1,790.8,3.4,120.4,0.7,0,0.1,0.2,0.1,0.4,63.9,0.1,1.1,0.6,0.9,0.7,0.1,1.5,1.2,0.3,1.3,2.4,4.3,1.2,1.1,0,0.1,0.3,100,29.6,24.7,1.8,CB,0
Julien Laporte,2020-2021,26,Lorient,0.1,12.5,42,51,0.2,906.2,6.5,100.8,0.6,0.1,0.1,0.1,0.1,0.8,61.5,0.3,1,0.6,1.3,1.4,1.1,1.2,0.8,0.4,2.2,4.4,4.2,1.7,1.6,0,0.3,0,85.7,35.2,25.8,0.9,CB,0
Julien Laporte,2021-2022,27,Lorient,0.11,17.6,38.1,45.3,0.2,852.9,7.9,84.8,0.4,0,0.2,0.1,0,0.4,59.1,0.2,0.9,0.8,1.4,1,1,1.2,0.7,0.5,1.7,3.6,5.4,1.5,1.4,0,0.7,0.1,71.4,32.1,23.5,1.5,CB,0
Kévin Théophile-Catherine,2017-2018,27,Saint-Étienne,0.13,0,38,46.4,0.3,754.4,5.2,123.3,0.4,0,0.5,0.3,0.1,0.6,58.6,0.2,1,0.5,1.1,0.5,0.5,0.8,0.6,0.2,1.3,2.8,4.7,2,0.8,0,0.7,0.1,85,26.2,28.5,1.5,CB,0
Kelyan Guessoum,2020-2021,21,Nîmes,0.08,16.7,40.3,45.7,0.2,844.4,4.6,104.6,0.3,0,0.2,0.1,0.1,0.3,57.1,0.2,0.5,1,0.6,0.9,0.4,0.6,0.5,0.2,1.9,3,4.1,1.5,1.4,0,0.6,0,100,30.4,23.5,1.1,CB,0
Kevin Danso,2021-2022,22,Lens,0.4,52.1,60.5,86.1,0,410.5,8.1,168.6,0.3,0,0.5,0.1,0.1,0.8,70.6,0.3,1.4,1.2,0.9,0.7,0.4,1.2,0.8,0.4,1.3,2.6,3.6,1.8,0,0.2,0,0,80,32.7,36.6,1.3,CB,1
Koffi Djidji,2017-2018,24,Nantes,0.3,27.7,37.4,74.1,0.2,232.5,7,45.1,0.7,0,0.7,0.3,0.1,0.8,66.1,0.1,0.9,0.3,1.5,0.7,0.4,1.3,0.6,0.7,1.7,3.7,4.7,7.2,0,0.3,0.8,0.8,80,22.5,20.1,5.6,CB,1
Kouadio-Yves Dabila,2017-2018,20,Lille,0,41.2,49.3,83.6,0.1,287.8,8.2,79,0.5,0,0.4,0.4,0,0.7,50,0.1,1.3,0,1,0.6,0.4,1.3,0.6,0.8,1,2.9,4.4,2.9,0.1,0.2,0.9,0.9,100,26.8,27.4,5,CB,0
Kouadio-Yves Dabila,2018-2019,21,Lille,0.2,37.3,43.6,85.5,0,262.6,6.7,61.7,0.1,0,0.2,0.1,0,0.3,40,0.2,0.7,0.3,0.7,0.6,0.1,1.5,1,0.5,0.7,2,5.1,1.6,0,0.7,0,0,100,32.3,21.6,0.3,CB,0
Léo Lacroix,2017-2018,25,Saint-Étienne,0.1,0,35.2,41.2,0,756.9,5.9,77,0.5,0.1,0.5,0.1,0,0.5,60.6,0.3,1.2,0.3,0.9,0.6,0.5,0.7,0.3,0.3,1.3,2.8,6.3,1.2,1.2,0,0.6,0,100,30.1,22.1,1.6,CB,0
Leonardo Balerdi,2020-2021,21,Marseille,0.7,50.7,58.6,86.6,0,324.3,7.1,104.5,0.6,0.1,0.6,0.6,0.1,0.5,45.5,0.3,1.7,1.5,1,0.8,0.9,0.9,0.5,0.4,1.5,3.1,3.6,3.2,0,0.7,0.1,0.1,76.9,34.5,31.9,2.8,CB,0
Leonardo Balerdi,2021-2022,22,Marseille,0.2,71.3,77.6,91.9,0,467.1,10.1,159.3,0.6,0,0.8,0.6,0.2,0.6,56.7,0.4,0.9,0.5,0.6,0.5,0.9,1,0.4,0.7,1.8,2.7,2.8,2.4,0,0.4,0,0,84.6,38.3,47.9,1,CB,1
Lilian Brassier,2020-2021,20,2 Teams,0.6,53.2,64.7,82.2,0.1,400.6,14.5,142.6,0.2,0,1.6,0.1,0.1,0.8,75,0.3,1.8,1.1,0.9,0.7,0.4,1.2,0.6,0.7,2.2,3.9,3.6,2.5,0.1,0.3,0.7,0.7,66.7,37.9,35.7,3.6,CB,0
Lilian Brassier,2021-2022,21,Brest,0.4,40.2,50.6,79.5,0,342.9,11.4,126.6,1.2,0.2,0.8,0.2,0,0.8,68.9,0.2,1,0.7,1,0.4,0.4,1.2,0.8,0.4,1.3,2.9,3.4,3.6,0,1,0.7,0.7,31.3,30.2,27,3.9,CB,0
Loïc Bade,2020-2021,20,Lens,0.4,57.7,67.6,85.3,0.1,411.7,11,203.3,1.4,0.1,0.7,0.4,0,0.8,64.4,0.4,1.5,0.6,1.2,1,0.9,1.5,0.6,0.9,2.6,4.5,4.7,1.1,0,0.5,0.2,0.2,88.5,42.7,36.2,1.9,CB,1
Loïc Bade,2021-2022,21,Rennes,0.6,59.8,66.6,89.8,0.1,398.6,9.5,185,0.7,0,0.4,0.1,0.1,0.5,58.1,0.3,0.5,0.1,0.5,0.3,0.2,1.1,0.9,0.2,1.1,1.6,4.4,0.9,0,0.4,0.2,0.2,80,38.7,35.7,1.7,CB,1
Loïck Landre,2018-2019,26,Nîmes,0.23,42.9,24.7,30.8,0.1,465.7,2.4,57.7,0.3,0,0.6,0.1,0,0.5,45.7,0.3,1.2,0.9,1.2,0.8,0.5,0.9,0.6,0.3,2.1,3.9,4.7,1.1,0.8,0,0.2,0.1,57.1,22.6,18.2,1.2,CB,0
Loïck Landre,2019-2020,27,Nîmes,0.14,33.3,29.8,38.3,0.2,607,3.4,81.8,0.3,0,0.2,0,0.2,0.8,50,0.2,1.2,1.2,0.9,0.7,0.4,1.2,0.9,0.3,1.6,3.2,3.3,1.4,1.4,0,0.7,0,0,23.5,22.8,1.1,CB,0
Loïck Landre,2020-2021,28,Nîmes,0.23,22.2,38.2,44.2,0,772.4,4.5,102.5,0.6,0.1,0.2,0.1,0.1,0.4,43.3,0.1,1.1,0.6,0.4,0.7,0.8,1.2,1.1,0.2,1.7,2.5,2.9,2,1.7,0,0.6,0,80,29.2,22.6,0.8,CB,0
Loris Benito,2019-2020,27,Bordeaux,0.6,52.1,63.3,82.4,0.2,309.3,5.5,117.3,2.4,0.3,1.2,0.5,0.2,1.5,53.3,0.2,1.8,0.3,1.2,0.8,1.3,0.7,0.2,0.4,1.4,3.3,2.8,9.2,0,0.1,2.2,2.2,38.5,19.5,41.9,12.4,CB,0
Loris Benito,2020-2021,28,Bordeaux,0.3,51.4,61.1,84.2,0.3,316.8,6.5,95.7,1.9,0,0.4,0.3,0,1.2,59.7,0.2,1.3,0.5,0.9,0.7,0.9,1.1,0.3,0.8,1.4,2.9,2.4,9.6,0,0.1,1.4,1.4,66.7,25.7,34.1,9.7,CB,0
Luan Peres Petroni,2021-2022,27,Marseille,0.04,0,58,66.3,0.2,958.6,4.3,143.9,1.7,0,0.9,0.4,0.2,1.1,63.1,0.2,0.6,0.6,1.2,1.2,0.5,0.9,0.4,0.5,1.4,3.6,2.2,7.1,1.3,0,0.5,0.8,72.2,22,43.1,10.6,CB,0
Lucas Perrin,2021-2022,22,Strasbourg,0.04,33.3,43.9,52.3,0.6,833.5,5.1,136,1.2,0,0.5,0.2,0.1,1.4,73.6,0.2,1.7,1.1,1.2,0.9,0.7,1,0.4,0.6,1.5,3.1,2.4,2.9,2.2,0.2,0.4,0.1,60,21.5,36.3,3.6,CB,0
Malang Sarr,2017-2018,18,Nice,0.1,12.5,66.7,75.6,0.1,1341.6,9.3,209.5,1.9,0.1,0.6,0.5,0.1,1,63.6,0.1,0.9,1.1,1.2,0.5,0.7,1,0.4,0.5,2.1,3.7,3,4,1.8,0.1,1.6,0.7,87.5,37.9,41.8,5.3,CB,0
Malang Sarr,2018-2019,19,Nice,0.11,11.1,58.8,65.8,0.2,1092.8,6.1,104,0.6,0,0.7,0.3,0.1,0.5,61.6,0,0.9,0.9,1.1,0.9,0.8,0.9,0.4,0.5,2,3.8,3.2,4.6,1.9,0,0.7,0.3,56.3,33.2,39.4,3.2,CB,0
Malang Sarr,2019-2020,20,Nice,0.06,25,65.8,73,0.2,1309.5,7.7,148.5,0.8,0.1,0.6,0.2,0.1,0.7,44.8,0.1,0.5,0.6,0.7,0.6,0.8,0.6,0.2,0.4,2.4,3.5,1.9,4.1,1.9,0,1.1,0.2,100,34,43.6,4,CB,0
Mamadou Fofana,2019-2020,21,Metz,0.6,36.4,43.3,84,0,214.8,6,50.8,0.3,0.1,0.2,0.3,0,0.9,38,0.2,1.2,0.2,2,1.2,1.1,1.2,0.6,0.7,1.2,4.5,3.5,0.8,0.1,0.2,0.1,0.1,50,24.6,27.8,2.6,CB,0
Mamadou Fofana,2020-2021,22,Metz,0.3,31.6,38,83.2,0,193.7,5.6,44.6,0.2,0,0.5,0.3,0,0.7,45.8,0.2,1,0.1,0.9,0.6,2,1.2,0.2,1,1.5,3.6,3,1.1,0,0,0,0,100,22.6,23.2,1.6,CB,0
Marlon,2017-2018,21,Nice,0.12,0,61.7,65.5,0.1,1159,6.1,135.2,0.4,0,0.2,0,0,0.5,61.7,0.2,0.9,0.5,1.2,0.7,0.3,0.9,0.7,0.2,0.7,2.4,3.4,2.1,1.9,0,0.9,0.1,81.8,38,33.5,1.9,CB,1
Marquinhos,2017-2018,23,Paris S-G,0.09,0,62.3,66.6,0.3,1186.5,8,140,0.6,0,0.2,0,0.1,0.5,67.7,0,0.3,0.3,0.6,0.5,0.3,1.4,0.9,0.6,0.6,1.7,4.5,2.1,1.9,0,0.8,0,100,33.9,39.9,1.6,CB,1
Marquinhos,2018-2019,24,Paris S-G,0.19,27.3,69.8,76,0.4,1258,7,152.8,0.6,0,0.2,0.3,0.1,0.9,63.6,0.1,1,0.3,1.4,1,0.7,1,0.4,0.6,1.5,3.6,2.8,1.8,1.4,0.2,0.5,0,85.7,28.3,51.9,4.7,CB,1
Marquinhos,2019-2020,25,Paris S-G,0.17,27.3,74.3,79.8,1,1320.1,6.6,132.9,0.5,0.1,0.5,0.6,0.2,1.5,52.1,0.1,1.2,0.4,1.2,0.7,0.9,1.5,0.5,1,1.5,3.9,1.9,1.4,1,0.3,0.7,0.2,77.8,25.3,58.4,6.8,CB,1
Marquinhos,2020-2021,26,Paris S-G,0.15,53.3,68.2,73.5,0.5,1249,6.4,163.1,0.6,0,0.3,0.1,0.2,0.7,63.6,0.1,0.6,0.2,0.9,0.6,0.5,0.9,0.4,0.5,1.1,2.3,3.2,1.3,1.2,0,0.6,0,100,34.3,45.2,3.3,CB,1
Marquinhos,2021-2022,27,Paris S-G,0.18,33.3,70.5,75.7,0.3,1353.1,7.4,183.2,0.3,0.1,0.3,0.1,0.1,0.7,51.3,0.2,0.2,0.3,0.4,0.6,0.5,1.1,0.6,0.5,0.5,1.7,3.2,2.4,2,0.1,0.7,0.2,66.7,35.8,44.4,4.1,CB,1
Mateo Pavlović,2017-2018,27,Angers,0.16,33.3,34.1,40.8,0.1,649.4,3.7,75.4,0.2,0,0.2,0.1,0.1,0.5,69.4,0.4,1.4,0.5,0.3,0.3,0.6,0.6,0.5,0.1,1,1.6,5.5,1.6,1.6,0,0.2,0,100,23,25.2,1.8,CB,0
Mateo Pavlović,2018-2019,28,Angers,0.2,44.4,29.3,34.1,0.1,573,3.4,43.5,0,0,0.2,0.1,0,0.4,58.8,0.3,1,0.3,0.7,0.4,0.4,1.3,1,0.3,0.7,1.7,5.9,1.1,1.1,0,0.3,0,100,26.1,17.1,1.4,CB,0
Matheus Thuler,2021-2022,22,Montpellier,0.07,0,28.9,34.9,0,528.5,2,73.7,0.3,0,0.3,0.3,0,0.1,62.5,0.3,1.3,0.2,1.3,0.8,0.7,0.9,0.7,0.2,0.9,3.2,3.2,1.2,0.7,0,0,0.2,0,26.6,16.2,1.2,CB,0
Matt Miazga,2018-2019,23,Nantes,0.08,0,43.4,53.5,0,831,4.5,86.6,0.1,0,0.2,0.1,0,0.1,86.8,0.6,1.4,0.5,1.4,0.9,0.2,1.4,0.9,0.5,1.5,3,5.1,2.7,2.7,0.1,0.9,0.1,0,29.4,33.1,1.6,CB,0
Maxime Estève,2021-2022,19,Montpellier,0.2,33.3,39.5,84.5,0,173,4.4,92.4,0.6,0,0.6,0.1,0,0.4,54.2,0.1,0.5,0.3,0.9,0.7,0.6,1.5,1.2,0.3,1.1,2.4,3.3,1.3,0,0.2,0,0,66.7,26.6,21.5,1.1,CB,0
Maxime Le Marchand,2017-2018,27,Nice,0.06,0,61.5,70.1,0.4,1063.6,4.5,124.7,1.6,0.1,0.6,0.6,0.1,1.2,68.9,0.1,0.8,0.6,1.3,0.7,0.7,1.3,0.5,0.8,2.3,4,3.7,5.8,1.6,0,0.6,1.1,70.8,31.5,41.8,7.2,CB,0
Mexer,2017-2018,28,Rennes,0.07,0,31.3,37.5,0.1,662.6,6.1,51.5,0,0,0.1,0.1,0,0.2,60.9,0.1,0.4,0.7,0.9,0.7,0.2,1,0.5,0.4,1.2,2.3,7.3,1.8,1.7,0,0.7,0.1,100,27.6,20.7,1,CB,0
Mickael Nade,2021-2022,22,Saint-Étienne,0.21,14.3,34.6,42.7,0.1,663.4,4,80,0.4,0,0.5,0.4,0,0.7,67.7,0.1,1.5,1.1,1.2,0.8,0.5,1,0.5,0.5,2.1,4.1,2.9,1.4,1.3,0,0.3,0,66.7,24.5,27.7,1.6,CB,0
Mohamed Simakan,2019-2020,19,Strasbourg,0.05,33.3,40.1,52.8,0.6,759.9,5.4,117.1,1.8,0.1,1,0.5,0.1,1.6,60.9,0.2,1.5,2.4,1.9,1.3,0.7,0.8,0.2,0.7,1.9,5.1,1.5,6.9,0.9,0,0.9,1.6,69.6,21.7,32.6,10,CB,1
Mohamed Simakan,2020-2021,20,Strasbourg,0.1,28.6,39,47.4,0.6,830.9,7.1,113.9,1,0.2,0.7,0.6,0.2,1,51.9,0.1,1.2,1.5,1.2,0.5,0.5,0.9,0.6,0.3,1.7,3.5,2.3,3.5,1.1,0,1,0.3,76.9,23.3,28.8,5.7,CB,1
Molla Wagué,2019-2020,28,Nantes,0.1,0,35.6,42.8,0.1,645.7,2.4,60.7,0.1,0,0.1,0.1,0.4,0.9,69.2,0.1,0.8,0.1,1.6,0.9,0,1.3,1.1,0.3,2,4,5.5,1.2,1.2,0,0.4,0.1,100,36.3,18.7,1.5,CB,0
Moritz Jenz,2021-2022,22,Lorient,0.13,11.1,38.1,45,0,738.2,3.8,88.2,0.6,0.1,0.3,0.1,0,0.6,52.6,0.3,1.6,0.2,0.8,0.7,0.8,1.2,0.7,0.5,1.8,3.5,3.6,1.6,1.5,0,0.3,0,66.7,27.8,25.4,2.2,CB,1
Mouctar Diakhaby,2017-2018,20,Lyon,0.5,45.6,51.8,88.1,0,292.3,8,150.9,0.7,0,0.4,0.2,0,0.1,61.8,0.2,0.7,0.9,0.7,0.5,0.4,1.7,1.1,0.6,1.5,2.7,6.4,1.7,0,0.7,0,0,100,34.6,28.3,0.7,CB,1
Moussa Niakhate,2017-2018,21,Metz,0.09,11.8,33,41.9,0.1,755.8,7.7,81.9,0.9,0,0.3,0.1,0,0.5,57.3,0.2,1,1.2,1.1,0.6,0.4,0.8,0.4,0.4,1.6,3.2,4,2.5,1.6,0,0.7,0.3,81,27.7,21.9,2.3,CB,1
Naomichi Ueda,2020-2021,25,Nîmes,0.1,50,36.3,47.2,0.5,802.7,5.8,132.5,0.8,0,0.5,0.1,0,1,59.1,0,0.4,0.4,0.3,0.5,0.3,0.6,0.5,0.1,0.8,1.3,3.8,2,1.9,0,0.6,0,100,31.8,21.9,0.9,CB,0
Nayef Aguerd,2018-2019,22,Dijon,0.9,39.9,51.8,77,0.2,357.5,12.7,88.5,0.9,0,0.7,0.4,0,0.7,64.1,0.3,1.6,0.7,1,0.7,0.9,1.7,0.9,0.8,1.2,2.7,5.1,3.4,0,0.7,0.3,0.3,85.7,28.8,32.8,3.1,CB,0
Nayef Aguerd,2019-2020,23,Dijon,0.4,46.3,56.1,82.4,0,414.8,13.4,80.8,0,0,0.4,0.3,0.1,0.4,76.8,0.2,1.2,0.6,0.8,0.8,0.4,1,1,0,1.7,2.9,5.1,1.6,0,1.6,0.1,0.1,75,40.1,26.7,1,CB,1
Nayef Aguerd,2020-2021,24,Rennes,0.8,70,77.6,90.3,0,542,10.4,130.1,0.4,0,0.3,0.3,0,0.6,63,0.2,0.6,0.8,0.9,0.6,0.3,1,0.6,0.3,1.3,2.4,2.9,2.3,0,0.9,0,0,81.8,36.6,48,2.1,CB,1
Nayef Aguerd,2021-2022,25,Rennes,0.8,64.5,72.5,88.9,0,504.4,13.1,148.6,0.4,0,0.2,0.1,0.1,0.5,65.1,0.1,0.7,0.5,0.6,0.5,0.3,0.8,0.5,0.3,0.8,1.7,4.2,2.4,0.1,1.3,0,0,83.3,37.6,41.9,1.9,CB,1
Nicholas Opoku,2019-2020,21,Amiens,0.03,0,23.4,31.3,0.1,475.7,3.1,73,0.4,0,0.4,0.1,0,0.3,61.1,0.1,1.4,0.6,0.7,1,1,0.9,0.3,0.6,1,2,4.6,0.9,0.6,0.1,0.9,0.1,0,18.4,21.7,1.1,CB,0
Nicolas Isimat-Mirin,2019-2020,27,Toulouse,0.12,100,31.8,38.5,0.2,626.4,3.9,64,0.5,0.1,0.8,0,0,0.4,57.6,0.3,1.1,0.6,0.6,0.4,0.4,1.3,0.9,0.4,1.6,2.6,5.1,1.1,1.1,0,0.2,0,100,26.8,22.2,1.3,CB,0
Olivier Boscagli,2018-2019,20,Nice,0.4,54.2,69.6,78,0.2,331.1,11.3,127.2,1.6,0,1,0.4,0.1,2.3,51.4,0.1,0.6,2.3,1.3,0.9,1.1,1.3,0.1,1.1,1.8,3.9,3.9,11.8,0.1,0.9,3.3,3.3,60,24.7,44.7,12.9,CB,1
Oussama Haddadi,2017-2018,25,Dijon,0.09,33.3,37.9,50.9,1.2,685.8,5,110.8,2.5,0.2,1.1,0.4,0.1,1.9,37.8,0.2,1.6,0.5,1,0.5,1.2,1,0.4,0.6,1.5,3.1,2.8,9.4,0.8,0,0.8,2.9,73.5,19.6,27.7,13.4,CB,0
Oussama Haddadi,2018-2019,26,Dijon,0.06,40,40.2,55,1.1,704.4,3.6,115.3,3.2,0.3,1.1,0.8,0.1,2.3,40,0.2,1,0.4,0.8,0.8,0.6,1.1,0.3,0.8,1.5,3.2,3.1,10.8,0.8,0,0.6,4,47.8,18.6,29.3,18.3,CB,0
Pablo,2017-2018,26,Bordeaux,0.09,42.9,38.3,44,0.1,842.7,7.7,60.2,0.3,0,0.1,0,0.2,0.8,68.3,0.2,0.8,0.4,1,0.7,0.4,0.9,0.5,0.4,1.1,2.2,6.7,1,1,0.1,0.9,0,80,31.9,21.8,1,CB,0
Pablo,2018-2019,27,Bordeaux,0.11,18.2,38.5,45.7,0,799.4,7,57.2,0.2,0,0.6,0.3,0.1,0.4,71,0.1,0.8,0.6,0.7,0.6,0.5,1.3,1,0.3,1.5,2.7,8,1.7,1.6,0,0.8,0,80,37.6,20.5,1.4,CB,0
Pablo,2019-2020,28,Bordeaux,0.11,41.2,54.1,62.5,0,1051.1,5.1,93.1,0.2,0,0.5,0.3,0,0.6,77.2,0.1,1.1,0.5,0.6,0.7,0.6,1,0.6,0.5,1.7,2.8,5.4,2.2,1.4,0,0.7,0,85.7,37.9,34.5,1.8,CB,0
Pablo Martinez,2017-2018,28,Strasbourg,0.07,33.3,34.7,42.7,0.3,674.1,4.9,81.2,0.8,0,0.5,0.3,0.1,0.9,59.3,0.2,1,1.2,1.4,0.9,1.1,1.1,0.5,0.6,2.2,3.9,4.8,3.7,1.3,0,0.5,0.6,50,24.8,25.6,3.6,CB,0
Pape Abou Cissé,2020-2021,24,Saint-Étienne,0.9,37.2,48.6,76.5,0,356,12.1,93.4,0.1,0.1,0.6,0,0,0.6,78.6,0.1,0.7,0.6,0.9,0.4,0.3,0.5,0.3,0.2,1.9,3,6.2,1.9,0,1.3,0.1,0.1,50,36,23.9,1.6,CB,0
Papy Djilobodji,2017-2018,28,Dijon,0.6,40.7,51.7,78.7,0,385.6,13.4,132.7,0.5,0.1,0.2,0.4,0.1,0.5,74.4,0.1,0.8,0.9,1,0.7,0.7,1.3,0.8,0.4,2.4,3.9,7,2.3,0,1.1,0.2,0.2,77.8,33.2,30.7,1.9,CB,0
Pedro Mendes,2017-2018,26,Montpellier,0.06,27.3,36.5,45,0.2,780.7,6.7,69.2,0.3,0.1,0.3,0.3,0.1,0.6,58.2,0.3,1.3,1.6,1.6,0.7,0.6,1.1,0.8,0.3,1.4,3.3,4.8,2.6,1.8,0,1.1,0.3,76.5,27.8,25.6,2.9,CB,0
Pedro Mendes,2018-2019,27,Montpellier,0.11,25,35.9,44.1,0.3,774.1,6.2,87.2,0.8,0.1,0.6,0.3,0.2,1,39.5,0.2,1.5,1.6,1.4,1,0.5,1.4,0.7,0.7,1.6,4,2.5,1.7,1,0,1.1,0.3,91.7,28.4,23.4,2.7,CB,0
Pedro Mendes,2019-2020,28,Montpellier,0.19,33.3,37.7,47.3,0.2,795,5.8,109.3,1.2,0.1,0.4,0.3,0,0.4,49,0.7,1.6,1.4,1.1,1,0.6,1.2,0.8,0.5,1.8,3.7,2.7,1.9,1.6,0.1,1,0.4,71.4,26.7,29,2,CB,0
Presnel Kimpembe,2017-2018,21,Paris S-G,0.12,33.3,66.2,69.6,0.1,1135.8,5.7,189.5,1.3,0,0.4,0.3,0,0.6,57.4,0.3,1.3,1.8,1,0.3,0.2,0.6,0.4,0.3,0.9,2.3,3,3.4,3,0,0.8,0.2,86.4,28.7,46.7,1.9,CB,1
Presnel Kimpembe,2018-2019,22,Paris S-G,0.11,25,62.3,67.1,0.1,1009.6,3.9,151.4,1,0,0.4,0.5,0.3,0.9,48,0.2,1.3,1.8,1.5,1.1,0.7,0.8,0.4,0.3,1.3,3.8,2.2,2.8,1.8,0,0.2,0.3,38.5,24.3,47.5,4,CB,1
Presnel Kimpembe,2019-2020,23,Paris S-G,0.12,33.3,77.6,81.8,0,1294.2,3.9,169.6,0.4,0.1,0.4,0.1,0,0.5,62.5,0.4,1.2,1.3,1.8,1,0.4,0.5,0.2,0.3,1.5,4,2.4,1.7,1.5,0,0.3,0.1,86.7,35.6,53.3,2.2,CB,1
Presnel Kimpembe,2020-2021,24,Paris S-G,0.05,20,73.2,77.2,0.1,1208.4,3.8,158.7,0.5,0,0.5,0.2,0.1,0.7,60.7,0.2,1.2,1,1.1,0.9,0.4,0.7,0.4,0.3,1.2,3,2.4,1.8,1.6,0,0.2,0,75,33.5,49.9,2.1,CB,1
Presnel Kimpembe,2021-2022,25,Paris S-G,0.2,14.3,75.3,78.8,0.2,1252.7,3.9,183.5,1,0,0.5,0.2,0.1,0.6,71,0.2,1,0.9,0.7,0.5,0.3,0.7,0.5,0.2,1.3,2.5,2.6,3,1.9,0,0.4,0.1,72.7,29.3,53.9,3.2,CB,1
Prince-Désir Gouano,2017-2018,23,Amiens,0.1,12.5,28.2,35.4,0.1,530.8,2.3,38.4,0,0,0.2,0.1,0,0.3,57.9,0.1,0.9,0.9,1,0.7,0.3,1.9,1.5,0.4,1.6,3,6.3,1.2,1.2,0,0.1,0.1,66.7,29,17.6,0.7,CB,0
Prince-Désir Gouano,2018-2019,24,Amiens,0.08,42.9,30,36.7,0.1,605.2,3.5,68.6,0.2,0,0.3,0.2,0,0.5,60.6,0.1,1.1,1.4,0.6,0.4,0.3,1.2,0.9,0.3,1.6,2.6,4.4,0.8,0.8,0,0.4,0.1,100,24.4,21.5,0.9,CB,0
