Player,Season,Age,Team,Shot_/90,Passes_completed,Passes_attempted,Passes_completition%,Crosses_into18yard_box,TotProgressive_passes,Attempted_long_passes,PrgDist_Carries,Carries_10yards_forward,Carries_into18yard_box,Miscontrols,Dispossesd,Goal_creating_actions,Shot_creating_actions,Aerials_Won%,Yellow_cards,Fouls_committed,Fouls_drawn,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Succ_Takes_on%,Touches_Def__3rd,Touches_Mid__3rd,Touches_Att__3rd,Role,Tier_league
Duje Ćaleta-Car,2021-2022,24,Marseille,0.5,73,79.6,91.6,0,447.3,11.8,170.8,0.6,0,0.4,0,0.1,0.5,76.1,0.3,0.5,0.3,0.4,0.5,0.1,0.5,0.3,0.2,1.1,2,2.4,1.8,0,0.9,0,0,100,34,49.5,2.5,CB,0
Dylan Bronn,2019-2020,24,Metz,0.2,27.6,35,78.7,0,222.2,10.4,43.1,0,0,0.2,0.1,0,0.2,50,0,0.4,0.6,0.6,0.4,0.3,1.2,1,0.2,0.7,1.4,4.7,1.3,0,1.1,0,0,66.7,25.2,18.2,0.7,CB,0
Dylan Bronn,2020-2021,25,Metz,0.4,39.5,47.6,82.9,0,306.5,9.3,106.4,1,0.1,0.3,0.2,0.1,0.9,51.8,0.1,1,0.3,1,0.6,0.5,0.8,0.4,0.4,1.2,2.7,3,2.1,0,0.6,0.1,0.1,78.9,27.6,26.5,2,CB,0
Dylan Bronn,2021-2022,26,Metz,0.5,33.8,41.9,80.6,0,260.5,7.7,90.5,0.5,0,0.3,0.2,0.1,0.5,50,0.4,1.1,0.4,1,0.7,0.4,1.1,0.7,0.5,1.4,3.1,2.8,3.3,0.1,0.4,0.4,0.4,75,25.6,23.1,1.9,CB,0
Edgar Ié,2017-2018,23,Lille,0.07,30.8,44.9,54.3,0.2,763.2,3.3,125.7,1.6,0.1,0.9,0.6,0,0.6,60.4,0.2,0.8,0.5,1.2,0.9,1.1,1.6,0.7,0.9,2.4,4.5,3.9,4.9,1.4,0,0.1,1,80,29.4,31.3,6,CB,0
Edgar Ié,2018-2019,24,2 Teams,0.08,0,32.8,42.6,0.1,526.7,2.4,79.6,1,0.1,1.2,0.5,0.1,0.8,53.1,0.3,1.3,0.8,1.5,1.1,0.8,1.1,0.4,0.7,1.3,3.5,3.5,5.7,1.7,0,0,1,72.7,21.5,25.5,6,CB,0
Enzo Ebosse,2021-2022,22,Angers,0.1,43.4,51.7,83.9,0.1,284,7.1,117.6,1.2,0,1,0.1,0,1.2,50,0,0.7,1,0.7,0.5,0.4,0.9,0.4,0.5,0.7,1.9,2,3.2,0,0.2,0.8,0.8,60,25.5,30.4,4,CB,0
Erik Palmer-Brown,2021-2022,24,Troyes,0.22,0,28.1,33.8,0.2,527.1,2.6,69,0.2,0.1,0.5,0.3,0,0.4,63,0.1,0.9,0.5,1.1,1,0.3,1.3,0.9,0.4,1.8,3.7,4.5,0.8,0.8,0.1,0.2,0,57.1,28.3,16,0.9,CB,0
Félix Eboa Eboa,2017-2018,20,Guingamp,0.5,32.8,42.5,77.3,0.1,242.8,7.9,62.4,0.8,0.1,0.4,0.4,0.1,0.8,66.3,0.1,0.9,0.5,0.6,0.5,0.5,1.2,0.6,0.6,2.3,3.4,7,4.2,0,0.2,0.8,0.8,91.7,24.6,25.7,4.7,CB,0
Félix Eboa Eboa,2018-2019,21,Guingamp,0.4,28.3,37.4,75.9,0.1,221.4,6.5,62.1,0.3,0,0.4,0.1,0,0.3,65.8,0.2,1,0.6,1.2,0.6,0.2,1.4,0.9,0.5,1.4,3.2,5,2.3,0,0.3,0.4,0.4,81.8,22.9,23.7,2.8,CB,0
Facundo Medina,2020-2021,21,Lens,0.13,44.4,60.7,70.9,0.2,1152.1,7.2,175.2,1.1,0,0.9,0.5,0,1.4,46.3,0.5,1.5,0.3,1,1.1,0.6,1.1,0.4,0.7,1.7,3.5,2.3,2.8,2.2,0,1.3,0.2,63.6,33.4,45.2,2.5,CB,0
Facundo Medina,2021-2022,22,Lens,0.15,22.2,70,78.5,0.2,1211,6.4,223.2,1.8,0,0.8,0.5,0.2,1.1,52.1,0.4,1.2,0.4,1.5,1.3,0.8,0.8,0.3,0.6,1.3,3.4,2.7,3.4,2.4,0.1,0.7,0.2,76.2,32.7,51.5,3.9,CB,0
Fali Candé,2021-2022,23,Metz,0.6,32.2,45.1,71.3,0.3,234.3,7.6,67.2,1.2,0.2,1.7,0.8,0.3,1.6,60,0.2,1,1,1.7,1.2,1.7,1,0.2,0.8,0.6,3.3,1.9,10.8,0,0.1,4.2,4.2,31.8,19.2,25.2,13.1,CB,0
Fallou Diagne,2017-2018,27,Metz,0.6,31.9,41,77.9,0,300.7,13.9,47.7,0.3,0.2,0.5,0.1,0.2,1,67.4,0.3,1.2,0.2,0.8,0.3,0.6,1.3,0.7,0.6,1.8,3.2,4.7,1.6,0,1,0.1,0.1,88.9,25.4,24.4,2.1,CB,0
Flavius Daniliuc,2020-2021,19,Nice,0.5,59.8,68.1,87.8,0.1,405,7.7,158.3,1.5,0,0.7,0.2,0,0.9,39,0,0.7,0.5,0.9,0.6,0.7,1,0.4,0.7,0.9,2.3,1.9,3.6,0,0.9,0.1,0.1,100,32.1,39.9,3.7,CB,0
Flavius Daniliuc,2021-2022,20,Nice,0.3,53.7,61,87.9,0.1,345.2,5.4,121.5,0.4,0.1,0.9,0.1,0.1,0.8,46.7,0.3,1.2,0.3,2.2,2.4,0.6,0.9,0.5,0.4,1,4.2,2.4,6.7,0,0.5,0.5,0.5,60,29.8,35.9,5.9,CB,0
Gaëtan Paquiez,2018-2019,24,Nîmes,0.04,100,34,43.8,0.3,474.4,1.2,42.5,0.7,0.2,1.6,0.5,0,2.2,50,0.3,1.2,0.7,2,1.6,1.7,1.6,0.4,1.2,1.5,4.4,3.4,13,0.7,0.1,0.1,0.9,53.8,20.6,25.1,11.5,CB,0
Gaëtan Paquiez,2019-2020,25,Nîmes,0.04,0,31.9,45.8,0.5,506.7,2,58.3,1.2,0.1,1.2,0.4,0.1,0.9,40.5,0.4,1.4,1,1.5,1,1.8,1.1,0.3,0.8,1.9,4.1,2.5,12.6,1.2,0,0.1,1.6,54.5,18.2,26.1,12.8,CB,0
