Player,Season,Age,Team,Assist,Non_penalty_goals,Non_penalty_xG,Expected_assists,Non_penalty_expGoals_perShot,Shot_/90,Goals_perShot_onTarget,Shots_onTarget%,Passes_completed,Passes_completition%,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,Attempted_long_passes,Carries/90,PrgDist_Carries,Miscontrols,Dispossesd,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Fouls_committed,Fouls_drawn,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Interceptions,Tackles_+Interc,Dead_ball_pass,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Offsides,Succ_Takes_on%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Role,Tier_league
Yassine Benrahou,2019-2020,20,2 Teams,0.5,0.2,0.2,0.3,0.09,2.5,0.2,38.5,28.5,68.4,0.9,0.2,3.7,8.8,34.2,71.2,5.3,3.7,0.6,0.1,5.2,2.1,10.5,1.0,2.9,0.7,1.4,0.2,0.4,1.9,8.4,0.1,0.3,7.2,4.5,0.2,48.8,0.3,5.5,22.2,29.9,3.0,AM,0
Yassine Benrahou,2020-2021,21,Nîmes,0.0,0.0,0.1,0.2,0.04,1.3,0.0,22.2,32.1,73.2,1.1,0.3,4.4,8.8,29.9,58.7,3.3,2.2,0.1,0.1,3.7,1.9,22.2,0.6,1.8,0.5,1.3,0.7,0.3,1.5,6.8,0.1,0.6,6.8,3.6,0.0,45.9,0.4,6.5,24.9,23.1,2.1,AM,0
Yassine Benzia,2017-2018,22,Lille,0.2,0.0,0.1,0.2,0.0,0.05,0.03,0.3,24.1,56.6,6.5,1.5,0.1,4.4,61.2,232.8,0.3,2.1,5.4,0.6,0.4,4.7,57.9,2.1,2.2,0.7,1.8,1.2,1.1,3.5,5.3,0.8,0.4,3.3,2.2,0.1,74.6,0.7,7.0,39.6,20.8,1.3,AM,0
Yassine El Ghanassy,2017-2018,27,Nantes,0.0,0.0,0.1,0.3,0.05,1.8,0.0,23.1,32.1,78.5,1.8,0.3,5.6,2.9,38.7,183.4,2.4,3.8,0.4,0.1,5.6,3.1,40.0,1.4,2.5,0.1,0.4,0.1,0.6,1.5,1.4,0.3,0.0,3.5,0.6,0.0,73.1,0.7,4.2,21.8,27.5,3.1,LW,0
Yusuf Yazıcı,2019-2020,22,Lille,0.4,0.0,0.1,0.3,0.07,2.1,0.0,15.0,33.4,68.9,0.6,0.0,3.7,10.0,31.5,81.5,1.7,3.1,0.4,0.2,4.4,1.9,0.0,1.2,0.7,0.5,0.8,0.6,0.5,2.3,10.3,0.6,0.5,7.6,6.4,0.1,34.8,0.3,3.9,26.2,31.6,3.2,AM,0
Yusuf Yazıcı,2020-2021,23,Lille,0.3,0.6,0.3,0.2,0.1,3.6,0.33,47.7,30.8,67.4,1.3,0.2,4.3,7.9,32.7,68.7,2.6,1.5,0.4,0.3,5.1,3.4,21.1,1.1,0.8,0.1,1.9,0.4,0.2,1.2,8.2,0.2,0.5,7.7,5.1,0.6,50.0,0.5,2.9,20.4,33.8,4.2,AM,0
Marcus Coco,2017-2018,21,Guingamp,0.1,0.1,0.1,0.1,0.0,0.08,0.07,0.6,35.7,35.2,1.7,1.0,0.5,1.6,50.0,210.4,1.2,3.0,8.8,0.3,0.2,2.7,44.0,2.5,1.6,0.4,1.6,1.2,0.9,3.1,0.6,0.1,0.1,2.8,0.0,0.2,51.1,0.4,5.2,20.4,22.5,2.7,RW,0
Marcus Coco,2021-2022,25,Nantes,0.1,0.1,0.1,0.1,0.0,0.06,0.08,0.3,25.0,31.5,1.8,0.5,0.2,1.5,45.5,175.0,0.7,2.5,6.0,0.2,0.2,1.6,49.2,2.0,3.0,0.8,1.0,1.1,1.0,4.3,2.2,0.0,0.0,2.3,0.0,0.4,53.8,1.9,11.2,19.3,17.2,1.8,RW,0
Marcus Coco,2018-2019,22,Guingamp,0.1,0.0,0.1,0.1,0.0,0.11,0.04,0.3,26.9,28.6,0.8,0.7,0.5,0.9,42.2,176.0,0.6,3.5,9.1,0.1,0.1,2.6,50.7,2.3,2.4,0.8,0.8,1.2,1.1,3.0,1.1,0.0,0.0,2.9,0.0,0.3,46.7,0.6,5.9,18.0,20.2,3.3,RW,0
Marcus Coco,2020-2021,24,Nantes,0.1,0.0,0.1,0.1,0.1,0.06,0.0,0.1,15.4,37.8,2.4,0.7,0.3,1.6,50.9,157.4,0.4,3.1,5.9,0.2,0.1,2.5,45.7,2.9,2.2,1.0,1.2,1.0,1.2,3.4,1.3,0.1,0.1,2.9,0.5,0.1,56.1,1.3,7.4,25.6,17.3,2.0,RW,0
