Player,Season,Age,Team,Assist,Non_penalty_goals,Non_penalty_xG,Expected_assists,Non_penalty_expGoals_perShot,Shot_/90,Goals_perShot_onTarget,Shots_onTarget%,Passes_completed,Passes_completition%,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,Attempted_long_passes,Carries/90,PrgDist_Carries,Miscontrols,Dispossesd,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Fouls_committed,Fouls_drawn,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Interceptions,Tackles_+Interc,Dead_ball_pass,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Offsides,Succ_Takes_on%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Role,Tier_league
Saîf-Eddine Khaoui,2018-2019,23,2 Teams,0.1,0.2,0.1,0.0,0.07,1.7,0.27,42.3,21.8,69.3,0.2,0.0,3.7,3.7,23.1,55.6,2.2,1.5,0.2,0.1,1.9,1.4,37.9,1.3,0.7,0.5,1.3,0.6,1.3,2.7,1.8,0.1,0.1,1.5,0.6,0.0,58.5,0.4,4.7,26.0,11.8,1.3,AM,0
Saîf-Eddine Khaoui,2021-2022,26,Clermont Foot,0.0,0.1,0.2,0.1,0.1,1.9,0.14,35.0,26.8,72.4,0.4,0.1,3.0,5.4,30.3,45.9,2.2,1.3,0.1,0.1,3.1,1.2,12.5,1.1,1.5,0.9,0.9,0.9,1.4,3.2,4.9,0.1,0.0,3.9,3.0,0.0,70.6,0.5,5.5,23.6,18.9,3.1,AM,0
Sada Thioub,2018-2019,23,Nîmes,0.2,0.1,0.1,0.1,0.11,1.3,0.2,42.9,26.0,73.7,1.2,0.5,3.2,2.9,32.2,140.6,3.0,2.2,0.4,0.2,3.7,2.5,33.3,1.4,1.0,0.7,0.9,1.1,0.6,1.7,1.1,0.0,0.1,3.2,0.1,0.1,62.1,0.5,6.7,18.5,22.8,4.0,RW,0
Sada Thioub,2019-2020,24,Angers,0.1,0.1,0.1,0.1,0.07,0.8,0.2,35.7,32.6,77.9,1.0,0.1,4.5,3.3,33.8,127.8,2.6,2.6,0.2,0.2,3.5,2.7,33.3,1.4,2.1,0.3,0.8,0.5,0.2,1.4,1.9,0.1,0.2,3.1,0.1,0.2,64.2,0.5,6.1,24.1,23.4,3.3,RW,0
Sada Thioub,2020-2021,25,Angers,0.1,0.1,0.1,0.1,0.05,1.6,0.17,26.1,35.6,81.7,1.3,0.2,4.5,3.4,39.8,135.0,3.1,2.9,0.2,0.1,4.0,2.9,44.8,1.3,1.8,0.5,1.1,0.7,0.6,1.9,0.9,0.1,0.3,1.8,0.1,0.1,53.8,0.9,8.8,24.9,23.1,3.4,RW,0
Sada Thioub,2021-2022,26,Saint-Étienne,0.1,0.0,0.0,0.1,0.04,0.5,,0.0,38.7,77.9,1.4,0.3,5.5,6.5,37.2,113.8,1.3,0.9,0.3,0.3,2.4,1.9,38.5,0.7,0.5,0.6,0.8,0.9,0.9,2.2,6.9,0.2,0.4,3.0,0.1,0.0,54.5,1.5,12.9,30.1,16.0,1.8,RW,0
Saman Ghoddos,2018-2019,24,Amiens,0.2,0.2,0.1,0.1,0.06,2.1,0.22,41.9,19.4,64.3,0.7,0.2,2.2,5.5,20.5,58.2,2.6,1.1,0.2,0.1,3.3,1.5,37.5,1.4,2.1,0.6,0.9,0.7,0.3,2.0,6.3,0.0,0.1,5.3,3.2,0.2,33.3,0.5,4.9,17.4,19.3,1.1,AM,0
Samuel Grandsir,2017-2018,20,Troyes,0.1,0.1,0.2,0.1,0.1,1.7,0.16,39.6,22.9,70.3,1.4,0.4,3.7,3.7,32.7,136.9,2.9,2.6,0.3,0.2,2.7,2.1,21.1,1.8,1.5,0.7,1.8,1.1,0.8,3.2,0.8,0.2,0.4,2.9,0.1,0.4,50.7,0.9,9.5,18.6,19.9,2.5,RW,0
Samuel Grandsir,2018-2019,21,2 Teams,0.1,0.0,0.0,0.2,0.03,0.9,0.0,28.6,20.9,60.1,1.0,0.5,1.9,4.6,31.9,89.1,3.2,1.5,0.4,0.4,3.2,2.0,31.3,1.7,0.5,0.6,1.5,1.7,0.3,2.9,1.8,0.0,0.0,5.9,0.5,0.5,55.6,0.6,7.8,17.5,25.1,2.2,RW,0
Samuel Grandsir,2019-2020,22,Brest,0.1,0.2,0.1,0.1,0.09,1.7,0.33,32.1,21.9,68.8,0.9,0.4,3.3,3.0,30.2,107.7,3.5,2.1,0.2,0.2,2.8,2.5,17.2,1.1,1.0,0.7,1.1,0.5,0.8,2.9,0.4,0.2,0.4,3.6,0.1,0.4,48.0,0.7,6.5,18.5,20.3,3.1,RW,0
