Player,Season,Age,Team,Assist,G+A,Non_penalty_goals,Non_penalty_xG,Expected_assisted_goals,Expected_assists,Non_penalty_expGoals_perShot,Shot_/90,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_toShot,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Attempted_long_passes,Long_passes_Cmp%,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Fouls_committed,Fouls_drawn,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Interceptions,Tackles_+Interc,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Succ_Takes_on%,Touches_Def_3rd,Touches_Att_Pen,Role,Tier_league
Didier Ibrahim Ndong,2019-2020,25,Dijon,0.1,0.1,0.0,0.0,0.1,0.0,0.04,0.7,0.0,0.2,31.6,0.6,0.2,0.1,4.9,835.6,228.1,6.5,72.7,199.7,94.5,1.8,1.1,0.1,0.9,0.9,0.1,0.1,1.7,1.5,40.9,1.3,0.6,1.1,1.1,1.0,0.2,1.8,4.2,1.4,1.1,0.2,0.7,0.8,59.4,17.2,0.6,DM,0
Didier Ibrahim Ndong,2020-2021,26,Dijon,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.2,0.0,0.0,16.7,0.3,0.2,0.1,5.3,847.8,232.7,7.6,73.2,197.0,88.0,1.3,0.8,0.0,1.3,0.6,0.0,0.0,1.1,1.0,46.3,1.4,0.6,0.9,1.6,1.2,0.2,1.3,3.1,1.2,1.1,0.1,0.7,0.7,71.0,14.4,0.2,DM,0
Dion Lopy,2021-2022,19,Reims,0.0,0.0,0.0,0.1,0.0,0.0,0.06,0.9,0.0,0.1,12.5,0.5,0.0,0.0,2.7,518.0,103.5,4.9,80.9,181.7,75.9,0.9,0.9,0.1,2.1,1.5,0.1,0.1,1.2,0.9,45.2,2.1,0.9,1.2,1.8,1.1,0.2,1.2,4.1,0.5,0.5,0.0,1.0,0.2,60.0,12.4,0.9,DM,0
Durel Avounou,2017-2018,19,Caen,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.7,0.0,0.1,20.0,0.4,0.3,0.1,1.8,380.9,128.7,5.7,41.5,93.2,32.5,0.7,0.7,0.3,1.7,0.8,0.0,0.0,0.7,0.6,38.5,1.0,0.7,0.7,1.7,1.7,0.1,1.4,3.6,5.1,0.3,0.0,0.1,2.9,83.3,11.2,0.8,CM,0
Dylan Chambost,2021-2022,23,Troyes,0.1,0.1,0.0,0.1,0.1,0.1,0.06,1.2,0.0,0.1,10.0,1.1,0.8,0.2,5.6,758.2,210.1,7.5,52.4,158.1,78.5,0.8,1.0,0.0,1.1,0.5,0.1,0.0,2.5,1.9,50.0,0.8,0.6,0.5,2.5,1.1,0.2,1.0,2.9,2.7,1.7,0.2,0.2,2.5,66.7,14.0,1.1,CM,0
Eddy Gnahoré,2018-2019,24,Amiens,0.1,0.2,0.2,0.2,0.1,0.1,0.14,1.2,0.29,0.6,46.7,1.2,0.5,0.0,3.5,656.4,138.7,3.7,79.6,210.3,87.2,1.8,1.3,0.3,1.7,1.7,0.3,0.2,2.4,2.0,51.8,1.4,0.4,0.4,1.2,1.2,0.2,0.9,2.5,1.3,1.0,0.1,0.1,0.2,62.2,8.8,2.1,DM,0
Eddy Gnahoré,2019-2020,25,Amiens,0.0,0.0,0.0,0.1,0.0,0.0,0.12,0.6,,0.0,0.0,0.6,0.2,0.0,4.5,843.5,187.1,4.9,69.4,210.3,91.7,1.0,1.2,0.1,1.7,1.7,0.2,0.1,1.6,1.5,50.0,2.3,0.4,0.6,1.6,2.0,0.3,0.7,2.6,2.1,1.8,0.0,0.3,0.5,42.9,13.6,0.6,DM,0
Eliot Matazo,2021-2022,19,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.5,0.0,0.1,25.0,0.5,0.5,0.0,5.2,653.0,147.4,4.1,66.7,195.6,83.7,1.6,0.9,0.0,1.5,0.6,0.0,0.0,1.3,1.0,38.1,1.8,0.9,0.2,1.0,1.3,0.3,1.5,2.4,0.8,0.8,0.1,0.5,0.1,52.9,9.1,0.5,CM,0
Ellyes Skhiri,2017-2018,22,Montpellier,0.0,0.1,0.1,0.1,0.0,0.0,0.06,1.2,0.4,0.3,25.6,0.9,0.5,0.0,5.3,697.9,178.5,6.1,80.2,133.6,61.2,0.8,1.2,0.1,0.9,0.6,0.1,0.1,2.5,2.1,50.7,1.1,0.9,1.1,1.5,1.7,0.3,2.3,4.9,0.8,0.8,0.2,0.8,0.2,82.0,11.7,0.5,CM,0
Ellyes Skhiri,2018-2019,23,Montpellier,0.1,0.1,0.1,0.0,0.0,0.0,0.05,0.7,0.6,0.1,20.0,0.7,0.5,0.1,5.1,696.6,183.2,5.2,77.5,141.8,58.6,1.1,1.0,0.2,1.1,1.0,0.3,0.2,2.4,2.0,57.1,1.2,1.0,1.3,1.4,1.7,0.2,1.7,4.8,1.4,1.0,0.1,0.6,0.2,74.4,12.1,0.8,CM,1
Enzo Le Fée,2020-2021,20,Lorient,0.2,0.2,0.0,0.1,0.2,0.2,0.04,1.5,0.0,0.2,16.1,1.6,0.6,0.1,5.0,556.3,155.3,6.5,49.6,193.7,94.8,2.3,2.6,0.2,2.3,1.7,0.4,0.1,3.0,2.1,16.0,1.2,2.0,1.3,2.3,1.5,0.3,1.2,3.8,4.5,1.7,0.2,0.5,3.5,66.1,9.4,0.7,CM,0
Enzo Le Fée,2021-2022,21,Lorient,0.1,0.2,0.1,0.1,0.1,0.1,0.06,1.4,0.22,0.4,27.3,2.1,0.9,0.5,5.6,696.3,205.0,9.2,61.2,250.4,114.8,2.6,2.1,0.3,2.9,1.8,0.3,0.2,4.1,2.4,45.0,1.3,2.1,1.7,2.0,1.0,0.0,1.2,4.1,5.3,1.3,0.2,1.0,4.2,45.7,10.8,1.0,CM,0
Enzo Le Fée,2021-2022,21,Lorient,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.06,0.06,0.22,0.4,78.3,3.9,0.9,0.5,5.6,696.3,5.6,9.2,41.6,250.4,114.8,2.6,2.1,0.3,2.9,4.3,0.3,0.2,4.1,45.0,1.3,2.1,1.7,2.0,1.0,0.0,1.2,4.1,5.3,1.3,0.2,1.0,4.2,45.7,10.8,1.0,CM,0
Fabinho,2017-2018,23,Monaco,0.1,0.3,0.1,0.1,0.1,0.1,0.13,0.6,0.6,0.1,23.8,1.1,0.8,0.0,7.7,960.8,284.3,9.0,79.0,198.1,111.1,1.9,1.1,0.3,0.7,0.6,0.5,0.3,2.7,2.0,67.6,1.7,1.9,1.4,1.9,1.4,0.4,1.3,4.6,1.6,1.5,0.2,0.5,0.3,72.5,13.1,1.0,CM,1
Facundo Píriz,2017-2018,27,Montpellier,0.0,0.0,0.0,0.1,0.0,0.0,0.06,1.0,0.0,0.1,11.1,0.3,0.0,0.0,3.2,679.1,169.3,5.6,66.0,113.2,35.4,0.6,0.8,0.0,0.7,0.6,0.0,0.0,0.9,0.8,55.6,1.4,1.0,0.7,3.2,1.1,0.1,2.0,4.8,1.3,0.9,0.0,0.7,0.2,60.0,13.9,0.7,CM,0
Faitout Maouassa,2017-2018,19,Rennes,0.2,0.2,0.0,0.1,0.2,0.1,0.04,1.5,0.0,0.4,26.7,0.9,0.5,0.3,2.3,244.7,70.9,2.6,26.9,195.9,91.2,3.8,2.8,0.7,2.6,2.1,0.2,0.2,2.3,1.9,31.6,1.2,1.4,0.2,0.8,1.2,0.2,0.6,1.2,1.4,0.3,0.0,0.0,3.3,29.0,3.3,1.2,LM,0
Flavien Tait,2017-2018,24,Angers,0.1,0.3,0.2,0.2,0.2,0.2,0.07,2.3,0.15,1.0,44.8,1.5,1.2,0.3,4.1,427.2,136.1,5.0,55.6,244.2,131.2,4.5,3.5,0.7,2.1,2.4,0.4,0.3,3.5,2.0,10.5,1.2,2.0,0.7,2.4,1.7,0.2,0.8,2.8,2.9,0.6,0.4,0.2,4.1,68.3,7.8,1.8,CM,0
Flavien Tait,2018-2019,25,Angers,0.2,0.4,0.2,0.2,0.3,0.2,0.07,2.5,0.14,1.1,44.0,2.2,1.2,0.3,4.8,505.0,169.9,6.7,47.1,278.1,160.3,5.5,3.8,1.2,3.0,2.1,0.5,0.3,5.0,2.7,40.0,1.0,2.1,0.7,1.1,0.9,0.1,0.8,2.6,5.4,1.7,0.3,0.1,6.0,55.4,7.0,3.0,CM,0
Flavien Tait,2019-2020,26,Rennes,0.2,0.4,0.2,0.1,0.1,0.1,0.09,1.4,0.5,0.4,28.6,1.8,1.7,0.2,5.2,452.6,119.1,3.5,50.0,241.9,138.9,4.7,3.1,0.8,2.0,1.8,0.4,0.4,4.3,3.1,23.5,1.1,1.9,0.9,1.9,0.7,0.0,0.9,2.9,1.6,0.3,0.1,0.0,2.0,68.8,8.1,1.8,CM,0
Flavien Tait,2020-2021,27,Rennes,0.2,0.3,0.1,0.1,0.1,0.2,0.08,1.6,0.13,0.5,32.0,1.4,1.1,0.0,6.8,763.7,182.8,6.8,74.8,245.3,121.1,3.0,2.1,0.7,1.8,0.9,0.3,0.2,3.4,2.4,47.4,1.2,2.0,0.7,1.4,1.1,0.2,0.9,2.6,1.8,0.6,0.1,0.6,1.8,48.9,9.0,2.8,CM,0
Flavien Tait,2021-2022,28,Rennes,0.1,0.3,0.2,0.1,0.1,0.1,0.06,1.8,0.42,0.5,28.6,1.3,1.3,0.1,8.0,803.9,202.0,6.6,85.2,272.5,134.8,2.8,2.0,0.6,1.9,1.4,0.5,0.3,4.1,3.1,36.4,1.3,2.0,0.6,1.1,0.6,0.2,0.8,2.0,1.3,0.9,0.2,0.8,0.4,60.4,9.4,2.4,CM,0
Flavien Tait,2020-2021,27,Rennes,0.2,0.3,0.1,0.1,0.1,0.2,0.0,0.08,0.04,0.13,0.5,82.8,5.1,1.1,0.0,6.8,763.7,5.1,6.8,40.3,245.3,121.1,3.0,2.1,0.7,1.8,6.1,0.3,0.2,3.4,47.4,1.2,2.0,0.7,1.4,1.1,0.2,0.9,2.6,1.8,0.6,0.1,0.6,1.8,48.9,9.0,2.8,CM,0
Georges Mandjeck,2017-2018,28,Metz,0.1,0.1,0.0,0.0,0.0,0.0,0.05,0.8,0.0,0.2,22.2,0.6,0.5,0.0,5.4,621.4,220.0,7.4,58.8,119.7,59.7,0.6,0.6,0.0,0.3,0.7,0.1,0.1,1.1,0.7,61.8,2.8,1.5,0.7,0.9,0.8,0.3,1.7,4.0,0.5,0.4,0.1,0.4,0.0,62.5,11.4,0.7,DM,0
Gerónimo Poblete,2017-2018,24,Metz,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.2,0.0,0.1,50.0,0.4,0.3,0.1,4.8,818.4,250.2,8.3,75.7,158.7,67.5,1.0,0.9,0.2,1.2,0.6,0.1,0.1,1.2,1.0,31.4,1.2,1.6,1.4,2.2,1.0,0.0,1.3,4.5,0.8,0.5,0.2,1.4,0.3,76.2,12.1,0.2,DM,0
Gerson,2021-2022,24,Marseille,0.1,0.5,0.3,0.2,0.1,0.1,0.0,0.11,0.2,0.5,0.6,89.3,2.5,0.9,0.1,3.3,615.8,2.5,3.2,39.9,205.3,95.3,2.2,1.8,0.6,1.5,6.1,0.4,0.3,2.9,54.8,1.6,2.4,0.3,1.0,0.9,0.1,0.6,2.1,3.3,1.1,0.0,0.3,0.8,63.8,6.7,3.1,CM,0
Giannelli Imbula,2017-2018,24,Toulouse,0.0,0.1,0.0,0.1,0.1,0.1,0.05,1.4,0.1,0.4,29.4,1.0,0.5,0.1,6.4,724.3,205.7,6.6,62.2,273.3,139.0,3.0,2.0,0.2,1.7,1.6,0.1,0.1,2.9,2.1,47.2,0.9,2.1,0.3,0.9,0.7,0.1,0.8,2.0,3.1,1.4,0.2,0.3,1.7,77.4,7.9,0.7,DM,0
Guessouma Fofana,2017-2018,24,Amiens,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.7,0.0,0.1,16.7,0.4,0.0,0.0,3.6,350.7,107.2,4.4,52.8,142.0,76.6,1.8,1.0,0.1,1.5,1.9,0.0,0.0,0.5,0.5,46.7,2.4,1.0,0.7,0.8,0.8,0.1,1.5,3.9,0.1,0.1,0.1,0.2,0.8,81.3,8.5,0.8,DM,0
Guessouma Fofana,2018-2019,25,2 Teams,0.0,0.0,0.0,0.1,0.0,0.0,0.13,0.8,,0.0,0.0,0.1,0.1,0.1,3.2,309.5,97.8,3.8,53.6,66.7,34.5,0.5,0.5,0.0,0.5,1.2,0.0,0.0,0.8,0.3,50.0,2.3,0.9,0.7,1.1,0.7,0.1,1.2,3.9,0.3,0.1,0.1,0.3,0.7,50.0,7.6,0.5,DM,0
Habib Maïga,2017-2018,21,Saint-Étienne,0.0,0.1,0.1,0.0,0.1,0.1,0.04,0.8,1.0,0.1,16.7,0.8,0.4,0.1,5.7,574.8,203.4,5.7,51.1,170.7,88.2,2.3,1.0,0.4,1.9,2.8,0.0,0.0,2.2,1.9,36.8,2.9,1.1,1.5,2.3,1.0,0.5,2.4,6.1,3.1,0.1,0.1,0.1,2.0,86.4,17.3,0.5,DM,0
Habib Maïga,2019-2020,23,Metz,0.1,0.1,0.0,0.1,0.1,0.1,0.05,1.2,0.11,0.4,31.0,0.5,0.6,0.2,4.8,704.8,184.7,6.1,61.4,216.5,103.5,2.2,1.9,0.2,1.8,1.1,0.4,0.3,1.9,1.6,45.1,1.9,1.0,1.0,1.6,1.5,0.2,1.4,4.7,1.0,0.7,0.1,0.6,2.1,83.0,13.1,1.2,DM,0
Habib Maïga,2020-2021,24,Metz,0.1,0.1,0.0,0.1,0.1,0.0,0.08,0.9,0.2,0.2,19.2,0.9,0.2,0.1,5.4,685.4,199.5,6.1,54.9,158.4,78.8,1.6,1.0,0.1,1.5,1.1,0.3,0.2,2.5,2.0,55.7,2.1,1.2,1.4,1.4,1.2,0.2,1.6,4.3,1.2,0.8,0.1,0.7,0.7,68.0,13.3,1.1,DM,0
Habib Maïga,2021-2022,25,Metz,0.0,0.1,0.1,0.1,0.0,0.0,0.09,0.8,0.4,0.4,45.5,0.7,0.2,0.1,3.8,526.2,159.9,3.9,50.9,116.1,52.1,1.0,0.7,0.0,1.3,1.4,0.1,0.1,1.8,1.6,60.7,2.1,0.7,1.7,1.7,1.4,0.5,1.0,4.3,1.8,0.3,0.0,0.6,1.6,81.3,13.8,0.9,DM,0
Haris Belkebla,2019-2020,25,Brest,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.1,42.9,0.4,0.2,0.0,3.8,644.1,165.2,4.5,74.4,156.6,72.2,0.9,0.8,0.0,1.1,0.9,0.1,0.1,1.2,1.0,30.2,1.4,1.6,0.5,0.9,1.2,0.2,2.6,4.8,0.8,0.8,0.0,0.2,0.2,72.0,13.3,0.4,CM,0
Haris Belkebla,2020-2021,26,Brest,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.2,,0.0,0.0,0.4,0.3,0.0,4.2,734.5,214.7,5.4,77.3,159.8,71.8,0.7,0.6,0.1,1.2,0.8,0.1,0.1,1.2,1.0,40.4,1.3,1.1,1.0,1.2,0.9,0.2,1.9,4.2,1.3,1.0,0.0,0.2,0.4,67.6,17.3,0.5,CM,0
Haris Belkebla,2021-2022,27,Brest,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.2,0.0,0.0,25.0,0.6,0.4,0.2,3.8,562.8,160.1,4.6,76.1,155.8,66.1,0.6,0.6,0.1,1.3,0.7,0.0,0.0,1.3,1.2,55.3,1.1,1.5,0.7,0.8,1.0,0.2,1.9,3.7,1.4,0.7,0.0,0.4,0.4,73.2,11.5,0.4,CM,0
Hianga Mananga Mbock,2021-2022,21,Brest,0.0,0.0,0.0,0.1,0.0,0.0,0.05,1.0,,0.0,0.0,0.1,0.5,0.0,3.9,473.9,111.2,2.6,78.3,144.9,62.3,1.1,0.3,0.1,0.7,1.0,0.1,0.1,0.7,0.5,50.0,2.3,1.1,1.0,1.4,0.6,0.2,0.6,2.6,1.2,1.0,0.0,0.3,0.0,71.4,7.5,0.7,CM,0
Hicham Boudaoui,2020-2021,20,Nice,0.1,0.3,0.2,0.1,0.1,0.1,0.13,0.8,0.33,0.5,56.3,0.4,0.5,0.1,3.3,535.3,124.2,3.2,61.3,171.8,83.7,1.7,1.5,0.2,2.0,1.1,0.2,0.1,1.0,0.7,35.0,1.5,1.0,1.3,2.2,0.7,0.2,1.2,3.9,0.6,0.5,0.0,0.3,0.8,61.5,11.8,1.4,CM,0
Hicham Boudaoui,2021-2022,21,Nice,0.1,0.3,0.2,0.1,0.2,0.1,0.07,0.9,0.6,0.3,31.3,0.8,0.8,0.4,2.6,379.0,82.0,2.7,36.7,178.2,70.1,2.1,1.3,0.6,2.3,1.3,0.2,0.2,1.8,1.5,44.8,1.7,1.2,0.7,1.3,0.9,0.2,1.0,2.7,0.4,0.1,0.0,0.1,2.7,52.4,8.7,2.2,CM,0
Hugo Magnetti,2021-2022,23,Brest,0.1,0.1,0.0,0.0,0.1,0.0,0.03,1.0,0.0,0.1,11.8,0.4,0.5,0.1,4.2,642.5,149.9,6.5,69.5,178.4,78.7,1.0,1.0,0.2,1.6,0.9,0.1,0.0,1.2,1.0,40.0,1.6,1.2,1.4,1.7,0.9,0.2,1.5,4.6,1.6,1.5,0.1,0.6,0.6,56.0,12.7,0.7,CM,0
Ibrahim Amadou,2017-2018,24,Lille,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.6,0.0,0.1,12.5,0.4,0.1,0.0,4.3,1010.2,342.7,9.7,71.9,192.0,107.9,0.7,0.5,0.0,0.7,0.4,0.0,0.0,1.0,0.8,55.0,0.9,0.6,0.5,0.5,1.1,0.5,1.5,3.1,1.2,1.2,0.0,0.9,0.1,84.6,24.2,0.6,DM,0
Ibrahim Amadou,2020-2021,27,Angers,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.9,0.0,0.3,33.3,0.2,0.1,0.0,3.8,567.2,180.9,3.5,62.7,115.4,53.7,0.8,0.5,0.2,0.8,1.0,0.2,0.2,1.5,1.3,52.8,2.0,0.3,0.9,1.4,0.8,0.2,1.4,3.7,0.8,0.7,0.0,0.3,0.2,66.7,12.4,0.7,DM,0
Ibrahim Amadou,2021-2022,28,Metz,0.0,0.1,0.1,0.0,0.0,0.0,0.13,0.3,0.5,0.2,66.7,0.3,0.0,0.0,2.3,808.0,246.5,6.7,71.7,193.2,101.6,0.7,0.4,0.0,1.0,0.6,0.0,0.0,1.0,0.9,46.7,1.2,0.4,0.9,0.8,0.4,0.2,1.6,3.3,1.0,1.0,0.0,0.6,0.0,85.7,27.8,0.4,DM,0
Ibrahim Sangaré,2017-2018,19,Toulouse,0.1,0.2,0.1,0.1,0.1,0.1,0.05,1.1,0.2,0.3,25.0,1.1,0.5,0.1,7.1,652.6,216.4,9.2,58.3,184.0,90.7,1.9,1.1,0.1,1.4,1.4,0.3,0.3,2.8,2.4,52.8,2.2,1.2,1.6,2.3,1.9,0.4,1.4,5.4,1.3,0.7,0.4,0.6,0.9,80.6,11.8,1.0,DM,0
Ibrahim Sangaré,2018-2019,20,Toulouse,0.1,0.1,0.0,0.1,0.1,0.1,0.06,1.3,0.17,0.2,16.2,0.7,1.0,0.0,8.3,787.9,317.4,9.8,58.6,202.3,105.0,1.3,1.6,0.0,2.0,1.2,0.1,0.0,2.0,1.7,57.4,1.9,1.4,1.2,1.1,1.9,0.7,1.1,4.8,1.3,1.0,0.4,0.5,0.4,70.4,16.5,1.0,DM,1
Ibrahim Sangaré,2019-2020,21,Toulouse,0.0,0.0,0.0,0.1,0.1,0.1,0.09,0.9,0.0,0.2,22.7,1.1,0.8,0.1,7.2,754.3,294.7,9.3,59.1,187.6,97.8,1.4,1.1,0.1,1.7,1.0,0.2,0.1,2.7,2.2,66.2,2.0,1.0,1.4,1.7,1.2,0.4,1.6,5.1,1.7,1.1,0.2,0.6,0.9,76.9,16.4,1.2,DM,1
Ibrahima Diallo,2019-2020,20,Brest,0.1,0.1,0.0,0.0,0.0,0.0,0.03,0.3,0.0,0.1,40.0,0.6,0.2,0.0,4.0,838.7,194.4,6.6,77.4,205.7,102.7,1.4,0.6,0.1,1.3,1.3,0.2,0.2,1.1,1.0,57.7,1.0,1.3,0.7,1.0,0.5,0.1,1.3,3.5,1.2,1.2,0.2,0.5,0.3,81.3,16.6,0.2,DM,1
Ibrahima Sissoko,2018-2019,20,Strasbourg,0.1,0.2,0.1,0.1,0.1,0.1,0.05,0.9,0.38,0.3,28.6,0.7,0.6,0.2,4.8,570.8,133.6,5.0,70.1,156.2,80.2,2.0,1.2,0.2,1.8,1.3,0.2,0.2,2.3,2.0,55.1,2.5,0.9,0.8,1.1,1.2,0.1,1.1,3.2,0.1,0.1,0.1,0.7,0.6,58.9,9.2,1.5,DM,0
Ibrahima Sissoko,2019-2020,21,Strasbourg,0.1,0.1,0.0,0.0,0.1,0.1,0.05,0.9,0.0,0.1,6.3,0.8,0.4,0.2,4.2,498.8,132.0,3.8,69.1,163.6,83.4,2.5,2.1,0.2,1.9,1.5,0.2,0.2,2.0,1.6,58.5,2.3,0.8,0.9,1.8,0.8,0.3,1.1,3.7,1.0,0.6,0.0,0.8,1.1,43.5,10.0,1.2,DM,0
Ibrahima Sissoko,2020-2021,22,Strasbourg,0.0,0.0,0.0,0.1,0.0,0.0,0.08,0.9,0.0,0.1,12.0,0.2,0.5,0.1,4.5,583.3,176.8,6.5,62.4,133.6,66.1,1.0,1.0,0.1,1.6,0.8,0.1,0.1,1.2,0.9,70.5,2.3,0.8,1.0,1.4,0.8,0.2,1.7,4.0,0.6,0.4,0.0,0.6,0.9,70.7,11.8,0.9,DM,0
Ibrahima Sissoko,2021-2022,23,Strasbourg,0.2,0.3,0.1,0.1,0.2,0.1,0.1,1.0,0.33,0.2,23.1,1.1,0.8,0.2,3.9,549.2,180.2,4.9,59.2,190.5,102.2,2.0,1.4,0.2,1.8,1.3,0.3,0.3,2.2,1.8,67.0,2.3,1.1,0.7,1.1,1.3,0.4,1.4,3.2,0.6,0.4,0.1,0.2,0.8,53.2,12.9,2.4,DM,0
Imran Louza,2019-2020,20,Nantes,0.1,0.2,0.1,0.1,0.2,0.1,0.05,1.6,0.14,0.6,40.0,1.6,0.6,0.1,4.5,641.7,169.3,8.3,46.2,185.9,84.2,1.4,1.8,0.1,1.9,1.1,0.2,0.2,3.3,2.2,25.6,2.1,1.5,0.9,1.2,0.8,0.1,0.8,3.1,5.6,2.2,0.2,0.8,3.5,59.0,8.0,1.3,CM,0
Imran Louza,2020-2021,21,Nantes,0.1,0.3,0.1,0.1,0.1,0.1,0.06,1.2,0.22,0.3,29.0,0.9,0.5,0.1,5.8,650.4,196.6,8.1,52.1,145.4,72.8,1.2,1.4,0.2,1.9,0.8,0.2,0.1,2.3,1.3,29.2,1.3,1.7,0.8,1.8,0.8,0.2,1.3,3.4,5.0,2.9,0.1,0.5,3.4,60.0,10.1,1.0,CM,0
Ismaël Diomandé,2017-2018,24,Caen,0.1,0.1,0.0,0.0,0.1,0.0,0.03,0.4,,0.0,0.0,0.1,0.3,0.1,3.4,631.4,246.5,8.6,66.2,168.0,106.4,1.1,0.6,0.0,0.8,0.3,0.1,0.1,0.3,0.3,50.0,1.1,0.3,1.3,0.6,1.4,0.6,0.6,2.4,0.4,0.4,0.0,0.9,0.3,100.0,19.7,0.4,DM,0
Ismaël Diomandé,2018-2019,25,Caen,0.1,0.1,0.0,0.0,0.0,0.0,0.02,0.6,,0.0,0.0,0.3,0.1,0.1,3.5,669.3,200.1,9.3,66.2,143.4,65.7,0.4,0.3,0.0,0.9,0.9,0.1,0.1,1.1,1.1,58.3,1.9,1.3,0.8,0.6,1.2,0.5,0.7,2.6,1.0,1.0,0.0,0.9,0.3,61.5,16.6,0.1,DM,0
Jérémy Gélin,2017-2018,20,Rennes,0.1,0.1,0.0,0.0,0.0,0.0,0.05,0.2,,0.0,0.0,0.5,0.3,0.0,5.4,1010.4,369.5,13.5,66.6,154.6,100.6,0.5,0.4,0.0,0.2,0.1,0.1,0.1,1.2,1.1,55.6,1.3,0.6,0.8,1.3,0.9,0.5,1.4,2.9,1.6,1.5,0.1,1.3,0.1,60.0,22.9,0.2,DM,0
Jérémy Gélin,2018-2019,21,Rennes,0.0,0.0,0.0,0.1,0.0,0.1,0.12,0.5,0.0,0.1,28.6,0.4,0.3,0.0,5.6,1029.4,348.0,11.3,70.2,165.8,96.7,0.4,0.1,0.0,0.4,0.1,0.1,0.1,1.3,1.1,37.1,1.2,0.6,1.3,1.1,1.0,0.4,1.3,3.5,1.3,1.3,0.0,0.5,0.0,85.7,21.1,0.4,DM,0
Jérémy Gélin,2019-2020,22,Rennes,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.3,,0.0,0.0,0.2,0.1,0.0,3.7,1008.6,402.1,10.3,75.5,170.0,72.2,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.6,0.6,54.1,0.7,0.9,0.8,0.5,1.4,0.7,1.5,2.8,1.4,1.4,0.0,0.1,0.1,0.0,32.0,0.8,DM,0
Jakob Johansson,2018-2019,28,Rennes,0.0,0.1,0.1,0.1,0.1,0.0,0.11,0.6,0.5,0.3,40.0,0.5,0.5,0.1,4.8,737.2,178.0,4.9,74.4,147.1,73.1,1.3,0.4,0.0,0.8,0.5,0.1,0.1,1.3,1.1,70.4,0.8,0.9,1.3,1.3,0.9,0.4,0.4,2.5,0.9,0.9,0.0,0.5,0.1,50.0,16.9,0.3,DM,0
James Lea Siliki,2017-2018,21,Rennes,0.1,0.2,0.1,0.1,0.1,0.1,0.08,1.7,0.33,0.4,26.5,1.0,0.6,0.3,4.4,497.1,130.5,7.1,54.2,165.3,87.0,2.3,1.7,0.3,2.0,1.1,0.3,0.1,3.2,1.8,50.0,1.9,2.4,0.3,1.7,1.0,0.0,0.9,2.4,2.1,0.8,0.3,0.7,2.9,56.9,5.5,1.2,CM,0
James Lea Siliki,2018-2019,22,Rennes,0.2,0.2,0.0,0.1,0.3,0.1,0.07,1.5,0.0,0.3,19.0,1.3,0.8,0.3,4.3,388.6,129.1,6.6,41.1,180.7,101.1,2.7,2.7,0.7,2.4,0.9,0.4,0.3,3.2,1.9,30.0,1.8,1.8,0.9,1.7,1.0,0.1,0.7,2.7,1.3,0.4,0.1,0.7,4.3,36.4,7.3,2.4,CM,0
James Lea Siliki,2019-2020,23,Rennes,0.0,0.0,0.0,0.1,0.1,0.1,0.06,1.3,0.0,0.3,20.0,0.7,0.6,0.2,2.7,405.0,88.4,4.5,42.6,160.9,77.6,1.9,1.7,0.3,1.6,1.2,0.2,0.2,2.3,1.7,52.6,2.8,2.8,1.3,1.1,1.3,0.3,1.0,3.3,1.1,1.1,0.3,0.3,1.8,63.2,10.2,1.0,CM,0
Jan Repas,2017-2018,20,Caen,0.0,0.0,0.0,0.1,0.1,0.0,-0.1,0.03,0.0,0.0,0.4,70.0,1.9,0.5,0.0,2.5,261.5,1.2,2.1,22.0,195.7,59.2,2.1,1.8,0.3,3.1,9.1,0.0,0.0,2.2,26.7,1.9,1.9,0.4,1.4,1.0,0.0,0.7,2.1,1.3,0.0,0.0,0.3,1.6,40.9,3.4,1.7,CM,0
