Player,Season,Age,Team,Expected_assists,Shot_/90,Passes_attempted,Passes_completition%,Crosses_into18yard_box,TotProgressive_passes,Attempted_long_passes,PrgDist_Carries,Carries_into_final_third,Miscontrols,Dispossesd,Received,Shot_creating_actions,Aerials_Won%,Yellow_cards,Fouls_committed,Fouls_drawn,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Succ_Takes_on%,Touches_Def_Pen,Touches_Def__3rd,Touches_Mid__3rd,Touches_Att__3rd,Touches_Att__Pen,Role,Tier_league
Steeve Yago,2017-2018,24,Toulouse,0,0,32.5,41.9,0.6,525.8,2.7,60.4,1.1,1,0.7,21.6,1.4,57.1,0.4,2.4,1.4,2.1,1.1,1,0.4,0.5,1.9,4.7,3.7,12,1.4,0.1,0.1,1,0,43.8,3.5,17.3,24.9,11.4,0.4,RB,0
Steven Moreira,2018-2019,23,Toulouse,0.1,0.07,32.7,43.1,0.5,501.5,2,69,1.3,1.8,1,26.9,1.1,26.3,0.2,1.4,0.5,0.8,1,0.7,0,1.5,1,3,2,11.1,0.4,0,0.4,1.8,0.2,45.5,2.4,14.9,25,15.3,1.6,RB,0
Steven Moreira,2019-2020,24,Toulouse,0.1,0.04,36.2,47,0.8,595.5,3.2,106.7,2.1,1,0.7,29.9,1.9,36,0.2,1.8,0.6,1.6,1.2,0.8,0.2,0.8,1,3.4,1.9,9,0.5,0.1,0.1,2.1,0,68.8,3.7,18.7,24.1,14.1,0.5,RB,0
Thomas Delaine,2019-2020,27,Metz,0.1,0.5,49.3,68.9,0.6,208.1,6.2,144.5,3.9,1.6,0.8,33.9,1.7,33.3,0.3,1.6,0.8,1.1,0.9,0.6,0.1,1.1,1.1,2.9,2,10.9,0,0.2,4.8,4.8,0,58.6,1.8,15.1,27.8,17.9,0.9,LB,0
Thomas Delaine,2020-2021,28,Metz,0.1,0.9,42,72.4,0.7,146.9,4.7,152.5,3.5,1.4,0.6,31.6,1.5,29.6,0.2,1.1,0.9,0.9,1,0.8,0.3,0.9,1.2,2.8,1.5,7.1,0,0.1,4.3,4.3,0,56.9,2.4,14.9,22.5,15.4,1.2,LB,0
Thomas Foket,2018-2019,23,Reims,0,0.1,44.9,74.5,0.2,226.8,4.6,69.8,1,0.9,0.5,25.9,1.2,40.6,0.2,1.5,1.3,1.6,1.3,0.8,0.1,0.8,1.5,4.4,2.5,10.5,0,0.2,1.7,1.7,0,52.4,3,19.2,23.9,12.2,0.6,RB,0
Thomas Foket,2019-2020,24,Reims,0.1,0.06,38.4,48.4,0.7,646.4,2.8,97.7,1.1,0.8,0.4,30.3,1.8,42,0.1,1,1.2,1.3,1.1,0.7,0.1,0.4,1.4,3.7,2.2,11,0.8,0,0.4,1.8,0,61.9,3.1,19.7,25.6,12.7,0.9,RB,0
Thomas Foket,2020-2021,25,Reims,0,0.03,40.8,52.1,0.7,721.2,4,101.6,1.6,1,0.5,34.3,1.3,40,0.1,0.9,0.9,1.2,1.1,0.8,0.2,0.6,1.9,4,2.5,10.7,0.8,0,0.5,1.6,0,60,3.3,23.9,24.3,13.6,0.6,RB,0
Thomas Foket,2021-2022,26,Reims,0.1,0.07,33.6,43.3,1,556.8,3.2,71.5,1,1.4,0.7,31,1.4,44.1,0.2,1,1.1,0.8,0.7,0.9,0.2,0.9,1.3,2.5,1.4,6.7,0.7,0,0.5,2.6,0.1,50,3.5,17.4,20.3,14.3,1.1,RB,0
Thomas Meunier,2017-2018,25,Paris S-G,0.3,0.07,54.2,66.2,1.5,701.3,2.7,162.2,3.9,0.8,0.5,49.4,2.3,67.6,0.2,1.7,0.3,1.2,1,0.9,0.1,0.3,1,3.2,3.1,8.7,0.9,0.2,0.3,4.3,0.1,73.1,3.1,16.2,36.6,22.7,2.7,RB,1
Thomas Meunier,2018-2019,26,Paris S-G,0.3,0.13,44.8,54.7,1.3,659.1,2.6,127.8,2.6,0.8,0.6,39.7,2.2,65.4,0.1,1.3,0.2,1.8,1.2,0.8,0.1,0.6,1.1,3.5,1.6,6,0.2,0.2,0.4,2.9,0.1,50,2.2,14,27.3,22.8,3,RB,1
Thomas Meunier,2019-2020,27,Paris S-G,0.2,0.11,55.7,67.4,1.6,914.8,4.8,113,2.3,0.7,0.3,48.3,2.1,63,0.2,1.4,0.1,1.5,1.2,0.7,0.4,0.9,1.3,3.3,1.4,9.1,0.5,0,0.5,4,0.1,56.3,2.2,15.9,36.2,24.3,2.3,RB,1
Timothee Pembele,2021-2022,18,Bordeaux,0.3,0.05,27.6,38.8,0.6,383,0.8,122.7,2.4,4.1,1.3,29.3,2.3,38.5,0.2,1.2,1.1,0.5,0.6,1.2,0.2,0.6,1,2.3,1.5,11.3,0.4,0,0,2.6,0,50.6,1.9,13.1,24.2,18.8,3.4,RB,0
Valentin Rosier,2017-2018,20,Dijon,0.1,0.07,36.6,47.6,0.7,577.3,2.7,110.4,1.9,1.4,1.7,30.6,1.6,53.1,0.2,2,0.6,1.7,0.8,1.4,0.3,1.1,1.9,4.2,4,10.1,0.4,0.1,0.2,1.7,0,77.4,3.4,18.1,29.2,13.1,0.6,RB,0
Valentin Rosier,2018-2019,21,Dijon,0.1,0.04,44.2,53,0.6,709,2.5,100.8,1.7,1.6,1.5,34.6,2,56.3,0.1,2.2,1.2,1.5,1,0.9,0.2,1.3,2,4.7,2.8,10.8,0.7,0,0.4,1.7,0,61.5,3.1,18.2,31.6,16.3,0.7,RB,0
Vanderson,2021-2022,20,Monaco,0.2,0.09,34,47.5,1.8,586,3.6,101.6,1.4,3.6,1.5,39.5,2.3,46.7,0.2,1.5,0.9,1.5,1.2,0.6,0.3,1,1,3.9,1,3.6,0.3,0.1,0.5,2.3,0.2,37.8,2.1,10.3,27.2,25.6,3.5,RB,1
Vincent Manceau,2017-2018,28,Angers,0.1,0.04,40.3,52.6,0.8,647.3,3.2,87.7,1.5,0.7,0.6,30.8,1.5,53.6,0,0.8,0.9,1.5,1.3,1,0.1,1,1,3.6,3.1,13.8,1,0.1,0.2,1.9,0,66.7,2.6,19.5,29.8,14.4,0.7,RB,0
Vital N'Simba,2021-2022,28,Clermont Foot,0.2,0.03,45.7,59.2,1.6,724.1,3,128.5,1.8,1.6,1.3,43.3,2.1,40,0.1,0.9,1.6,1.5,1.2,0.9,0.2,0.7,0.9,3.1,1,10.3,0.8,0.2,0.5,3.6,0.1,69.4,2,20.2,32.8,16.9,0.6,LB,0
Yoël Armougom,2018-2019,20,Caen,0.1,0.5,43.8,70.5,0.5,227.4,7.8,81.9,1.5,1.4,0.4,28.9,1.9,49.1,0.2,0.9,0.7,1,0.7,0.7,0.1,0.3,1,2.5,3.2,9.1,0,0.1,3.4,3.4,0,35.5,2.3,17,26.2,11.2,0.3,LB,0
Yoann Andreu,2017-2018,28,Angers,0.1,0.2,52.9,77.8,0.6,278.2,5.4,89.8,2.2,0.9,0.8,32.3,1.7,57.4,0.2,0.9,0.7,1.3,0.7,1,0.2,0.8,1.6,3.7,3.3,11.3,0,0.2,2.6,2.6,0,54.2,2.5,21,28.1,14.1,0.5,LB,0
Youcef Atal,2021-2022,25,Nice,0.1,1,58.3,75.3,0.6,213.6,6.9,146.7,3.3,1.5,1.5,42.4,2.4,68.4,0.3,1.3,1.8,1.5,1.1,0.9,0.2,0.9,2.5,4.8,1.7,9.5,0.3,0.2,4.3,4.3,0.1,46.2,2.1,17.3,32.2,22.9,2.3,RB,0
Youssouf Koné,2018-2019,23,Lille,0.1,0.03,44.6,56.6,1.2,715.3,3.3,123,3,0.9,0.5,39.1,2,34.2,0.2,0.9,1.4,2,2.2,1.3,0.2,1.5,2.1,5.6,2.7,10.4,1,0,0.3,3.7,0,63,2.8,20.5,35,14.2,0.3,LB,0
Youssouf Koné,2019-2020,24,Lyon,0,0.02,61,72,0.4,993.2,5.5,139.4,2.2,1.4,1,55.5,1.9,46.2,0.1,0.4,0.7,1.5,1.3,0.9,0.1,0.1,0.9,3.3,1.7,9.4,0.9,0,0.6,2.6,0,72.7,2.2,21.6,45.1,14.5,0.1,LB,0
Youssouf Koné,2021-2022,26,Troyes,0.1,0.02,29.6,40.3,1,540.2,3.5,102.2,1.3,0.4,1,30.3,1.2,37.5,0.2,0.6,1.8,1.7,1.7,1,0.3,0.5,0.9,3.7,2.3,4.4,0.4,0.2,0.6,3,0,71.4,2.9,18,23.1,9.8,0.3,LB,0
Youssouf Sabaly,2017-2018,24,Bordeaux,0.1,0.06,48.3,61.2,1.3,707,3.3,113,2.6,1.6,1,39.7,2.1,49.4,0.1,1.1,0.9,1.8,1.3,0.7,0.2,0.6,1.6,4.3,3,12.7,1,0.1,0.2,4,0,64.6,2.8,19,35.9,18.7,0.7,RB,0
Youssouf Sabaly,2018-2019,25,Bordeaux,0.1,0.05,47.1,59.2,1.1,662.6,1.6,118.8,2.4,1.8,1.5,41.2,1.7,37.5,0.1,1.5,1.4,1.5,1.2,1,0.1,0.8,1.2,3.4,2,10.4,0.7,0,0.1,2.5,0,44.4,3,20.2,34.2,17.1,1.4,RB,0
Youssouf Sabaly,2019-2020,26,Bordeaux,0.1,0.05,46.4,58.2,1.2,694.1,2.3,92,1.8,0.9,1.2,40.9,2.4,48.1,0.1,1.1,1.4,1.1,0.6,1.6,0.1,0.7,1.8,3.5,2.3,9.2,0.7,0.3,0.1,3.1,0,52.6,3.5,16.5,38.4,16.4,1.4,RB,1
Youssouf Sabaly,2020-2021,27,Bordeaux,0.1,0.05,50.6,60.5,0.7,729.4,2.3,101.2,1.7,1.5,1,43.3,2.1,50,0.1,1,1.3,1,0.8,0.6,0.2,0.7,1.5,3,1.8,11,0.6,0,0,1.5,0,57.7,3,19.6,35.6,16.2,0.7,RB,1
Yuri Berchiche,2017-2018,27,Paris S-G,0.1,0.5,62.1,86.5,0.4,223.1,2.4,88.9,1.2,1,0.4,47.4,1.9,69.6,0.2,0.9,1.5,1.4,0.6,0.7,0.1,0.7,1.3,3.3,2.8,7.4,0,0.1,2.9,2.9,0,75,2.2,16.7,35.5,19.5,2.2,LB,1
Yvann Macon,2021-2022,22,Saint-Étienne,0.1,0.02,44,59,1.1,711.5,3.5,110.2,1.5,2.4,0.8,40.5,1.6,35.6,0.4,1.4,0.7,1.3,0.9,1.5,0.2,0.8,1.1,3.5,1.6,12.7,0.7,0.1,0.9,3.4,0.1,38.8,2.3,19.9,35.4,17.5,0.5,RB,0
Zeki Çelik,2018-2019,21,Lille,0.1,0.5,52.3,74.5,0.5,222.9,5.5,82.1,1.8,0.9,0.6,32.4,2.5,41.4,0.2,1.7,0.8,1.8,1.1,1.6,0.2,0.9,1,3.8,2.7,11.7,0.1,0.1,2.6,2.6,0,59.3,2.9,16,29.9,16.9,1,RB,1
Zeki Çelik,2019-2020,22,Lille,0.1,0.2,59.8,78.1,0.3,284.3,7.8,107.3,2,1.3,0.8,39.3,1.6,44.4,0.2,1.7,0.5,1.2,1.2,1.4,0.2,0.9,1.1,3.4,1.7,11.9,0,0.4,2.3,2.3,0,44.1,2,14.1,37.4,19.1,1.3,RB,1
Zeki Çelik,2020-2021,23,Lille,0.1,0.6,62.3,77.2,0.3,295.9,6.9,108.5,2,1.3,0.5,44.3,2,53.2,0.3,2.1,0.6,1.2,1.7,1.4,0.2,1,1.4,4.2,2,10.9,0,0.3,2.3,2.3,0,52.5,2.5,18.7,37.3,17.9,1.7,RB,1
Zeki Çelik,2021-2022,24,Lille,0.1,0.8,58.6,79.2,0.4,269.9,6.5,126.8,1.8,1,0.4,41.7,1.7,64.5,0.3,1.3,0.5,1.2,1.2,0.9,0.3,0.8,1.4,3.6,2.1,9.7,0.1,0.7,2.2,2.2,0,50,3.1,18.3,34.9,16.7,1.8,RB,1
