Player,Season,Age,Team,Expected_assists,Shot_/90,Passes_attempted,Passes_completition%,Crosses_into18yard_box,TotProgressive_passes,Attempted_long_passes,PrgDist_Carries,Carries_into_final_third,Miscontrols,Dispossesd,Received,Shot_creating_actions,Aerials_Won%,Yellow_cards,Fouls_committed,Fouls_drawn,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Succ_Takes_on%,Touches_Def_Pen,Touches_Def__3rd,Touches_Mid__3rd,Touches_Att__3rd,Touches_Att__Pen,Role,Tier_league
Mehdi Zeffane,2018-2019,26,Rennes,0.1,0.1,47.2,57.8,0.6,741.9,3.5,103.3,1.4,1.1,0.7,41.5,1.5,47.2,0.3,0.8,0.4,1,0.7,1.2,0.4,0.7,1.3,2.7,2.6,10.1,0.7,0,0.2,2.1,0,40,2.7,20.6,31.1,17.1,0.6,RB,0
Melvin Bard,2021-2022,20,Nice,0.1,0.2,65.3,80.3,0.5,300.8,7.2,126.2,1.9,1.4,0.6,44.9,1.6,56.9,0.1,0.7,1,1.3,1.4,0.8,0.3,0.8,1.8,3.8,1.9,10.3,0,0.1,3,3,0,59.5,3,20.6,42.5,13.7,0.5,LB,0
Miguel Trauco,2019-2020,26,Saint-Étienne,0.1,0.08,37.8,51.5,0.7,572.3,2,69.5,1,1.2,1,33.4,1.4,35.7,0.4,1.5,0.2,1.2,1.2,1.5,0.1,0.4,1.4,3.4,1.5,10.8,0.8,0,0.5,1.6,0.3,65.8,2.3,17.1,30.6,13.7,0.7,LB,0
Miguel Trauco,2020-2021,27,Saint-Étienne,0.1,0.03,47.9,63.3,1.3,796.7,4,64.7,1.3,1.1,0.5,40.8,2.1,55,0,1.3,0.5,1.3,1,0.9,0.2,0.7,1.3,3.4,1.5,13,2,0,0.4,3.3,0.2,35.7,2.3,23.4,34.1,15.2,0.4,LB,0
Miguel Trauco,2021-2022,28,Saint-Étienne,0.1,0.04,41.4,57.5,0.9,661.9,2.8,83.4,1.2,0.6,0.4,40.3,1.2,45.8,0.2,0.6,0.6,1.5,1,0.8,0.3,0.7,1.9,3.9,1.4,9.9,0.9,0.1,0.6,3.7,0,37.5,3,18.9,32.6,16.2,0.6,LB,0
Mihailo Ristić,2019-2020,23,Montpellier,0.1,0.04,30.2,41.6,0.9,521,3.9,74.9,1.6,2.8,0.4,31.2,2.1,46.4,0.1,1.7,0.6,1.6,1,1.2,0.2,0.6,0.8,2.8,2,6.1,0.4,0,0.1,3.1,0,40,2.3,11.4,25.5,15.5,1.3,LB,0
Mihailo Ristić,2020-2021,24,Montpellier,0.1,0.04,38.6,50.9,1.4,718.6,5.5,97.6,2,1.3,0.8,35.3,1.8,46.2,0.2,1.1,0.7,0.9,1.1,0.6,0.4,0.8,1,2.9,2.3,9.8,0.7,0,0.6,3.8,0,48.9,3.9,17.6,28.7,16.9,0.5,LB,0
Mihailo Ristić,2021-2022,25,Montpellier,0.1,0.03,39.1,52.7,0.7,630.4,3.2,117.9,2,1.4,1,35.4,2.2,60,0.1,1.3,1.3,1.6,1.2,0.9,0.3,0.5,0.8,3,2.4,11.2,1.2,0.2,0.6,3,0,68.3,3.9,20.3,29.8,14.4,0.8,LB,0
Mitchel Bakker,2020-2021,20,Paris S-G,0.1,0.1,70.9,88.2,0.5,222.9,3.4,78.4,1.6,1,0.6,54.4,2,63.9,0.1,0.9,0.5,1.6,0.9,0.5,0.1,1.1,1.2,3.2,1.1,7,0,0.1,2.7,2.7,0,50,2.4,17.1,36.9,25.6,1.5,LB,1
Muzinga Ngonda,2020-2021,25,Dijon,0.1,0.03,46.6,66,1.2,781,4.1,90.1,1.8,1.6,0.7,43.2,1.4,44.3,0.2,1.4,0.6,1.6,1.2,0.8,0.1,1,2.8,5.1,2.3,11.6,1.1,0.1,0.2,2.7,0.1,64.3,4.1,26.6,38.5,14.1,0.4,LB,0
