Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best,p_upward_mlp,rank_mlp,percentile_mlp
Andrei Girotto,2018-2019,Nantes,CB,0,0.05140061,106,0.5714285714285714,0.4459303903359236,57,0.7714285714285715
Alexander Djiku,2017-2018,Caen,CB,0,0.05098045,107,0.5673469387755102,0.2964217044547573,96,0.6122448979591837
Dylan Bronn,2020-2021,Metz,CB,0,0.050673597,108,0.563265306122449,0.1479013532696242,169,0.3142857142857143
Félix Eboa Eboa,2017-2018,Guingamp,CB,0,0.050020866,109,0.5591836734693878,0.17019197623965826,156,0.3673469387755102
Björn Engels,2018-2019,Reims,CB,0,0.049657676,110,0.5551020408163265,0.21736122618385406,125,0.49387755102040815
Fali Candé,2021-2022,Metz,CB,0,0.04962822,111,0.5510204081632653,0.12125342928582436,184,0.2530612244897959
Christopher Jullien,2018-2019,Toulouse,CB,0,0.049398694,112,0.5469387755102041,0.2719011716352279,104,0.5795918367346938
Danilo Barbosa,2019-2020,Nice,CB,0,0.048855208,113,0.5428571428571428,0.4022789164319879,68,0.726530612244898
Cédric Yamberé,2017-2018,Dijon,CB,0,0.04812656,114,0.5387755102040817,0.11445974404279947,186,0.24489795918367346
Brendan Chardonnet,2019-2020,Brest,CB,0,0.04783697,115,0.5346938775510204,0.20920545501128526,129,0.4775510204081633
Jemerson,2017-2018,Monaco,CB,0,0.047304437,116,0.5306122448979592,0.08333778967108928,205,0.1673469387755102
Pablo,2018-2019,Bordeaux,CB,0,0.047287628,117,0.5265306122448979,0.047782637768463955,233,0.053061224489795916
Pedro Mendes,2017-2018,Montpellier,CB,0,0.04677163,118,0.5224489795918368,0.18836922043762178,143,0.4204081632653061
Pape Abou Cissé,2020-2021,Saint-Étienne,CB,0,0.045902357,119,0.5183673469387755,0.10448166266488026,192,0.22040816326530613
Harold Moukoudi,2021-2022,Saint-Étienne,CB,0,0.04540636,120,0.5142857142857142,0.13477451631530574,176,0.2857142857142857
Luan Peres Petroni,2021-2022,Marseille,CB,0,0.0447631,121,0.5102040816326531,0.5198208115574718,43,0.8285714285714286
Christopher Jullien,2017-2018,Toulouse,CB,0,0.043241207,122,0.5061224489795918,0.26330887768063,109,0.5591836734693878
Anel Ahmedhodžić,2021-2022,Bordeaux,CB,0,0.04305702,123,0.5020408163265306,0.49357572037084274,51,0.7959183673469388
Anthony Briançon,2019-2020,Nîmes,CB,0,0.040786535,124,0.49795918367346936,0.13405532290788183,178,0.27755102040816326
Robson Bambu,2020-2021,Nice,CB,0,0.039799836,125,0.49387755102040815,0.18665446351151668,146,0.40816326530612246
Andy Pelmard,2019-2020,Nice,CB,0,0.039778948,126,0.4897959183673469,0.26039914270983183,110,0.5551020408163265
Steven Fortes,2020-2021,Lens,CB,0,0.03898101,127,0.4857142857142857,0.3125804017128152,88,0.6448979591836734
Maxime Estève,2021-2022,Montpellier,CB,0,0.038769245,128,0.4816326530612245,0.18964878108828268,140,0.4326530612244898
Jérémy Gélin,2018-2019,Rennes,CB,0,0.03829355,129,0.4775510204081633,0.4702714856750457,54,0.7836734693877551
Boubakar Kouyaté,2020-2021,Metz,CB,0,0.037287045,130,0.47346938775510206,0.2516591712401604,113,0.5428571428571428
Leonardo Balerdi,2020-2021,Marseille,CB,0,0.037188508,131,0.46938775510204084,0.22339530717263736,122,0.5061224489795918
Jérémy Gélin,2019-2020,Rennes,CB,0,0.036471,132,0.46530612244897956,0.3049090846506123,91,0.6326530612244898
William Saliba,2019-2020,Saint-Étienne,CB,0,0.036347568,133,0.46122448979591835,0.14348465595893445,173,0.2979591836734694
Andrei Girotto,2019-2020,Nantes,CB,0,0.034650017,134,0.45714285714285713,0.19048721458401155,139,0.43673469387755104
Andrei Girotto,2017-2018,Nantes,CB,0,0.03453674,135,0.4530612244897959,0.3962875089297964,69,0.7224489795918367
Abdou Diallo,2020-2021,Paris S-G,CB,0,0.034460966,136,0.4489795918367347,0.373408115391837,74,0.7020408163265306
Kouadio-Yves Dabila,2018-2019,Lille,CB,0,0.03427062,137,0.4448979591836735,0.1639732291809819,163,0.33877551020408164
Malang Sarr,2019-2020,Nice,CB,0,0.033605598,138,0.44081632653061226,0.19686759550134492,137,0.4448979591836735
Wout Faes,2021-2022,Reims,CB,0,0.032324705,139,0.43673469387755104,0.10397671874123204,194,0.21224489795918366
Loris Benito,2020-2021,Bordeaux,CB,0,0.030182427,140,0.4326530612244898,0.18784756013442028,144,0.4163265306122449
Kelyan Guessoum,2020-2021,Nîmes,CB,0,0.028961072,141,0.42857142857142855,0.1203160311433979,185,0.24897959183673468
Jason Denayer,2021-2022,Lyon,CB,0,0.028603224,142,0.42448979591836733,0.1547420735427129,166,0.32653061224489793
Papy Djilobodji,2017-2018,Dijon,CB,0,0.028430384,143,0.4204081632653061,0.12246140491407084,182,0.2612244897959184
Dylan Bronn,2019-2020,Metz,CB,0,0.028069593,144,0.4163265306122449,0.1390036064062036,174,0.2938775510204082
Mamadou Fofana,2019-2020,Metz,CB,0,0.027613193,145,0.4122448979591837,0.15042000573411846,168,0.3183673469387755
Alexander Djiku,2018-2019,Caen,CB,0,0.027197836,146,0.40816326530612246,0.2710690608490409,105,0.5755102040816327
Alexander Djiku,2020-2021,Strasbourg,CB,0,0.027072528,147,0.40408163265306124,0.2987502430435077,95,0.6163265306122448
Dénys Bain,2019-2020,Brest,CB,0,0.02701382,148,0.4,0.11109916040466208,189,0.23265306122448978
Harold Moukoudi,2020-2021,Saint-Étienne,CB,0,0.025969567,149,0.39591836734693875,0.21392652263854472,128,0.4816326530612245
Brendan Chardonnet,2021-2022,Brest,CB,0,0.025849205,150,0.39183673469387753,0.20161987091008618,135,0.4530612244897959
Jason Denayer,2020-2021,Lyon,CB,0,0.02548374,151,0.3877551020408163,0.3360305519921065,82,0.6693877551020408
Maxime Le Marchand,2017-2018,Nice,CB,0,0.025335286,152,0.3836734693877551,0.4148896679179659,64,0.7428571428571429
Saidou Sow,2020-2021,Saint-Étienne,CB,0,0.024942862,153,0.3795918367346939,0.18433843834531477,148,0.4
Edgar Ié,2018-2019,2 Teams,CB,0,0.024574835,154,0.37551020408163266,0.07830353024511494,210,0.1469387755102041
Prince-Désir Gouano,2017-2018,Amiens,CB,0,0.024486054,155,0.37142857142857144,0.17070258485511391,155,0.37142857142857144
Alidu Seidu,2021-2022,Clermont Foot,CB,0,0.024413584,156,0.3673469387755102,0.2468412808941889,115,0.5346938775510204
Nicholas Opoku,2019-2020,Amiens,CB,0,0.023473317,157,0.363265306122449,0.09262557124112165,199,0.19183673469387755
Jean-Kevin Duverne,2021-2022,Brest,CB,0,0.022731615,158,0.35918367346938773,0.08036160882367123,207,0.15918367346938775
Jonathan Gradit,2021-2022,Lens,CB,0,0.022646232,159,0.3551020408163265,0.42522147489291817,62,0.7510204081632653
Kouadio-Yves Dabila,2017-2018,Lille,CB,0,0.022492902,160,0.3510204081632653,0.20833382084855404,130,0.47346938775510206
Sikou Niakaté,2021-2022,Metz,CB,0,0.022143165,161,0.3469387755102041,0.038692658912542054,242,0.0163265306122449
Ruben Gabrielsen,2019-2020,Toulouse,CB,0,0.021793732,162,0.34285714285714286,0.07652086311638577,214,0.1306122448979592
Julien Laporte,2021-2022,Lorient,CB,0,0.021646695,163,0.33877551020408164,0.05867330370527334,226,0.08163265306122448
Jemerson,2019-2020,Monaco,CB,0,0.021167258,164,0.3346938775510204,0.23493376291428433,117,0.5265306122448979
Stefan Mitrović,2018-2019,Strasbourg,CB,0,0.021141315,165,0.3306122448979592,0.04298156411210794,238,0.0326530612244898
Jean-Charles Castelletto,2019-2020,Brest,CB,0,0.021133926,166,0.32653061224489793,0.13851410528583463,175,0.2897959183673469
Mickael Nade,2021-2022,Saint-Étienne,CB,0,0.020991972,167,0.3224489795918367,0.31355218051006917,86,0.6530612244897959
Benjamin Jeannot,2020-2021,Dijon,CB,0,0.020218268,168,0.3183673469387755,0.1887554410328801,141,0.42857142857142855
Pablo,2017-2018,Bordeaux,CB,0,0.019907538,169,0.3142857142857143,0.166230985789686,160,0.3510204081632653
Erik Palmer-Brown,2021-2022,Troyes,CB,0,0.01987396,170,0.31020408163265306,0.04766695102127085,234,0.04897959183673469
Joris Gnagnon,2019-2020,Rennes,CB,0,0.019660385,171,0.30612244897959184,0.47200481282399126,53,0.7877551020408163
Vukašin Jovanović,2017-2018,Bordeaux,CB,0,0.019503389,172,0.3020408163265306,0.14399953869077856,172,0.3020408163265306
Kévin Théophile-Catherine,2017-2018,Saint-Étienne,CB,0,0.019141352,173,0.2979591836734694,0.06947071051095002,220,0.10612244897959183
Fallou Diagne,2017-2018,Metz,CB,0,0.01910887,174,0.2938775510204082,0.13044072438843982,179,0.27346938775510204
Timothée Kolodziejczak,2020-2021,Saint-Étienne,CB,0,0.018923365,175,0.2897959183673469,0.08630704991620332,201,0.1836734693877551
Jean-Charles Castelletto,2021-2022,Nantes,CB,0,0.018916775,176,0.2857142857142857,0.28550049836570307,101,0.5918367346938775
Haitam Aleesami,2019-2020,Amiens,CB,0,0.018763872,177,0.2816326530612245,0.1012567446917191,196,0.20408163265306123
Matt Miazga,2018-2019,Nantes,CB,0,0.018720288,178,0.27755102040816326,0.3768331284816694,73,0.7061224489795919
Jean-Claude Billong,2021-2022,Clermont Foot,CB,0,0.018401539,179,0.27346938775510204,0.1560612009020126,164,0.3346938775510204
Andrew Gravillon,2020-2021,Lorient,CB,0,0.018241622,180,0.2693877551020408,0.2020409022444372,134,0.45714285714285713
Vahid Selimović,2017-2018,Metz,CB,0,0.018149177,181,0.2653061224489796,0.08486715537794012,203,0.17551020408163265
Théo Pellenard,2017-2018,Bordeaux,CB,0,0.017842613,182,0.2612244897959184,0.15280422058322252,167,0.3224489795918367
Jean-Charles Castelletto,2020-2021,Nantes,CB,0,0.017654607,183,0.2571428571428571,0.14685138418726004,171,0.30612244897959184
Abdoulaye Bamba,2017-2018,Angers,CB,0,0.017563377,184,0.2530612244897959,0.18337647432118973,149,0.39591836734693875
Yoann Salmier,2021-2022,Troyes,CB,0,0.016596664,185,0.24897959183673468,0.13438156077660945,177,0.2816326530612245
Bafodé Diakité,2019-2020,Toulouse,CB,0,0.016379915,186,0.24489795918367346,0.28630671232675275,100,0.5959183673469388
Julien Laporte,2020-2021,Lorient,CB,0,0.016175995,187,0.24081632653061225,0.1468739040298089,170,0.31020408163265306
Alexander Djiku,2021-2022,Strasbourg,CB,0,0.015947856,188,0.23673469387755103,0.6107864800762203,32,0.8734693877551021
Gaëtan Paquiez,2020-2021,Nîmes,CB,0,0.015792593,189,0.23265306122448978,0.05775071593379531,227,0.07755102040816327
Loris Benito,2019-2020,Bordeaux,CB,0,0.015705632,190,0.22857142857142856,0.11241234326186936,188,0.23673469387755103
Jonathan Gradit,2018-2019,Caen,CB,0,0.015704947,191,0.22448979591836735,0.1269515311463531,180,0.2693877551020408
Tiago Djaló,2021-2022,Lille,CB,0,0.0155153405,192,0.22040816326530613,0.18856176021628665,142,0.42448979591836733
Jemerson,2018-2019,Monaco,CB,0,0.015322858,193,0.2163265306122449,0.22956490460215098,120,0.5142857142857142
Mexer,2017-2018,Rennes,CB,0,0.014915721,194,0.21224489795918366,0.07648408078741772,215,0.12653061224489795
Younn Zahary,2018-2019,Caen,CB,0,0.014785533,195,0.20816326530612245,0.04103485490939138,240,0.024489795918367346
Christophe Hérelle,2017-2018,Troyes,CB,0,0.014241016,196,0.20408163265306123,0.09707705726080623,198,0.19591836734693877
Vukašin Jovanović,2018-2019,Bordeaux,CB,0,0.014089462,197,0.2,0.17398452599962513,152,0.3836734693877551
Jemerson,2021-2022,Metz,CB,0,0.013845576,198,0.19591836734693877,0.0458912486086261,235,0.044897959183673466
Anthony Briançon,2020-2021,Nîmes,CB,0,0.013623399,199,0.19183673469387755,0.1878154795382482,145,0.4122448979591837
Flavius Daniliuc,2021-2022,Nice,CB,0,0.013504284,200,0.18775510204081633,0.38560321118564744,72,0.710204081632653
Jonathan Rivierez,2017-2018,Metz,CB,0,0.013494118,201,0.1836734693877551,0.16842395792652365,159,0.3551020408163265
Senou Coulibaly,2020-2021,Dijon,CB,0,0.013440117,202,0.17959183673469387,0.05151948246487771,231,0.061224489795918366
Tiago Djaló,2019-2020,Lille,CB,0,0.013386197,203,0.17551020408163265,0.1739144689469768,153,0.3795918367346939
Matheus Thuler,2021-2022,Montpellier,CB,0,0.013123389,204,0.17142857142857143,0.12312553515317329,181,0.2653061224489796
Loïck Landre,2020-2021,Nîmes,CB,0,0.01271329,205,0.1673469387755102,0.03974415523750866,241,0.02040816326530612
Mateo Pavlović,2017-2018,Angers,CB,0,0.012155058,206,0.16326530612244897,0.07759012390207982,211,0.14285714285714285
Pablo Martinez,2017-2018,Strasbourg,CB,0,0.011469765,207,0.15918367346938775,0.08904675039583641,200,0.18775510204081633
Jean-Kevin Duverne,2020-2021,Brest,CB,0,0.011411365,208,0.15510204081632653,0.09763680479635213,197,0.2
Saidou Sow,2021-2022,Saint-Étienne,CB,0,0.011330973,209,0.1510204081632653,0.22564959103036988,121,0.5102040816326531
Pedro Mendes,2018-2019,Montpellier,CB,0,0.010785931,210,0.1469387755102041,0.16961782358895333,157,0.363265306122449
Stian Rode Gregersen,2021-2022,Bordeaux,CB,0,0.010621759,211,0.14285714285714285,0.05609604063948372,228,0.07346938775510205
Jonathan Gradit,2020-2021,Lens,CB,0,0.010605675,212,0.13877551020408163,0.3921121309903874,70,0.7183673469387755
Molla Wagué,2019-2020,Nantes,CB,0,0.010296928,213,0.1346938775510204,0.26760806146069,106,0.5714285714285714
Boubakar Kouyaté,2021-2022,Metz,CB,0,0.010221768,214,0.1306122448979592,0.1649557452996446,161,0.3469387755102041
Gerzino Nyamsi,2021-2022,Strasbourg,CB,0,0.009971263,215,0.12653061224489795,0.10315825125507927,195,0.20816326530612245
Jordan Lefort,2019-2020,Amiens,CB,0,0.0098153865,216,0.12244897959183673,0.08384162952483264,204,0.17142857142857143
Prince-Désir Gouano,2018-2019,Amiens,CB,0,0.009516528,217,0.11836734693877551,0.15521665910094207,165,0.3306122448979592
Enzo Ebosse,2021-2022,Angers,CB,0,0.009252365,218,0.11428571428571428,0.26576479511423845,108,0.563265306122449
Timothée Kolodziejczak,2019-2020,Saint-Étienne,CB,0,0.009239523,219,0.11020408163265306,0.03861286558530045,243,0.012244897959183673
Gaëtan Paquiez,2019-2020,Nîmes,CB,0,0.009169025,220,0.10612244897959183,0.04938018598610271,232,0.05714285714285714
