Player,Season,Team,Role,p_tier_logistic,p_tier_mlp,p_tier_xgb,p_tier_mean
Aaron Leya Iseka,2018-2019,Toulouse,CF,0.20280287194777163,0.00010053575005976163,0.09426002,0.09905447658067107
Emmanuel Rivière,2017-2018,Metz,CF,0.23188869820444374,0.003941887566670749,0.09416218,0.10999758893029916
Adrien Hunou,2019-2020,Rennes,CF,0.5180507865635888,0.008453534079663854,0.09306064,0.20652165437470096
Moussa Dembélé,2020-2021,Lyon,CF,0.2963053867231904,0.0156782197471165,0.09275852,0.13491404263598394
Zinedine Ferhat,2019-2020,Nîmes,RW,0.43362170267541583,0.0006239009555302008,0.09254582,0.17559714196457002
Umut Bozok,2018-2019,Nîmes,CF,0.5345465556535635,0.04458080930127588,0.09242849,0.22385195182478765
Casimir Ninga,2019-2020,Angers,CF,0.4557528617547958,0.005879318414219105,0.09135542,0.18432920027268884
Ibrahima Niane,2020-2021,Metz,CF,0.5438636586913986,0.005493933016637598,0.09104404,0.21346721008073355
Lois Diony,2017-2018,Saint-Étienne,CF,0.18427922204482025,0.0003310014596191282,0.089554355,0.09138819268429788
Mama Samba Baldé,2019-2020,Dijon,CF,0.25120176251967835,4.228377301310469e-05,0.08906447,0.11343617257210581
Kasper Dolberg,2020-2021,Nice,CF,0.3778480960935423,0.01603179222022996,0.08899745,0.16095911392164294
Moussa Konaté,2020-2021,Dijon,CF,0.2143259593794705,0.012334485357014733,0.08854585,0.1050687653819735
Habib Diallo,2020-2021,2 Teams,CF,0.28271787608840104,0.000180633194267577,0.0883835,0.12376067084696564
Alexandre Mendy,2017-2018,Bordeaux,CF,0.2986276136351935,0.00928921392012082,0.08654131,0.13148604583601675
Yacine Bammou,2018-2019,Caen,CF,0.16388980572505196,4.297039857825334e-05,0.08556812,0.08316696622979218
Moussa Sylla,2018-2019,Monaco,CF,0.26374027549751355,0.00027555839276767913,0.085508496,0.11650810981983678
Christian Kouakou,2017-2018,Caen,CF,0.0839352368197675,0.0012869175630054253,0.08540873,0.05687696222593641
Corentin Jean,2017-2018,Toulouse,CF,0.32440271302247387,0.001491622436634554,0.08529955,0.1370646289820258
Andreas Cornelius,2018-2019,Bordeaux,CF,0.10869271360998775,0.0017607330574540478,0.083838,0.0647638158536782
Gaëtan Laborde,2020-2021,Montpellier,CF,0.25496554393016124,0.00047569374439297566,0.08191536,0.11245220044798322
Adrien Hunou,2018-2019,Rennes,CF,0.3295540834108794,0.0019695052801195338,0.08069393,0.13740583969283196
El Bilal Touré,2021-2022,Reims,CF,0.5225393343348196,0.029727584399561552,0.08052063,0.2109291828723979
Moussa Dembélé,2019-2020,Lyon,CF,0.5298379829912967,0.014509652321682769,0.079606116,0.20798458371033438
Valère Germain,2018-2019,Marseille,CF,0.1910377831273385,0.0005925721462682103,0.07929034,0.090306897711397
Nicolas de Préville,2018-2019,Bordeaux,CF,0.04605159773016015,5.418983634777941e-05,0.07914945,0.04175174498266812
Andy Delort,2018-2019,Montpellier,CF,0.1387115149487712,1.3942326328472985e-05,0.07754925,0.07209156873629727
Opa Nguette,2017-2018,Metz,SS,0.16266935135751942,9.245534763109583e-05,0.07663412,0.07979864105865477
Wesley Saïd,2017-2018,Dijon,CF,0.33463586371810305,0.0005027008196298134,0.07473017,0.13662291243035565
Ihsan Sacko,2017-2018,2 Teams,CF,0.16871133488744508,0.0001652944742262777,0.0715352,0.08013727641409045
Wesley Saïd,2021-2022,Lens,CF,0.6529340457696348,0.0062064911822659165,0.06903682,0.24272578533089198
Ibrahima Niane,2017-2018,Metz,CF,0.3305777869236628,0.0001534947492236802,0.066165395,0.1322988922513099
Lebo Mothiba,2019-2020,Strasbourg,CF,0.31958162394807843,0.0005664972523353472,0.06555321,0.12856711062537673
Ignatius Ganago,2021-2022,Lens,CF,0.29083366140565636,0.00012192406085228711,0.06463623,0.11853060531175287
Casimir Ninga,2017-2018,Montpellier,CF,0.16507960729083854,0.00031572819385936843,0.06434593,0.07658042299388332
M'Baye Niang,2021-2022,Bordeaux,CF,0.11900522186957807,3.053963747776053e-05,0.064269826,0.061101862441070104
Nuno da Costa,2018-2019,Strasbourg,CF,0.24547033950504868,0.002910391550337897,0.06413933,0.10417335331746198
Rachid Alioui,2018-2019,Nîmes,CF,0.2967324548588685,4.59207312697149e-05,0.06398545,0.12025460921535643
Stéphane Bahoken,2020-2021,Angers,CF,0.19584676617024077,4.632008965304667e-05,0.06394964,0.08661424112496517
Rachid Alioui,2019-2020,Angers,CF,0.2903378678071159,0.0012988009489570214,0.061597243,0.11774463723582201
Gaëtan Laborde,2017-2018,Bordeaux,CF,0.26392253194030685,0.0015437762464119364,0.061555106,0.10900713812651534
Yaya Sanogo,2017-2018,Toulouse,CF,0.1528712147752821,0.001253408195466318,0.059777595,0.07130073935784514
Wesley Saïd,2018-2019,Dijon,CF,0.25294955498168814,0.000799792062437234,0.058978565,0.10424263736045863
Renaud Ripart,2021-2022,Troyes,CF,0.1526782136500263,0.00025500126530566555,0.058535557,0.07048959071852656
Ludovic Ajorque,2019-2020,Strasbourg,CF,0.30115086579977646,0.004144445459967938,0.056400757,0.12056535618090558
Renaud Ripart,2020-2021,Nîmes,CF,0.2521201772029212,0.0009081629717756009,0.055033676,0.10268733883365722
Nicolas de Préville,2017-2018,2 Teams,CF,0.16299150786843006,0.0004754348665725311,0.05451515,0.07266069739311475
Giovanni Sio,2017-2018,Montpellier,CF,0.13590753915706025,1.6011423757935463e-05,0.054383732,0.06343576098643366
Irvin Cardona,2020-2021,Brest,CF,0.2735888329055483,7.165762652105805e-05,0.05350179,0.10905409301961427
Irvin Cardona,2021-2022,Brest,CF,0.18850567643139002,1.4034116055443477e-05,0.053222712,0.0805808075589333
Simon Banza,2020-2021,Lens,CF,0.23589194768962363,0.0016412592421634641,0.052766632,0.09676661307349382
Baptiste Guillaume,2018-2019,Nîmes,CF,0.24844997348523856,0.0012980947918850628,0.052538227,0.10076209852234623
Adrien Hunou,2019-2020,Rennes,CF,0.43556935661709667,0.006130734439985013,0.052120533,0.16460687463252402
Nuno da Costa,2017-2018,Strasbourg,CF,0.11147692579839635,1.1691709467491758e-05,0.052109603,0.0545327401155395
Opa Nguette,2020-2021,Metz,SS,0.14056414828873032,1.1712827750417818e-05,0.051467456,0.06401443901334601
Gaëtan Laborde,2018-2019,2 Teams,CF,0.33062552045792926,0.00010256968109539504,0.051348027,0.1273587056603012
Adrien Hunou,2018-2019,Rennes,CF,0.2564174415509543,0.00015277922029792868,0.050339717,0.10230331272973588
Yaya Sanogo,2019-2020,Toulouse,CF,0.1544622294304854,0.00031105523075661436,0.049945254,0.06823951284669129
Aaron Leya Iseka,2020-2021,Metz,CF,0.31357041355656445,0.0110176270390653,0.049312335,0.12463345836777784
Ezequiel Ponce,2017-2018,Lille,CF,0.22985550726928572,0.0017070091070746285,0.0489298,0.09349743857482544
Ibrahima Niane,2019-2020,Metz,CF,0.33960773852850484,0.0010386687617285725,0.04881381,0.12982007199987214
Yaya Sanogo,2018-2019,Toulouse,CF,0.20780549916302893,0.005140952794268516,0.048172258,0.08703956993264361
Opa Nguette,2021-2022,Metz,SS,0.07428644594512915,8.023305606654951e-06,0.04645051,0.04024832662393556
Andy Delort,2019-2020,Montpellier,CF,0.08207572334736601,5.394170181477931e-06,0.04598956,0.04269022644784606
Adrien Hunou,2017-2018,Rennes,CF,0.1406751290782266,4.83146229437338e-05,0.04495175,0.061891731843121335
El Bilal Touré,2020-2021,Reims,CF,0.12785119536736053,0.00017801554845310325,0.044353917,0.05746104271897004
Idriss Saadi,2017-2018,Strasbourg,CF,0.09884912523781456,6.110907383539898e-06,0.04416497,0.04767340222078553
Serhou Guirassy,2019-2020,Amiens,CF,0.3801020876815635,0.003560713472982358,0.04268249,0.1421150974658105
Ivan Santini,2017-2018,Caen,CF,0.17927740055814864,0.0018955894294457236,0.042379506,0.07451749863997516
Diafra Sakho,2017-2018,Rennes,CF,0.04700539146146186,9.033689376468123e-06,0.039252833,0.028755752560922453
