consensus_rank,Player,Season,Team,Role,proba_1_Logistic,proba_1_XGB,proba_1_MLP,rank_proba_1_Logistic,rank_proba_1_XGB,rank_proba_1_MLP,consensus_score
68,Baptiste Santamaria,2021-2022,Rennes,DM,0.5800351317943764,0.9796774,0.30561430423354563,97.0,27.0,105.0,76.33333333333333
69,Benjamin André,2018-2019,Rennes,DM,0.5895888786245196,0.9497374,0.36417006883532016,85.0,59.0,86.0,76.66666666666667
70,Youssouf Fofana,2018-2019,Strasbourg,DM,0.5373241712929016,0.9480099,0.5164101843685749,117.0,61.0,52.0,76.66666666666667
71,Xeka,2020-2021,Lille,CM,0.6772089825326667,0.017653069,0.517005103966388,52.0,128.0,51.0,77.0
72,Lucas Tousart,2018-2019,Lyon,CM,0.542692271652707,0.96711224,0.42769707767768494,115.0,47.0,72.0,78.0
73,Sanjin Prcić,2018-2019,Strasbourg,CM,0.6769201515075428,0.022042422,0.4439636970540897,53.0,117.0,68.0,79.33333333333333
74,Eddy Gnahoré,2018-2019,Amiens,DM,0.6230061332531557,0.04710306,0.3552093509884491,67.0,81.0,90.0,79.33333333333333
75,Youssouf Fofana,2020-2021,Monaco,DM,0.5158989998115001,0.97658825,0.3955267560073456,126.0,32.0,82.0,80.0
76,Renato Sanches,2019-2020,Lille,CM,0.5613295575641485,0.97393,0.3066753902085082,106.0,36.0,103.0,81.66666666666667
77,Morgan Sanson,2017-2018,Marseille,CM,0.6786746633767882,0.029386222,0.33088496061383355,51.0,99.0,96.0,82.0
78,Flavien Tait,2021-2022,Rennes,CM,0.7031164986387736,0.020685213,0.3583026491594015,40.0,118.0,89.0,82.33333333333333
79,Jean Lucas,2020-2021,2 Teams,CM,0.5784391774166637,0.029284734,0.49757266888207663,98.0,100.0,56.0,84.66666666666667
80,Jean Seri,2017-2018,Nice,DM,0.6864029617115642,0.015878925,0.4370764667459208,49.0,142.0,70.0,87.0
81,Boubacar Kamara,2020-2021,Marseille,DM,0.565193037650384,0.04440243,0.4231856426211274,104.0,83.0,75.0,87.33333333333333
82,Habib Maïga,2019-2020,Metz,DM,0.5836470368969516,0.022515947,0.48791115456370887,90.0,116.0,57.0,87.66666666666667
83,Aurélien Tchouaméni,2019-2020,2 Teams,DM,0.5853159310508235,0.028898032,0.4137002019419517,89.0,101.0,77.0,89.0
84,Thiago Maia,2017-2018,Lille,DM,0.6030190669046885,0.01630032,0.49879423936244977,82.0,136.0,55.0,91.0
85,Mahdi Camara,2020-2021,Saint-Étienne,CM,0.5801299650263663,0.027745819,0.4073581957146598,96.0,103.0,80.0,93.0
86,Pierre Lees-Melou,2020-2021,Nice,DM,0.5988439689958343,0.02476021,0.3633456423082978,83.0,110.0,87.0,93.33333333333333
87,Thiago Mendes,2019-2020,Lyon,DM,0.6294239694718811,0.011047923,0.5096652314807437,66.0,164.0,53.0,94.33333333333333
88,Kevin Strootman,2018-2019,Marseille,DM,0.5202230695868537,0.9599617,0.29943998299288893,124.0,53.0,108.0,95.0
89,Ibrahima Diallo,2019-2020,Brest,DM,0.5095572913686066,0.9585439,0.3055955156176007,129.0,54.0,106.0,96.33333333333333
90,Seko Fofana,2020-2021,Lens,CM,0.5614807617700591,0.042760722,0.31028561908011915,105.0,84.0,100.0,96.33333333333333
91,Youcef Atal,2018-2019,Nice,RM,0.6794388655299912,0.020173637,0.27188197972443,50.0,119.0,123.0,97.33333333333333
92,Ellyes Skhiri,2018-2019,Montpellier,CM,0.532311092085191,0.949633,0.28238257225192775,118.0,60.0,118.0,98.66666666666667
93,Benjamin André,2017-2018,Rennes,DM,0.5866601775551864,0.024684776,0.30058197013081206,88.0,111.0,107.0,102.0
94,Lucas Tousart,2017-2018,Lyon,CM,0.4887956746554832,0.9322365,0.30642914569434226,138.0,68.0,104.0,103.33333333333333
95,Wylan Cyprien,2019-2020,Nice,CM,0.6152680093231179,0.019605536,0.285656335151176,77.0,121.0,115.0,104.33333333333333
96,Jordan Ferri,2018-2019,2 Teams,CM,0.6131079709241953,0.016053427,0.3274391613776827,78.0,139.0,97.0,104.66666666666667
97,Younousse Sankharé,2017-2018,Bordeaux,CM,0.6157906202658309,0.0146631375,0.3532946563986145,76.0,149.0,92.0,105.66666666666667
98,Jean-Eudes Aholou,2018-2019,Monaco,DM,0.5610339275846375,0.028589733,0.29803553958226786,108.0,102.0,111.0,107.0
99,Wylan Cyprien,2017-2018,Nice,CM,0.5659602576838698,0.02596115,0.2824875605829683,103.0,107.0,117.0,109.0
100,Enzo Le Fée,2021-2022,Lorient,CM,0.5814180944993794,0.036920916,0.23907146128797793,93.5,92.5,143.5,109.83333333333333
101,Seko Fofana,2021-2022,Lens,CM,0.6396580538493439,0.010161515,0.31758507995211227,62.0,170.0,99.0,110.33333333333333
102,Rominigue Kouamé,2021-2022,Troyes,CM,0.5833615187947084,0.009418581,0.4534036970985495,91.0,176.0,65.0,110.66666666666667
103,Flavien Tait,2018-2019,Angers,CM,0.6878324478840026,0.013096189,0.2639292989490538,48.0,159.0,126.0,111.0
104,Junior Dina Ebimbe,2020-2021,Dijon,RM,0.43916526998652555,0.87820804,0.3544125214702126,167.0,75.0,91.0,111.0
105,Youcef Atal,2019-2020,Nice,RM,0.6722606724316994,0.01609305,0.23277256365030075,55.0,138.0,148.0,113.66666666666667
106,Flavien Tait,2020-2021,Rennes,CM,0.6165173464304536,0.017558515,0.2400598153138379,73.5,130.5,138.5,114.16666666666667
107,Maxence Caqueret,2020-2021,Lyon,CM,0.5483500885354425,0.02751698,0.26846820835085966,114.0,104.0,125.0,114.33333333333333
108,Pierre Lees-Melou,2019-2020,Nice,DM,0.6476142515923201,0.005562577,0.37118124792748675,60.0,201.0,84.0,115.0
109,Valentín Vada,2017-2018,Bordeaux,CM,0.4966034204393137,0.03869701,0.25730969745936544,134.0,90.0,129.0,117.66666666666667
110,Nabil Bentaleb,2021-2022,Angers,DM,0.49017729745861,0.02705103,0.2884683377550308,136.0,105.0,112.0,117.66666666666667
111,Jean-Ricner Bellegarde,2021-2022,Strasbourg,CM,0.47953341744340167,0.8965168,0.24088970138885993,144.0,74.0,136.0,118.0
112,Ole Selnæs,2017-2018,Saint-Étienne,DM,0.5040671630447737,0.010724281,0.4708397837993884,131.0,165.0,63.0,119.66666666666667
113,Baptiste Santamaria,2019-2020,Angers,DM,0.47834053585989655,0.9343819,0.220746835009528,146.0,65.0,150.0,120.33333333333333
114,Ibrahima Sissoko,2018-2019,Strasbourg,DM,0.5379515905850253,0.016273186,0.2994353164248494,116.0,137.0,109.0,120.66666666666667
115,Marshall Munetsi,2021-2022,Reims,CM,0.4581823326411769,0.9064078,0.24748598947550451,157.0,73.0,133.0,121.0
116,Giannelli Imbula,2017-2018,Toulouse,DM,0.5606005261219268,0.010247064,0.3681634924622463,109.0,169.0,85.0,121.0
117,Jean-Victor Makengo,2018-2019,Nice,CM,0.42523526216043217,0.9325949,0.2831440203562457,180.0,67.0,116.0,121.0
118,Mahdi Camara,2019-2020,Saint-Étienne,CM,0.5211139041622287,0.016615858,0.2983814562006186,123.0,134.0,110.0,122.33333333333333
119,Léo Leroy,2021-2022,Montpellier,CM,0.4995730620080561,0.015883083,0.33597683975388426,133.0,141.0,94.0,122.66666666666667
120,Vincent Koziello,2017-2018,Nice,CM,0.5174572111772384,0.018671364,0.2686133035295355,125.0,124.0,124.0,124.33333333333333
121,Jean Lucas,2021-2022,Monaco,CM,0.4962272435898819,0.025364446,0.25379060443865226,135.0,108.0,130.0,124.33333333333333
122,Benjamin André,2019-2020,Lille,DM,0.4465621267096596,0.91732675,0.2391189087958525,164.0,70.0,141.0,125.0
123,Antonin Bobichon,2020-2021,Angers,CM,0.48347826132427263,0.023164403,0.2752564310056629,141.0,114.0,120.0,125.0
124,Morgan Sanson,2019-2020,Marseille,CM,0.5506597881067028,0.013856291,0.28808633167537373,112.0,153.0,113.0,126.0
125,Zaydou Youssouf,2019-2020,Saint-Étienne,CM,0.5300540493853054,0.010501833,0.33811842158002975,119.0,166.0,93.0,126.0
126,Abdoulaye Touré,2020-2021,Nantes,DM,0.5279172914482607,0.012992455,0.32341666465905716,121.0,160.0,98.0,126.33333333333333
127,Jean-Eudes Aholou,2021-2022,Strasbourg,DM,0.48974288137726385,0.019341046,0.274431854412744,137.0,122.0,121.0,126.66666666666667
