Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best,p_upward_mlp,rank_mlp,percentile_mlp
Quentin Merlin,2021-2022,Nantes,LB,0,0.07762180668090038,168,0.35271317829457366,0.23166279478044552,100,0.6162790697674418
Ronaël Pierre-Gabriel,2017-2018,Saint-Étienne,RB,0,0.07630878935171696,169,0.3488372093023256,0.16496152903237996,130,0.5
Sofiane Alakouch,2020-2021,Nîmes,RB,0,0.0741306039666292,170,0.3449612403100775,0.0762083373035264,190,0.26744186046511625
Léo Pétrot,2021-2022,Lorient,LB,0,0.07400056971906951,171,0.34108527131782945,0.11928766980264376,154,0.4069767441860465
Mihailo Ristić,2020-2021,Montpellier,LB,0,0.07351341803546996,172,0.3372093023255814,0.06453835529536088,202,0.22093023255813954
Gabriel Silva,2017-2018,Saint-Étienne,LB,0,0.07340656731634462,173,0.3333333333333333,0.05442286444245146,219,0.15503875968992248
Issa Kaboré,2021-2022,Troyes,RB,0,0.06959966581922836,174,0.32945736434108525,0.10979802219110281,158,0.39147286821705424
Fábio,2018-2019,Nantes,RB,0,0.0688409636085494,175,0.32558139534883723,0.08560616230627313,180,0.3062015503875969
Ambroise Oyongo,2019-2020,Montpellier,LB,0,0.06419154842787878,176,0.32170542635658916,0.08067925233898006,186,0.28294573643410853
Baba Rahman,2018-2019,Reims,LB,0,0.06371739047072872,177,0.3178294573643411,0.04404534445395609,232,0.10465116279069768
Nicolas Cozza,2020-2021,Montpellier,LB,0,0.06273600152690297,178,0.313953488372093,0.08697976726063943,176,0.32170542635658916
Yvann Macon,2021-2022,Saint-Étienne,RB,0,0.062024021182445585,179,0.31007751937984496,0.09195987747910818,168,0.35271317829457366
Houboulang Mendes,2021-2022,Lorient,RB,0,0.06083625757055844,180,0.3062015503875969,0.10177093717305073,164,0.3682170542635659
Dimitri Foulquier,2017-2018,Strasbourg,RB,1,0.05937806215817791,181,0.3023255813953488,0.08249130915998767,183,0.29457364341085274
Thomas Foket,2021-2022,Reims,RB,0,0.05922526726640118,182,0.29844961240310075,0.06421022024967021,203,0.21705426356589147
Youssouf Koné,2021-2022,Troyes,LB,0,0.058078523589058725,183,0.29457364341085274,0.10288739486383496,162,0.375968992248062
Charles Traore,2017-2018,Troyes,LB,0,0.05753213405369249,184,0.29069767441860467,0.05683559532004974,214,0.1744186046511628
Ghislain Konan,2021-2022,Reims,LB,0,0.0566898616445309,185,0.2868217054263566,0.0574309456337586,213,0.17829457364341086
Faitout Maouassa,2018-2019,2 Teams,LB,0,0.056371101992963454,186,0.28294573643410853,0.06356030657554618,205,0.20930232558139536
Franck Tabanou,2017-2018,Guingamp,LB,0,0.055979141103067405,187,0.27906976744186046,0.08128881718094913,185,0.2868217054263566
Miguel Trauco,2021-2022,Saint-Étienne,LB,0,0.05491490427753848,188,0.2751937984496124,0.08635910852677238,178,0.313953488372093
Fabien Centonze,2019-2020,Metz,RB,0,0.05411218339960767,189,0.2713178294573643,0.055693455375355444,216,0.16666666666666666
Muzinga Ngonda,2020-2021,Dijon,LB,0,0.05379700180763974,190,0.26744186046511625,0.04945260799709319,224,0.13565891472868216
Junior Sambia,2021-2022,Montpellier,RB,0,0.05306465816419366,191,0.26356589147286824,0.0491537618289819,225,0.13178294573643412
Youssouf Koné,2018-2019,Lille,LB,0,0.0518314926085959,192,0.2596899224806202,0.06381590619680572,204,0.2131782945736434
Hassane Kamara,2018-2019,Reims,LB,0,0.05167317904616712,193,0.2558139534883721,0.03991995943035792,238,0.08139534883720931
Kelvin Amian,2019-2020,Toulouse,RB,0,0.05026371234901938,194,0.25193798449612403,0.05420579326833377,220,0.1511627906976744
Steeve Yago,2017-2018,Toulouse,RB,0,0.04989583443948114,195,0.24806201550387597,0.08924802909153749,172,0.3372093023255814
Lionel Carole,2018-2019,Strasbourg,LB,0,0.04942601790799123,196,0.2441860465116279,0.10256241810532758,163,0.37209302325581395
Yoël Armougom,2018-2019,Caen,LB,0,0.04933717293824997,197,0.24031007751937986,0.056600109296414174,215,0.17054263565891473
Hamza Mendyl,2019-2020,Dijon,LB,0,0.04895003656509175,198,0.2364341085271318,0.058486565946609774,210,0.18992248062015504
Steven Moreira,2019-2020,Toulouse,RB,0,0.04788121556028543,199,0.23255813953488372,0.02907127845025351,254,0.01937984496124031
Gabriel Silva,2018-2019,Saint-Étienne,LB,0,0.04766803679744433,200,0.22868217054263565,0.052211469151863844,222,0.1434108527131783
Fodé Ballo-Touré,2018-2019,2 Teams,LB,0,0.046978406618665744,201,0.2248062015503876,0.0721757987144262,194,0.25193798449612403
Mathieu Deplagne,2017-2018,Troyes,RB,0,0.04649129959254546,202,0.22093023255813954,0.07206081474188049,195,0.24806201550387597
Ghislain Konan,2020-2021,Reims,LB,0,0.04600826156697046,203,0.21705426356589147,0.03883047328402005,239,0.07751937984496124
Durel Avounou,2017-2018,Caen,LB,0,0.04521633934626989,204,0.2131782945736434,0.09188194461971015,169,0.3488372093023256
Jere Uronen,2021-2022,Brest,LB,0,0.04443772331774859,205,0.20930232558139536,0.07654730120742775,189,0.2713178294573643
Igor Carioca,2021-2022,Lorient,RB,0,0.04391802247171922,206,0.2054263565891473,0.09011546294170251,171,0.34108527131782945
Frederic Guilbert,2017-2018,Caen,RB,0,0.043267532729140176,207,0.20155038759689922,0.1134302184265446,157,0.3953488372093023
Charles Traore,2020-2021,Nantes,LB,0,0.04280253325797475,208,0.19767441860465115,0.07165997837671939,196,0.2441860465116279
