Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best
Jean-Clair Todibo,2021-2022,Nice,CB,1,0.9813359,1,1.0
William Saliba,2021-2022,Marseille,CB,1,0.97573996,2,0.9959183673469387
Presnel Kimpembe,2020-2021,Paris S-G,CB,1,0.97487587,3,0.9918367346938776
Nayef Aguerd,2020-2021,Rennes,CB,1,0.9725293,4,0.9877551020408163
Presnel Kimpembe,2019-2020,Paris S-G,CB,1,0.9713037,5,0.9836734693877551
Marquinhos,2018-2019,Paris S-G,CB,1,0.9690972,6,0.9795918367346939
Benoît Badiashile,2021-2022,Monaco,CB,1,0.9645056,7,0.9755102040816327
Thilo Kehrer,2020-2021,Paris S-G,CB,1,0.96350867,8,0.9714285714285714
Thilo Kehrer,2018-2019,Paris S-G,CB,1,0.9630545,9,0.9673469387755103
Sven Botman,2020-2021,Lille,CB,1,0.96179503,10,0.963265306122449
Gabriel Magalhães,2019-2020,Lille,CB,1,0.9598219,11,0.9591836734693877
Presnel Kimpembe,2017-2018,Paris S-G,CB,1,0.95763767,12,0.9551020408163265
Benoît Badiashile,2019-2020,Monaco,CB,1,0.9575221,13,0.9510204081632653
Marquinhos,2019-2020,Paris S-G,CB,1,0.94467676,14,0.9469387755102041
Danilo Pereira,2020-2021,Paris S-G,CB,1,0.9435183,15,0.9428571428571428
Presnel Kimpembe,2021-2022,Paris S-G,CB,1,0.9426966,16,0.9387755102040817
Axel Disasi,2020-2021,Monaco,CB,1,0.94131947,17,0.9346938775510204
Marquinhos,2020-2021,Paris S-G,CB,1,0.9409837,18,0.9306122448979591
Stanley N'Soki,2019-2020,Nice,CB,1,0.9286917,19,0.926530612244898
Axel Disasi,2019-2020,Reims,CB,1,0.9263138,20,0.9224489795918367
Benoît Badiashile,2020-2021,Monaco,CB,1,0.91739804,21,0.9183673469387755
Abdou Diallo,2019-2020,Paris S-G,CB,1,0.9076379,22,0.9142857142857143
Leonardo Balerdi,2021-2022,Marseille,CB,1,0.90740305,23,0.9102040816326531
Marquinhos,2021-2022,Paris S-G,CB,1,0.90580624,24,0.9061224489795918
Stanley N'Soki,2020-2021,Nice,CB,1,0.90501946,25,0.9020408163265307
Thilo Kehrer,2021-2022,Paris S-G,CB,1,0.9049046,26,0.8979591836734694
Boubacar Kamara,2018-2019,Marseille,CB,1,0.90334004,27,0.8938775510204081
Loïc Bade,2021-2022,Rennes,CB,1,0.900142,28,0.889795918367347
Marlon,2017-2018,Nice,CB,1,0.8984387,29,0.8857142857142857
William Saliba,2020-2021,Nice,CB,1,0.898418,30,0.8816326530612245
Guillermo Maripán,2021-2022,Monaco,CB,1,0.8953242,31,0.8775510204081632
Marquinhos,2017-2018,Paris S-G,CB,1,0.8943017,32,0.8734693877551021
Kevin Danso,2021-2022,Lens,CB,1,0.89072156,33,0.8693877551020408
Sven Botman,2021-2022,Lille,CB,1,0.8847171,34,0.8653061224489796
Tiago Djaló,2020-2021,Lille,CB,1,0.8845908,35,0.8612244897959184
Castello Lukeba,2021-2022,Lyon,CB,1,0.87203944,36,0.8571428571428571
Mouctar Diakhaby,2017-2018,Lyon,CB,1,0.870925,37,0.8530612244897959
Axel Disasi,2021-2022,Monaco,CB,1,0.86429286,38,0.8489795918367347
Presnel Kimpembe,2018-2019,Paris S-G,CB,1,0.85255057,39,0.8448979591836735
Guillermo Maripán,2020-2021,Monaco,CB,1,0.8523804,40,0.8408163265306122
Gabriel Magalhães,2018-2019,Lille,CB,1,0.8520519,41,0.8367346938775511
Trevoh Chalobah,2020-2021,Lorient,CB,1,0.85073537,42,0.8326530612244898
Olivier Boscagli,2018-2019,Nice,CB,1,0.8379112,43,0.8285714285714286
Mohamed Simakan,2020-2021,Strasbourg,CB,1,0.83573496,44,0.8244897959183674
Issa Diop,2017-2018,Toulouse,CB,1,0.834285,45,0.8204081632653061
Diego Carlos,2018-2019,Nantes,CB,1,0.8289441,46,0.8163265306122449
Nayef Aguerd,2021-2022,Rennes,CB,1,0.814375,47,0.8122448979591836
Moussa Niakhate,2017-2018,Metz,CB,1,0.81361717,48,0.8081632653061225
Guillermo Maripán,2019-2020,Monaco,CB,1,0.812522,49,0.8040816326530612
Almamy Touré,2017-2018,Monaco,CB,1,0.8083467,50,0.8
Duje Ćaleta-Car,2018-2019,Marseille,CB,1,0.78954005,51,0.7959183673469388
Wesley Fofana,2019-2020,Saint-Étienne,CB,1,0.7854883,52,0.7918367346938775
Adama Soumaoro,2018-2019,Lille,CB,1,0.78009784,53,0.7877551020408163
Loïc Bade,2020-2021,Lens,CB,1,0.77692163,54,0.7836734693877551
Mohamed Simakan,2019-2020,Strasbourg,CB,1,0.74441993,55,0.7795918367346939
Nayef Aguerd,2019-2020,Dijon,CB,1,0.7137217,56,0.7755102040816326
Diego Carlos,2017-2018,Nantes,CB,1,0.69795626,57,0.7714285714285715
Koffi Djidji,2017-2018,Nantes,CB,1,0.65112674,58,0.7673469387755102
Adama Soumaoro,2017-2018,Lille,CB,1,0.616707,59,0.763265306122449
Moritz Jenz,2021-2022,Lorient,CB,1,0.5976848,60,0.7591836734693878
Duje Ćaleta-Car,2021-2022,Marseille,CB,0,0.2870623,61,0.7551020408163265
Facundo Medina,2021-2022,Lens,CB,0,0.19751611,62,0.7510204081632653
Joachim Andersen,2019-2020,Lyon,CB,0,0.18477382,63,0.746938775510204
Jason Denayer,2019-2020,Lyon,CB,0,0.1700628,64,0.7428571428571429
Christophe Hérelle,2019-2020,Nice,CB,0,0.15183355,65,0.7387755102040816
