consensus_rank,Player,Season,Team,Role,proba_1_Logistic,proba_1_XGB,proba_1_MLP,rank_proba_1_Logistic,rank_proba_1_XGB,rank_proba_1_MLP,consensus_score
194,Ludovic Blas,2018-2019,Guingamp,RW,0.2207320763456013,0.0045368765,0.45658967189113453,132.0,246.0,188.0,188.66666666666666
195,Mathieu Cafaro,2018-2019,Reims,RW,0.056876387837478594,0.03331383,0.4089862271639719,203.0,150.0,213.0,188.66666666666666
196,Mathias Autret,2019-2020,Brest,AM,0.02050481676975631,0.011855338,0.5483016944993581,243.0,201.0,122.0,188.66666666666666
197,Samuel Grandsir,2018-2019,2 Teams,RW,0.12410743152555143,0.009204085,0.4714513503599147,171.0,220.0,177.0,189.33333333333334
198,Gelson Martins,2021-2022,Monaco,RW,0.24694161223758473,0.017313402,0.28172849920680393,128.0,182.0,259.0,189.66666666666666
199,François Kamano,2018-2019,Bordeaux,LW,0.14808073298361138,0.017745722,0.385863538996834,162.0,180.0,229.0,190.33333333333334
200,Sada Thioub,2021-2022,Saint-Étienne,RW,0.13366276649816197,0.02388369,0.33609624783079023,167.0,163.0,247.0,192.33333333333334
201,Gabriel Boschilia,2018-2019,Nantes,AM,0.033622303016379126,0.01067723,0.511703132671795,223.0,207.0,147.0,192.33333333333334
202,Ronny Rodelin,2018-2019,2 Teams,LW,0.057737916058325386,0.010536909,0.4854364318521988,202.0,208.0,167.0,192.33333333333334
203,Denis Bouanga,2020-2021,Saint-Étienne,LW,0.2586394357118334,0.006958775,0.4071118782021056,126.0,237.0,216.0,193.0
204,Adrien Thomasson,2017-2018,Nantes,AM,0.09320410788191673,0.012181744,0.43276107960300597,179.0,198.0,203.0,193.33333333333334
205,Yannis Salibur,2018-2019,2 Teams,RW,0.04970337497929693,0.019439043,0.453492510170401,213.0,177.0,190.0,193.33333333333334
206,Mathieu Cafaro,2020-2021,Reims,RW,0.024105566856519624,0.039146535,0.4304648247805778,236.0,140.0,205.0,193.66666666666666
207,Abdoul Kader Bamba,2020-2021,Nantes,RW,0.02308780981184933,0.005040258,0.5748632315862805,238.0,244.0,100.0,194.0
208,Quentin Boisgard,2020-2021,Lorient,AM,0.03385999170811222,0.009750909,0.5063873533597114,222.0,213.0,152.0,195.66666666666666
209,Mathias Pereira Lage,2019-2020,Angers,LW,0.17780430457918583,0.013148312,0.3699734946500005,153.0,197.0,237.0,195.66666666666666
210,Denis Bouanga,2018-2019,Nîmes,LW,0.058800204615162395,0.014109972,0.4459591294694957,201.0,196.0,193.0,196.66666666666666
211,Stephy Mavididi,2021-2022,Montpellier,LW,0.07872664299559176,0.008602642,0.47408561602336985,191.0,226.0,175.0,197.33333333333334
212,Adrien Thomasson,2020-2021,Strasbourg,AM,0.0563030937882257,0.023511468,0.38633402713506715,205.0,164.0,228.0,199.0
213,Samuel Grandsir,2017-2018,Troyes,RW,0.041689963904482936,0.015515699,0.44465368189189136,217.0,190.0,194.0,200.33333333333334
214,Lamine Gueye,2020-2021,Metz,RW,0.032057103017025045,0.0055480096,0.5327486193274398,226.0,241.0,135.0,200.66666666666666
215,Quentin Boisgard,2019-2020,Toulouse,AM,0.08432520411321906,0.016600376,0.3719530374136301,186.0,187.0,236.0,203.0
216,Wahbi Khazri,2018-2019,Saint-Étienne,LW,0.03095037770221073,0.009016295,0.4908209784060756,227.0,222.0,163.0,204.0
