Player,Season,Age,Team,Goals,Assist,G+A,Non_penalty_goals,Penalty_kicks-made,Penalty_kicks_attempted,Expected_goals,Non_penalty_xG,Expected_assisted_goals,xG+xAssisted_G,Expected_assists,Non_penalty_expGoals+assisted_goals,Goals-Expected_goals,Assists-expGoals_assisted,Non_penalty_expGoals_perShot,Shot_/90,Goals_per_shot,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_completed,Passes_attempted,Passes_completition%,Passes_toShot,Passes_into_last3rd,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Completed_short_passes,Attempted_short_passes,Short_passes_Cmp%,Completed_medium_passes,Attempted_medium_passes,Medium_pass_Cmp%,Completed_long_passes,Attempted_long_passes,Long_passes_Cmp%,Carries/90,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Received,Prg_passes_received,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Yellow_cards,Red_cards,Fouls_committed,Fouls_drawn,Tackles_on_players,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Mistakes_leadto_shot,Live_ball_passes,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Offsides,Succ_Takes_on%,Tkld_During_Take_On%,Touches/90,Touches_Def_Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Role,Tier_league
Ibrahima Sissoko,2020-2021,22,Strasbourg,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,0,0.08,0.9,0,0,0.1,12,30.9,38.7,79.7,0.2,3.8,0.5,0.1,4.5,583.3,176.8,12.6,14.7,85.7,13.6,15.4,88,4,6.5,62.4,26.2,133.6,66.1,1,1,0.1,1.6,0.8,30.2,1.8,0.1,0.1,1.2,0.9,70.5,0.2,0,2.3,0.8,2.4,1.7,1,1.4,0.8,0.2,0.6,1.7,4,1.5,0,38,0.6,0.4,0,0.6,0.9,0,0,70.7,29.3,49.1,2.2,11.8,30.2,8.2,0.9,49.1,DM,1
Ibrahima Sissoko,2021-2022,23,Strasbourg,0.1,0.2,0.3,0.1,0,0,0.1,0.1,0.2,0.3,0.1,0.3,0,0,0.1,1,0.08,0.33,0.2,23.1,32.3,40.6,79.4,1.1,3,0.8,0.2,3.9,549.2,180.2,15.2,18.2,83.9,13.4,15.3,87.5,2.9,4.9,59.2,33,190.5,102.2,2,1.4,0.2,1.8,1.3,33.9,4,0.3,0.3,2.2,1.8,67,0.2,0,2.3,1.1,1.8,0.9,0.7,1.1,1.3,0.4,0.8,1.4,3.2,1.2,0,39.9,0.6,0.4,0.1,0.2,0.8,0,0,53.2,46.8,52.4,2.4,12.9,26.9,13.1,2.4,52.4,DM,1
Ilan Kebbal,2021-2022,23,Reims,0.1,0.2,0.3,0.1,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0,0,0.1,0.05,1.4,0.04,0.17,0.3,22.2,31.3,42.1,74.4,1.7,3.7,1.9,0.3,6.3,494.4,170.1,17,20.3,83.8,10.1,13.4,75,2.6,4.7,55.9,38.2,247,114.2,3,3,0.6,2.7,1.9,39.4,6.9,0.4,0.2,3.6,10,0.1,0,0.6,2.5,1.6,0.8,0.6,1.6,0.8,0,0.8,0.7,2.2,0.2,0,38.9,3.1,1.2,0.1,0.1,3.6,1.5,0.4,54.7,45.3,53.1,0.6,6.2,24.6,23.5,2.1,53.1,RW,0
Imran Louza,2019-2020,20,Nantes,0.1,0.1,0.2,0.1,0,0,0.1,0.1,0.2,0.3,0.1,0.3,0,-0.1,0.05,1.6,0.06,0.14,0.6,40,39.3,51.7,76,1.6,3.5,0.6,0.1,4.5,641.7,169.3,20.9,24,87.3,13.2,16.4,80.5,3.9,8.3,46.2,33.5,185.9,84.2,1.4,1.8,0.1,1.9,1.1,42,4.6,0.2,0.2,3.3,2.2,25.6,0.2,0,2.1,1.5,2.4,1.2,0.9,1.2,0.8,0.1,0.7,0.8,3.1,0.3,0,45.7,5.6,2.2,0.2,0.8,3.5,2.5,0,59,41,61.6,0.6,8,34.4,19.9,1.3,61.6,CM,1
Imran Louza,2020-2021,21,Nantes,0.3,0.1,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.3,0.1,0.1,0,0,0.06,1.2,0.06,0.22,0.3,29,39,50.2,77.8,0.9,4.7,0.5,0.1,5.8,650.4,196.6,19.9,22.2,89.3,13.5,16.8,80.2,4.2,8.1,52.1,31.4,145.4,72.8,1.2,1.4,0.2,1.9,0.8,37.5,2.9,0.2,0.1,2.3,1.3,29.2,0.2,0,1.3,1.7,2.1,1.1,0.8,1.8,0.8,0.2,0.6,1.3,3.4,0.6,0.1,44.9,5,2.9,0.1,0.5,3.4,1.6,0.1,60,40,60.2,1.3,10.1,35.3,15.6,1,60,CM,1
Isaac Mbenza,2017-2018,21,Montpellier,0.3,0,0.3,0.3,0,0,0.3,0.3,0.1,0.4,0.1,0.4,0,0,-0.1,0.13,2.4,0.15,0.38,0.9,38.2,18.2,28,65,1.2,1.2,0.4,0.2,1.9,311.7,60.5,9.9,12.2,81.3,5.3,8.1,65.4,2.4,5.4,45.2,20,156.7,84,3.2,2,0.9,2,1.5,26.3,7.7,0.1,0,3,38.9,0.2,0,0.5,0.8,0.7,0.5,0.3,0.4,0.3,0,0.3,0.2,0.9,0.2,0,24.3,3.5,1.4,0,0.2,5.2,1.8,0.6,62.9,37.1,36.2,0.1,2.4,15.1,19.2,2.7,36.2,RW,0
Ismaël Diomandé,2017-2018,24,Caen,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0.03,0.4,0,,0,0,29.2,34.8,84,0.1,2.9,0.3,0.1,3.4,631.4,246.5,10.5,11,95.4,12.6,14.4,87.7,5.7,8.6,66.2,22.6,168,106.4,1.1,0.6,0,0.8,0.3,25.9,0,0.1,0.1,0.3,0.3,50,0.1,0.1,1.1,0.3,1.8,1,1.3,0.6,1.4,0.6,0.8,0.6,2.4,2.5,0,34.1,0.4,0.4,0,0.9,0.3,0,0,100,0,43.4,4.7,19.7,22,2.5,0.4,43.4,DM,0
Ismaël Diomandé,2018-2019,25,Caen,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.6,0,,0,0,34.2,41.6,82.2,0.3,3.2,0.1,0.1,3.5,669.3,200.1,13.6,15.2,89.5,13.2,14.9,88.3,6.1,9.3,66.2,28.8,143.4,65.7,0.4,0.3,0,0.9,0.9,31.8,0.3,0.1,0.1,1.1,1.1,58.3,0.3,0.1,1.9,1.3,1.9,1,0.8,0.6,1.2,0.5,0.7,0.7,2.6,2.6,0,40.5,1,1,0,0.9,0.3,0,0.1,61.5,38.5,50.7,2.9,16.6,32.2,2.5,0.1,50.7,DM,0
Ismaila Sarr,2018-2019,20,Rennes,0.3,0.2,0.5,0.2,0,0,0.2,0.2,0.2,0.4,0.2,0.4,0.1,0.1,0,0.1,1.7,0.13,0.37,0.6,35.8,17.8,24.4,72.8,1.3,1.5,1.5,0.2,3,224.2,75.5,11.8,14.2,82.8,4,5.9,68.3,0.6,1.2,48.6,28.1,238.4,138,5.3,3.7,1.8,2.9,2.2,29.3,8.8,0.6,0.3,3.6,36.2,0.2,0,1.2,3.2,1.1,0.8,0.5,0.5,0.5,0.1,0.5,0.5,1.6,0.1,0,23.7,0.5,0.1,0,0.1,1.5,0,0.3,47.3,52.7,36.9,0.1,3.6,14.9,19.7,4.3,36.9,RW,2
Ismaila Sarr,2017-2018,19,Rennes,0.2,0.1,0.4,0.2,0,0,0.2,0.2,0.1,0.4,0.1,0.4,0,0,0,0.12,2,0.12,0.36,0.7,34.1,15.9,21.4,74.4,0.8,0.8,0.7,0.1,1.6,199.4,45.7,9.6,11.6,83.3,4.2,5.9,71.1,0.6,1.2,48,26.9,214.9,104.6,3.9,2.8,1.5,4.3,2.6,27.7,9.9,0.4,0.2,3.3,25.6,0.1,0,1,3.1,1,0.5,0.3,1.1,0.8,0,0.8,0.4,1.4,0.1,0,20.9,0.4,0,0.1,0,1.7,0,1,60,39,34.8,0.1,3,13.1,19.8,3.8,34.8,RW,2
