Player,Season,Age,Team,Goals,Assist,G+A,Non_penalty_goals,Penalty_kicks-made,Penalty_kicks_attempted,Penalty_kicks_missed,Expected_goals,Non_penalty_xG,Expected_assisted_goals,xG+xAssisted_G,Expected_assists,Non_penalty_expGoals+assisted_goals,Goals-Expected_goals,Assists-expGoals_assisted,Non_penalty_expGoals_perShot,Shot_/90,Goals_per_shot,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_completed,Passes_attempted,Passes_completition%,Passes_toShot,Passes_into_last3rd,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Completed_short_passes,Attempted_short_passes,Short_passes_Cmp%,Completed_medium_passes,Attempted_medium_passes,Medium_pass_Cmp%,Completed_long_passes,Attempted_long_passes,Long_passes_Cmp%,Carries/90,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Received,Prg_passes_received,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Touches/90,Touches_Def_Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Aerials_Won%,Yellow_cards,Red_cards,Fouls_committed,Fouls_drawn,Tackles_on_players,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Mistakes_leadto_shot,Offsides,Penalty_kicks_won,Penalty_kicks_conceded,Own_goals,Recov_loose_balls,Live_ball_passes,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Succ_Takes_on%,Tkld_During_Take_On%,Role,Tier_league
Tino Kadewere,2020-2021,24,Lyon,0.4,0.1,0.6,0.4,0,0,0,0.4,0.4,0.2,0.6,0.1,0.6,0,0,0,0.17,2.6,0.17,0.43,1,39,20.3,28.1,72.1,0.9,0.9,0.9,0.2,1.7,278.6,52.3,12,14.9,80.4,6,8.6,69.8,0.9,1.7,52.6,24.9,107,47.3,1.6,1.1,0.8,2.4,1.5,28.9,8.3,0.5,0.4,3.1,40.9,1.6,5.6,15.6,20.3,5.4,40.9,46.5,0.2,0,1.6,1.1,1.6,1,0.8,1.4,0.7,0.1,0.6,0.9,2.5,1.4,0,0.4,0,0,0,5.2,27.7,0.4,0,0.1,0.1,1.5,0,52.7,47.3,CF,0
Umut Bozok,2018-2019,21,Nîmes,0.1,0.2,0.4,0.1,0,0.1,0.1,0.3,0.2,0.1,0.5,0.1,0.3,-0.2,-0.1,0.1,0.1,2,0.07,0.22,0.7,32.1,15.7,21.3,74,1,1.1,0.2,0,1.1,224.9,35.9,9,11.4,79.5,4.7,5.8,80,0.9,1.5,65,21.6,105.7,31,1,0.8,0.4,2.4,2.6,25,5.4,0.4,0.3,2.6,31,0.1,1.6,14.8,15.1,3.1,30.9,32.1,0.1,0,1,2.2,0.7,0.4,0.1,0.1,0.2,0,0.2,0.4,1,0.1,0,0.8,0,0,0,2.9,18.9,2.3,0,0.2,0,0.3,0,48,52,CF,0
Valère Germain,2017-2018,27,Marseille,0.4,0.2,0.6,0.4,0,0,0,0.4,0.4,0.2,0.6,0.1,0.6,0,0,0,0.15,2.5,0.15,0.32,1.2,47.5,16.4,22.5,72.7,1,0.7,0.6,0.2,1.5,192.7,31.3,8.9,11.4,77.8,3.5,5.2,68,0.7,1.3,51.6,18.1,61.6,23.9,0.8,0.6,0.2,1.2,0.8,21.7,6.1,0.4,0.2,2.4,29.7,0.8,2,12.6,15.4,4.1,29.7,33.3,0.1,0,1,0.6,0.7,0.5,0.1,0.6,0.5,0,0.5,0.2,0.9,0.8,0,0.5,0,0,0,2.2,20.6,1.7,0,0.3,0.1,1.1,0,44.4,55.6,CF,0
Valère Germain,2018-2019,28,Marseille,0.3,0.1,0.4,0.3,0,0,0,0.2,0.2,0.1,0.3,0.1,0.3,0.1,0.1,0,0.09,2.2,0.15,0.42,0.8,35.8,19.2,25.4,75.4,0.8,1.1,0.2,0,1.2,220.9,38.7,11.3,13.6,83,4.5,6.1,74,0.4,0.7,56.3,17,50.4,14.5,0.4,0.1,0.2,1.8,0.7,23.8,4.6,0.3,0.2,1.9,35.1,1.3,3.6,18.3,13.4,4.2,35.1,40.2,0,0,0.9,0.8,1.6,1,0.3,1,0.8,0.2,0.6,0.2,1.8,1.2,0,0.2,0,0,0,2.4,24,1.3,0.2,0,0,0.9,0,37.5,62.5,CF,0
Victor Osimhen,2019-2020,20,Lille,0.5,0.2,0.7,0.4,0.1,0.1,0,0.6,0.5,0.1,0.7,0.1,0.6,-0.1,-0.1,0,0.16,3.3,0.13,0.34,1.3,38.6,8.6,14.7,58.6,0.8,0.6,0.2,0.1,0.4,103.9,20.1,5.7,8.4,67.6,1.6,3,53.9,0.4,0.8,45,12.6,69.8,29.2,1.4,0.7,0.9,2.9,1.5,18.7,5.8,0.3,0.2,1.8,26.4,1.4,1.8,8.9,15.8,5.6,26.2,43.4,0.2,0,2.2,1.6,0.3,0.2,0,0.4,0.3,0,0.3,0.4,0.7,1.3,0,1.3,0.1,0,0,2.1,13.6,1.1,0,0,0,0.9,0,39.5,60.5,CF,1
Wissam Ben Yedder,2019-2020,28,Monaco,0.7,0.2,0.9,0.6,0.1,0.1,0,0.6,0.5,0.3,0.9,0.2,0.8,0.2,0.1,-0.1,0.2,2.5,0.25,0.45,1.4,54.1,24.6,34.1,72.2,1.9,2.4,1.3,0.2,4.2,319.1,96.4,16.2,19.5,83.2,6.1,8.4,72.4,0.9,2.1,43.1,26.2,150.1,76.9,3,1.9,1.2,2.1,1.6,33.1,8.7,0.4,0.2,3.7,43.7,0.3,2.5,18.8,22.9,6,43.5,26.1,0,0,0.4,0.7,0.9,0.7,0.3,0.5,0.5,0,0.5,0.2,1.1,0,0,0.3,0,0,0,3.2,32.3,1.6,0.2,0.5,0.1,1.3,0,60.7,39.3,CF,0
Yaya Sanogo,2017-2018,24,Toulouse,0.4,0,0.4,0.4,0,0,0,0.5,0.5,0,0.5,0,0.5,-0.1,-0.1,0,0.16,2.9,0.12,0.27,1.3,44.9,10.6,19,55.9,0.7,1.4,0.4,0,2,148.4,32.1,6.5,10.2,63.4,3.2,5.7,56.8,0.5,1,56.3,18.7,61.9,19.6,0.6,0.5,0.2,3.2,1.8,24.7,5.7,0.3,0.1,2.3,29.9,1,1.8,11.4,16.8,5.4,29.9,50.6,0.4,0,3.2,2.4,0.7,0.4,0.2,0.5,0.4,0.1,0.3,0.4,1,0.8,0.1,0.7,0.1,0,0,2.6,18.3,0.7,0.1,0.1,0.2,0.3,0,51.9,48.1,CF,0
Yaya Sanogo,2019-2020,26,Toulouse,0.3,0.1,0.4,0.2,0.1,0.1,0,0.3,0.2,0.1,0.4,0.1,0.3,0,0,0,0.1,2.5,0.08,0.2,1,40,11.1,17.1,64.7,0.8,0.4,0.2,0,0.8,136.1,19.7,7.4,10.6,70.1,2.9,4.2,69,0.1,0.2,50,15,47.4,14.4,0.4,0.2,0,2.5,1.2,21.4,4.4,0.2,0.1,1.8,29.1,1.4,2.9,13.6,12.9,4.4,29,43,0.1,0,2.8,2.2,0.6,0.3,0.1,0.1,0.4,0.1,0.3,0.7,1.3,1.4,0,0.5,0,0,0,2.2,15.8,1.2,0.1,0.1,0,0,0,33.3,66.7,CF,0
Yaya Sanogo,2018-2019,25,Toulouse,0.2,0,0.2,0.1,0.1,0.1,0,0.6,0.5,0.1,0.6,0.1,0.6,-0.4,-0.4,-0.1,0.16,3.3,0.04,0.12,1.2,37.8,11.9,18.8,63.3,0.8,0.4,0.3,0,1,146.5,23.2,7.4,11.4,64.6,2.8,3.6,78,0.4,0.9,50,16.4,47,14.1,0.6,0.3,0.5,2.8,1.7,24.5,6.5,0.4,0.1,2.7,30.3,1.2,2.3,11.4,16.8,6.5,30.3,51.6,0.2,0,3,2,0.3,0.1,0.1,0.1,0.2,0,0.2,0.2,0.5,1.1,0,0.4,0.1,0.1,0,3,18.2,0.4,0,0,0.1,0.1,0,26.7,73.3,CF,0
Yoane Wissa,2020-2021,23,Lorient,0.3,0.1,0.5,0.2,0.1,0.2,0,0.4,0.3,0.1,0.5,0.1,0.4,-0.1,-0.1,0,0.17,1.8,0.12,0.32,0.6,36.5,18.5,25.1,73.5,1,1.1,0.5,0,2.1,254.3,62.1,10.3,12.5,82.7,5.9,7.8,75.9,0.7,1.9,36.8,22.5,144.1,77.7,2.7,1.8,0.8,2.4,1,25.9,6.2,0.5,0.3,3,36.6,0.9,5.2,18.1,14.3,3.1,36.4,60.3,0.1,0,1,2.9,1.2,0.7,0.4,0.8,0.8,0.1,0.7,0.7,1.9,0.5,0,0.3,0.1,0,0,4.8,24.6,0.4,0.2,0.2,0.1,1,0,56.1,43.9,CF,1
Zinedine Ferhat,2019-2020,26,Nîmes,0.1,0.2,0.3,0.1,0,0,0,0.2,0.2,0.2,0.4,0.2,0.4,0,-0.1,0.09,1.8,0.07,0.23,0.5,28.9,23.5,37.6,62.6,2,2.2,1.5,0.7,3.3,381.9,140.6,12.8,16.7,76.3,7.1,11.2,63.2,2.5,5.9,42.6,28.9,195.1,91.5,3.4,1.7,1.4,2.3,1.7,34.1,7.9,0.2,0.2,4,2.2,49,0.9,5,18.8,25.8,3.2,49,60.2,0,0,0.7,2.2,1,0.6,0.6,1.2,0.6,0.1,0.5,0.6,1.7,0.7,0,0.3,0,0,0,4.6,32.5,4.8,1.7,0.1,0.2,6.6,2.4,48.1,51.9,RW,0
Zinedine Ferhat,2020-2021,27,Nîmes,0.2,0.3,0.5,0.2,0,0,0,0.2,0.2,0.2,0.4,0.2,0.4,0,0.1,0.08,1.9,0.08,0.23,0.7,36.1,24.9,37.8,65.9,1.5,2.3,1.5,0.5,3.7,394.7,117.6,13.2,16.7,78.7,7.6,11.9,64.4,2.6,5.5,46.7,29.9,176.6,76.8,2.8,2.2,1.1,2.7,1.5,37.8,8.1,0.6,0.4,3.4,2.2,51.3,1.3,6.9,21.3,23.7,3.3,51.3,51.4,0.1,0,0.7,2,1.1,0.6,0.5,0.6,0.7,0,0.7,1,2.1,1.2,0,0.3,0.1,0,0,4.4,35.2,2.4,0.5,0.2,0.3,3.8,1.2,50,50,RW,0
Renaud Ripart,2020-2021,27,Nîmes,0.3,0,0.3,0.1,0.2,0.2,0,0.3,0.2,0.1,0.4,0.1,0.2,0,-0.1,0.09,1.8,0.08,0.26,0.6,31.1,23.7,35.2,67.4,0.6,2.3,0.6,0.2,3.7,383,115.5,12.1,15.4,78.7,8.4,11.6,72.3,2.1,4.1,51.1,25.6,117.1,50.2,1.2,0.9,0.3,2.1,1.5,30.5,4.5,0.1,0.1,2,1.2,49,1.9,9.7,24.2,15.9,2.3,48.8,48.3,0.1,0,0.9,1.9,1.5,0.9,0.8,1.7,1.7,0.4,1.4,1.1,2.6,1.6,0,0.1,0,0,0,4.8,31.9,3.3,0.7,0.1,0.3,1.8,0,38.9,61.1,CF,0
Renaud Ripart,2021-2022,28,Troyes,0.1,0.1,0.2,0.1,0,0,0,0.1,0.1,0.1,0.3,0.1,0.3,-0.1,0,0.07,1.9,0.05,0.15,0.6,31.7,22.1,32.1,68.9,0.8,1.9,0.6,0.3,2.9,338.3,79.9,12.1,15.7,77.3,6.8,9.4,72.6,1.7,3.2,53.7,29.8,156.8,68.6,1.9,1.3,0.3,2.5,1.7,32.4,7,0.1,0.1,2.4,1.6,45.1,1.5,7.5,21.6,16.6,2.9,45.1,40.2,0.1,0,1.1,1.9,1.8,1,0.9,1.5,1,0,1,0.9,2.7,1,0,0.2,0,0,0,4.6,30,2.1,0.1,0,0.2,2.3,0,47.9,52.1,CF,0
Rui Fonte,2018-2019,28,Lille,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0.1,0,0.05,1.9,0.08,0.25,0.6,30.8,21.2,27.3,77.9,1,1.1,0.1,0,2.4,258.7,59.7,13.5,16.4,82.5,4,5.2,77.8,1,1.6,63.6,16.5,75.5,23.5,0.9,1.1,0.4,1,2.4,25.8,5.7,0.1,0.1,1.9,1.7,37.8,1.1,2.3,19.1,16.7,2.7,37.8,56.1,0.1,0,3.2,0.6,3.6,1.7,0.9,0.7,0.6,0,0.6,0.3,3.9,1.1,0,0.3,0,0,0,3.3,25.4,1.9,0.3,0,0,0.3,0,33.3,66.7,CF,0
Wesley Saïd,2017-2018,22,Dijon,0.4,0.1,0.5,0.4,0,0,0,0.2,0.2,0.1,0.3,0.1,0.3,0.2,0,0.09,2.4,0.18,0.39,1.1,46.9,18.4,24.8,74.3,0.7,1.4,0.4,0,2.3,253.9,57.7,10.7,12.7,84.2,5.6,7.8,71.9,0.8,2,39,21.7,118.8,60.5,1.7,1.5,0.4,1.7,1.3,24.2,6.1,0.5,0.2,2.4,1.4,33.8,0.3,4,16.4,14.1,3.3,33.8,34.8,0.2,0,1.9,0.9,1.6,1.1,0.3,0.9,0.7,0,0.7,0.7,2.3,0.2,0,0.3,0,0,0,3.5,22.8,1.8,0.1,0.2,0,0.9,0.1,66.7,33.3,CF,0
Wesley Saïd,2018-2019,23,Dijon,0.2,0,0.2,0.2,0,0,0,0.2,0.2,0.1,0.3,0.1,0.3,0,-0.1,0.07,2.3,0.07,0.16,1,43.1,17,23.9,71.1,1,1.3,1.2,0,3.1,253.3,63,9,11.1,81.3,6,7.7,78.2,1,2.2,44.4,18.9,154,82.8,2.7,1.6,1,1.8,1.2,22.9,6.4,0.3,0.1,2.6,1.5,32.4,0.4,2.9,12.8,17.7,3.5,32.4,36.5,0.2,0,2,0.5,1,0.7,0.2,0.6,0.4,0,0.4,0.4,1.4,0.4,0,0.3,0,0,0,3.4,21.9,1.8,0.5,0.1,0.2,1.4,0.3,67.2,32.8,CF,0
Wesley Saïd,2019-2020,24,Toulouse,0.2,0.1,0.2,0.2,0,0,0,0.3,0.3,0.2,0.4,0.1,0.4,-0.1,-0.1,0.13,1.9,0.08,0.2,0.8,40,25.9,32.4,79.9,0.9,2.6,1,0.2,3.9,394.3,121.1,14.7,16.6,88.3,8.1,9.9,81.3,2.1,3.5,60,26,186.2,106.1,3.3,1.8,0.7,1.9,1.3,29.5,6.5,0.2,0.2,2.9,1.6,43.4,1.2,6.8,22,15.3,3.2,43.4,46.4,0.2,0,0.9,0.6,1.6,0.7,0.2,0.9,0.5,0,0.5,0.7,2.2,0.6,0,0.1,0,0,0,4.9,30.3,1.9,0.7,0.1,0.1,1.6,0.2,68.3,31.7,CF,0
Wesley Saïd,2021-2022,26,Lens,0.7,0,0.7,0.7,0,0,0,0.6,0.6,0.1,0.7,0.1,0.7,0.1,-0.1,0.17,3.6,0.19,0.5,1.4,38.5,22.6,31.9,70.7,1.9,2.5,0.6,0,4.4,342.7,90.3,11.7,14,83.3,7.6,11,68.8,1.8,3.3,54.2,27.7,180.3,104.4,2.9,2.3,1,2.5,0.7,33.9,6.7,0.7,0.3,3.9,2.8,42,0,1.1,23,18.4,5.4,42,46.2,0.3,0,2.3,0.8,1.4,0.7,0.1,1.1,0.6,0,0.6,0.3,1.7,0,0,0.4,0.1,0,0,2.3,30.6,0.8,0.4,0,0.3,1.4,0,76.9,23.1,CF,0
Yacine Bammou,2017-2018,25,Nantes,0.4,0,0.4,0.4,0,0,0,0.1,0.1,0,0.2,0.1,0.2,0.2,0,0.05,2.7,0.14,0.43,0.9,31.8,23.7,33.8,70.2,0.7,1,0.9,0.1,2.2,326.7,81.1,14.5,17.4,83.6,6,8.1,73.8,1.6,3.8,41.9,25.4,127.2,57.1,1.9,1.5,0.4,1.7,1.6,30.5,7.3,0,0,2.1,1.6,46.6,1.5,9.1,19.1,19.2,2.9,46.6,33.3,0.2,0.1,2.4,1,2.2,1.4,0.5,1.2,2,0.5,1.5,0.7,3,1.1,0,0.6,0,0,0,6.5,33.5,0,0,0.1,0.5,2.1,0,28.6,71.4,CF,0
Yacine Bammou,2018-2019,26,Caen,0.2,0,0.2,0.1,0.1,0.1,0,0.1,0.1,0,0.2,0.1,0.1,0.1,0,0.04,1.6,0.06,0.25,0.4,25,22.9,32.3,71,0.6,0.1,0.5,0.3,1.7,295.5,62.7,15.8,17.9,88,5.1,7.4,68.4,0.9,2.9,30,21.8,97,40.2,1.2,1.3,0.4,2,1.7,27.5,6.1,0.1,0.1,1.9,1.7,44.1,2,7.4,20.3,16.8,2.3,44,44.4,0.2,0,0.9,0.9,1.4,0.7,0.3,0.5,1.4,0.3,1.1,0.9,2.2,1.7,0,0.3,0,0,0,4.6,31.6,0.5,0,0,0.3,2.4,0,50,50,CF,0
