Player,Season,Age,Team,Goals,Assist,G+A,Non_penalty_goals,Penalty_kicks-made,Penalty_kicks_attempted,Penalty_kicks_missed,Expected_goals,Non_penalty_xG,Expected_assisted_goals,xG+xAssisted_G,Expected_assists,Non_penalty_expGoals+assisted_goals,Goals-Expected_goals,Assists-expGoals_assisted,Non_penalty_expGoals_perShot,Shot_/90,Goals_per_shot,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_completed,Passes_attempted,Passes_completition%,Passes_toShot,Passes_into_last3rd,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Completed_short_passes,Attempted_short_passes,Short_passes_Cmp%,Completed_medium_passes,Attempted_medium_passes,Medium_pass_Cmp%,Completed_long_passes,Attempted_long_passes,Long_passes_Cmp%,Carries/90,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Received,Prg_passes_received,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Touches/90,Touches_Def_Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Aerials_Won%,Yellow_cards,Red_cards,Fouls_committed,Fouls_drawn,Tackles_on_players,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Mistakes_leadto_shot,Offsides,Penalty_kicks_won,Penalty_kicks_conceded,Own_goals,Recov_loose_balls,Live_ball_passes,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Succ_Takes_on%,Tkld_During_Take_On%,Role,Tier_league
Robert Berić,2017-2018,26,Saint-Étienne,0.6,0.1,0.7,0.5,0.1,0.2,0.1,0.6,0.4,0.1,0.6,0.1,0.5,0,0.1,0,0.22,2,0.26,0.5,1,52.2,10.9,15.7,69.2,0.3,0.3,0,0,0.6,119.1,18.5,6.5,9,72.1,2,2.9,67.6,0.3,0.4,80,10.7,46.9,20.6,1.2,0.4,0.7,1.2,0.8,16,4.1,0.2,0.1,1.2,23.1,0.4,1.4,11.8,10.2,3.1,23,31.4,0,0,2.3,1.8,0.5,0.3,0.1,1.3,0.8,0.1,0.7,0.4,1,0.3,0,1.3,0.1,0,0,2.1,13.7,2,0.1,0,0.1,0.3,0,33.3,66.7,CF,0
Roger Assalé,2020-2021,26,Dijon,0.1,0.1,0.2,0.1,0,0,0,0.1,0.1,0,0.2,0,0.2,0,0,0.1,0.11,1.2,0.09,0.33,0.3,27.3,12.8,19.7,65.2,0.3,0.9,0.5,0,1.5,199.7,41.4,7.4,10.9,68,3.9,5.9,66.7,1.2,1.5,78.6,22.1,135.5,60.4,2.4,1.5,1,3.3,2.1,23.9,6.3,0.3,0.1,1,29.8,0.2,3.4,13.6,13.2,2.9,29.8,23.8,0,0.1,1.3,2.9,1.1,0.9,0.4,0.9,0.8,0.3,0.4,0.2,1.3,0.2,0,0.7,0.1,0,0,2.6,18.6,1,0.1,0,0.2,0.7,0,43.5,56.5,CF,0
Sekou Mara,2021-2022,19,Bordeaux,0.6,0,0.6,0.5,0.1,0.1,0,0.5,0.4,0.1,0.6,0,0.5,0.1,0.1,-0.1,0.12,3.7,0.14,0.31,1.6,43.2,12.8,19.2,66.8,0.7,1.1,0.5,0.1,1.5,183.4,42.5,7.4,10.4,70.5,3.7,5.1,72.5,0.8,1.2,66.7,20.6,103.6,32.8,0.7,0.5,0.4,3.5,1.6,22.6,4.7,0.4,0.2,2.4,34.4,0.6,2.5,16.4,16.1,4.6,34.3,46.9,0.2,0,2.1,2.4,0.8,0.4,0.1,0.7,0.7,0,0.7,0.2,1,0.6,0,0.2,0.1,0,0,3.4,16.6,2.5,0,0.1,0,0.4,0,32.3,67.7,CF,0
Serhou Guirassy,2021-2022,25,Rennes,0.8,0,0.8,0.8,0,0,0,0.7,0.7,0,0.8,0.1,0.8,0.1,0.1,0,0.18,4.1,0.2,0.53,1.5,37,20.8,26,79.9,0.4,0.9,0.4,0,2,289.7,37.8,13.2,15.4,85.6,4.5,6,75,1.7,1.9,86.4,24.5,110.4,33,0.7,0.6,0.2,3.2,1.4,33,7.6,0.1,0.1,2,38.6,0.6,2.3,17.5,19,6.1,38.6,52.1,0.1,0,1.9,3.1,0.4,0.2,0.1,0.5,0.4,0,0.4,0.1,0.4,0.7,0,0.4,0,0,0,2.7,24.4,1.6,0.1,0.1,0.3,0.1,0,43.8,56.3,CF,1
Serhou Guirassy,2020-2021,24,Rennes,0.5,0.1,0.6,0.5,0.1,0.1,0,0.5,0.4,0.1,0.6,0.1,0.6,0,0,-0.1,0.17,2.6,0.18,0.38,1.2,47.1,18.9,25.1,75.4,1.4,1.2,0.4,0,1.8,269.9,38,11.2,13.8,80.8,5,6.8,73.1,1.3,1.7,78.8,20.8,102.8,32.1,0.9,0.7,0.4,3.4,1.6,30.9,7.7,0.3,0.1,2.8,36.2,1.1,2,18.9,15.6,4.9,36.2,55.2,0.2,0,1.9,2.8,0.2,0.1,0.1,0.1,0.5,0.1,0.5,0.3,0.5,0.9,0,0.3,0.1,0,0,1.9,23.8,1.3,0.1,0,0.4,0.2,0,63.2,36.8,CF,1
Serhou Guirassy,2019-2020,23,Amiens,0.4,0.1,0.5,0.3,0.1,0.2,0,0.4,0.3,0,0.5,0.1,0.3,0,0,0.1,0.14,1.9,0.15,0.4,0.7,36.6,20.6,29.1,70.7,0.7,1.7,0.3,0,2.4,272.8,45.8,13.6,17.5,77.8,4.7,6.8,68.5,1,1.5,65.6,24.6,115.9,41.4,1.4,1.5,0.5,3.6,1.9,34.1,8.3,0.3,0.1,1.7,40.7,1.4,2.3,23.4,15.2,3.4,40.5,48.9,0.3,0,1.9,3,0.3,0.1,0.1,0.2,0.6,0.3,0.3,0.2,0.5,1,0,0.7,0.2,0,0,2.9,27.8,1.2,0.1,0,0.2,0.4,0,46.9,53.1,CF,0
Serhou Guirassy,2018-2019,22,Amiens,0.2,0.1,0.3,0.2,0,0,0,0.3,0.3,0.1,0.4,0.1,0.4,-0.1,-0.1,0,0.15,2.2,0.11,0.33,0.7,33.3,16.9,26.7,63.3,1,1.1,0.7,0.1,2.5,218.8,48.4,11.5,16.4,70.3,3.6,6.2,59.2,0.7,1.2,60,23.6,116,43.2,1.3,1.2,0.3,3.7,2.5,34.8,7.5,0.3,0.2,2.3,40.3,1.1,2.8,20.7,17.5,3.2,40.3,60.7,0,0.1,1.3,3.2,0.6,0.4,0,0.3,0.6,0,0.6,0.3,0.9,1.1,0,0.6,0,0,0,3.1,26.2,0.4,0.1,0,0.2,0.8,0,37.5,62.5,CF,0
Simon Banza,2020-2021,23,Lens,0.3,0.1,0.5,0.3,0.1,0.1,0,0.4,0.3,0.1,0.5,0.1,0.5,-0.1,-0.1,0,0.15,2.2,0.12,0.33,0.8,35.3,15,21.1,71,0.8,1.8,0.5,0.1,2.2,215.9,38.1,7.7,10.4,73.6,5.4,6.6,82.2,0.9,1.4,61.9,19.2,88,35.6,1.1,0.9,0.3,3.4,1.4,26.2,7.5,0.3,0.3,2.1,33.5,1.1,2.4,15.2,16.3,4.3,33.4,47.5,0.4,0.1,1.9,2.2,0.9,0.4,0.1,0.9,1,0.1,1,0.5,1.3,1,0,0.6,0.1,0,0,2.7,20,0.9,0.1,0,0.1,0.7,0,39.1,60.9,CF,0
Stéphane Bahoken,2018-2019,26,Angers,0.4,0,0.4,0.3,0.1,0.1,0,0.3,0.3,0.1,0.4,0.1,0.4,0.1,0.1,-0.1,0.11,2.3,0.14,0.3,1.1,46.9,12.2,17.5,70,0.8,0.6,0.4,0.1,1.2,157.8,25.2,6.4,8.5,75.1,3.5,4.7,75.8,0.5,0.9,62.5,16.7,85,25.5,1.1,0.8,0.6,3.7,2.2,20.3,6.3,0.1,0.1,1.8,28.6,0.1,1,13.9,14,3.8,28.5,32.8,0.1,0,2,1.3,0.5,0.3,0.1,0.7,1.3,0.1,1.2,0.3,0.8,0.2,0,1.1,0,0,0,1.6,15.2,2.3,0.1,0.1,0,1.1,0,35.3,64.7,CF,0
Stéphane Bahoken,2019-2020,27,Angers,0.4,0,0.4,0.3,0.1,0.1,0,0.3,0.3,0.1,0.4,0.1,0.3,0.1,0,-0.1,0.14,1.8,0.17,0.38,0.8,44.4,14.2,19.3,73.7,1.1,0.5,0.4,0.2,0.8,183.8,26.3,8.3,9.9,84,3.5,5.1,68.6,0.5,1.4,35.7,19.3,95.9,25.8,1.6,0.6,0.8,3.7,2.3,24.1,7.3,0.2,0.2,1.9,28.8,0.3,1.4,13.6,14.1,4.2,28.7,23.4,0.3,0,2.4,1.2,0.7,0.4,0.1,0.6,0.4,0.1,0.3,0.2,0.9,0.2,0,0.6,0,0,0,2.1,17.3,1.9,0,0,0,1.5,0,45.5,54.5,CF,0
