Player,Season,Age,Team,Goals,Assist,G+A,Non_penalty_goals,Penalty_kicks-made,Penalty_kicks_attempted,Expected_goals,Non_penalty_xG,Expected_assisted_goals,xG+xAssisted_G,Expected_assists,Non_penalty_expGoals+assisted_goals,Goals-Expected_goals,Assists-expGoals_assisted,Non_penalty_expGoals_perShot,Shot_/90,Goals_per_shot,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_completed,Passes_attempted,Passes_completition%,Passes_toShot,Passes_into_last3rd,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Completed_short_passes,Attempted_short_passes,Short_passes_Cmp%,Completed_medium_passes,Attempted_medium_passes,Medium_pass_Cmp%,Completed_long_passes,Attempted_long_passes,Long_passes_Cmp%,Carries/90,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Received,Prg_passes_received,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Yellow_cards,Red_cards,Fouls_committed,Fouls_drawn,Tackles_on_players,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Mistakes_leadto_shot,Live_ball_passes,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Offsides,Succ_Takes_on%,Tkld_During_Take_On%,Touches/90,Touches_Def_Pen,Touches_Def _3rd,Touches_Mid _3rd,Touches_Att _3rd,Touches_Att_ Pen,Touches_Live,Role,Tier_league
Enock Kwateng,2020-2021,23,Bordeaux,0.1,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,-0.1,0.13,0.3,0.25,0.5,0.2,50,46.6,57.8,80.7,0.6,2.3,0.4,0.3,3.8,694.3,269,26.3,30,87.6,16.6,21.5,77,2.3,3.8,37.1,153.6,85.1,1.3,0.9,0,1.6,0.6,39.8,3,0.1,0.1,1.8,1.7,62.2,0.3,0,1.3,1.5,1.8,1,1.2,1.1,1.3,0.3,1,2.3,4.1,2.3,0,49.1,8.8,0.7,0,0.1,1.5,0,0,66.7,33.3,69,3.8,23,35.5,11.2,1,69,RB,0
Enock Kwateng,2021-2022,24,Bordeaux,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,-0.1,0.04,0.3,0.14,0.33,0.1,42.9,44.7,55,81.4,0.8,3.8,1,0.6,4.8,713.6,303.6,24.4,27.6,88.3,15.6,19.1,82.1,3.5,5.7,37,188,97.8,1.7,1.3,0,1.2,0.2,38.4,1.7,0,0,1.4,1.1,51.1,0.3,0,1,0.7,2.4,1.6,1.5,1.8,0.8,0.2,0.6,1.9,4.4,2.2,0,47.2,7.8,0.9,0.1,0.2,1.8,0,0,62.9,37.1,64.7,3.5,22.7,33.7,9.5,0.4,64.7,RB,0
Enzo Ebosse,2021-2022,22,Angers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,,0,0,43.4,51.7,83.9,0.4,2.1,0.2,0.1,2.6,790.1,284,17.1,19.4,88.2,20.9,23.4,89.4,4.6,7.1,64.4,40.8,222.7,117.6,1.2,0.7,0,1,0.1,40.2,0.9,0,0,1.2,0.9,50,0,0,0.7,1,1.2,0.7,0.5,0.4,0.9,0.4,0.5,0.7,1.9,2,0,48.4,3.2,0,0.2,0.8,0.8,0,0,60,40,59.3,4.1,25.5,30.4,4,0.3,59.3,CB,0
Erik Palmer-Brown,2021-2022,24,Troyes,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.22,0.2,0,,0,0,28.1,33.8,83,0.2,1.5,0.2,0,1.9,527.1,225.3,10.8,11.9,90.8,14.2,16,88.7,2.6,4.6,27.3,142.8,69,0.2,0.2,0.1,0.5,0.3,24.6,0.1,0,0,0.4,0.3,63,0.1,0,0.9,0.5,1.9,1.1,1,0.3,1.3,0.9,0.4,1.8,3.7,4.5,0.1,32.9,0.8,0.8,0.1,0.2,0,0,0.2,57.1,42.9,44.8,9.2,28.3,16,0.9,0.3,44.8,CB,0
Fábio,2018-2019,28,Nantes,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.03,0.2,0,,0,0,34.1,45.6,74.8,1.1,2.2,1.1,0.7,3.3,538.2,220.5,18.6,21.4,86.8,11.6,15.7,74,2.7,5.5,48.7,24.5,165.3,102.9,3.1,2.8,0.1,0.7,0.4,26.3,3.9,0.3,0.3,2.3,1.8,54.1,0.3,0.1,1.3,1.3,3.7,2.4,1.8,1.9,1.3,0.3,1,1.3,5,1.9,0,35.3,10.1,0.1,0.1,2.5,2.5,0,0.2,57.1,42.9,55.5,2.4,14.3,26.3,15.7,0.6,55.5,RB,0
Félix Eboa Eboa,2017-2018,20,Guingamp,0.1,0,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.1,0.5,0.11,0.2,0.3,55.6,32.8,42.5,77.3,0.2,1.6,0.2,0.1,3.1,627.8,242.8,12.5,14.6,85.5,14.8,18.1,82,4.8,7.9,60.9,23.6,116.3,62.4,0.8,0.3,0.1,0.4,0.4,27.2,0.6,0.1,0.1,0.8,0.5,66.3,0.1,0,0.9,0.5,1.1,0.6,0.5,0.5,1.2,0.6,0.6,2.3,3.4,7,0.1,38.1,4.2,0,0.2,0.8,0.8,0,0.1,91.7,8.3,54.5,5.3,24.6,25.7,4.7,0.6,54.5,CB,0
Félix Eboa Eboa,2018-2019,21,Guingamp,0.1,0,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.15,0.4,0.25,0.6,0.2,41.7,28.3,37.4,75.9,0.2,1.7,0.3,0.1,2.7,562.8,221.4,8.9,11.1,79.9,16.1,18.6,86.8,3,6.5,46.3,20,119.4,62.1,0.3,0.3,0,0.4,0.1,23.3,0.1,0,0,0.3,0.2,65.8,0.2,0,1,0.6,1.7,1.2,0.6,0.2,1.4,0.9,0.5,1.4,3.2,5,0.1,34.9,2.3,0,0.3,0.4,0.4,0,0.2,81.8,18.2,49.1,6.2,22.9,23.7,2.8,0.9,49.1,CB,0
Fabien Centonze,2019-2020,23,Metz,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0.05,0.3,0,0,0.1,33.3,34.7,47.4,73.3,0.8,1.9,0.9,0.5,2.9,538.5,229.9,19,21.9,86.9,12.5,17,73.4,2.1,5.5,38.7,24.3,198.4,109.4,3.5,2.2,0.5,1.1,0.9,28.5,2.9,0.2,0.1,1.6,1.1,58.2,0.1,0,0.7,1.3,2.7,1.7,1.2,0.8,1.1,0.4,0.7,2.1,4.8,3.5,0,37.9,9.4,0,0.2,2.4,2.4,0,0,58.5,41.5,60.3,3.9,22.9,26.8,11.4,0.7,60.3,RB,0
Fabien Centonze,2020-2021,24,Metz,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,-0.1,0.05,0.7,0.04,0.17,0.2,25,38.4,50.5,76.1,0.6,2.1,0.8,0.6,3,575,247.2,22.2,25.1,88.2,13.2,17.5,75.7,2.1,5,41.9,34.4,228.2,122.7,3.3,2.2,0.3,1.8,0.9,34.8,5.3,0.2,0.1,1.6,1.1,62.9,0.3,0,1.2,1.6,2.9,1.9,1.2,0.8,1.7,0.5,1.3,3.1,6,3.3,0,40.5,9.9,0.1,0.1,3.2,3.2,0.1,0.1,49.6,50.4,67.1,4.3,22,29.8,16,0.9,67.1,RB,0
Fabien Centonze,2021-2022,25,Metz,0.2,0.1,0.3,0.2,0,0,0,0,0,0.1,0,0.1,0.2,0,0.05,0.9,0.27,0.57,0.4,46.7,33.5,43.6,76.9,0.6,2.3,0.6,0.3,3.1,500.9,220.1,19.9,22.6,87.9,11.2,14.8,75.9,1.6,3.9,42,33.8,211.3,104.5,2.6,1.6,0.3,2,0.8,32.4,3.8,0.2,0.2,1.5,1.1,37,0.2,0,0.9,1.7,1.9,1.2,0.7,1.1,2.1,0.5,1.6,1.8,3.7,2.9,0,35.9,7.7,0,0.2,2.7,2.7,0,0.1,51.8,48.2,58.9,3.9,19.7,26,13.9,0.9,58.9,RB,0
Facundo Medina,2020-2021,21,Lens,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.13,0.4,0.22,0.5,0.2,44.4,60.7,70.9,85.6,0.4,5.2,0.2,0,6,1152.1,480,23.6,25.6,92.3,29.1,31.7,91.8,7.2,10.7,49.8,270.4,175.2,1.1,0.4,0,0.9,0.5,55.6,0.3,0,0,1.4,1.3,46.3,0.5,0,1.5,0.3,1.7,1,1.1,0.6,1.1,0.4,0.7,1.7,3.5,2.3,0.1,67.9,2.8,2.2,0,1.3,0.2,0,0.1,63.6,36.4,80.3,5.2,33.4,45.2,2.5,0.6,80.3,CB,0
Facundo Medina,2021-2022,22,Lens,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.15,0.3,0.11,0.5,0.1,22.2,70,78.5,89.2,0.2,5.8,0.2,0,7,1211,503.9,32.3,34.4,93.9,29.4,31.9,92.2,6.4,9,61.9,345.5,223.2,1.8,0.7,0,0.8,0.5,63.5,0.4,0.2,0.1,1.1,1,52.1,0.4,0,1.2,0.4,2.1,1.5,1.3,0.8,0.8,0.3,0.6,1.3,3.4,2.7,0.1,75,3.4,2.4,0.1,0.7,0.2,0,0.1,76.2,23.8,87.3,6.8,32.7,51.5,3.9,0.7,87.3,CB,0
Faitout Maouassa,2018-2019,20,2 Teams,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.09,0.3,0,0,0.1,37.5,30.5,43.2,70.6,0.5,2.6,0.8,0.4,3.2,499.2,226.1,16.6,19.5,84.9,10.6,14.5,73,2.6,6.7,23.5,179.3,107,3.2,2,0.3,1.1,0.9,25.1,2.8,0.2,0,1.6,1.1,62.5,0.1,0,0.5,1.1,2.3,1.3,1,0.7,1,0.2,0.8,1,3.3,3.4,0,31.1,12,0.5,0,0.2,3.3,0,0.1,45.1,54.9,54.6,2.4,17.5,24,13.5,0.5,54.6,LB,0
Faitout Maouassa,2019-2020,21,Rennes,0.1,0,0.2,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.05,0.6,0.25,0.43,0.3,58.3,37.8,50.5,74.9,0.6,2.4,0.6,0.5,2.6,595.9,223.3,21.5,24.2,88.8,13.5,17.6,77,2.5,6.8,36.1,221.7,126.4,3.7,2.8,0.3,1.2,0.8,36,3.6,0.1,0.1,1.7,1.2,48.5,0.1,0,0.7,1.6,2.5,1.6,0.7,0.6,0.6,0.2,0.4,1.1,3.7,2.9,0,39.8,10.6,0.5,0,0.1,3,0,0.1,42,58,63.3,2.8,21.2,29.3,13.4,0.5,63.3,LB,0
Faitout Maouassa,2020-2021,22,Rennes,0,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,-0.1,0,0.04,2.1,0,0,0.5,25.9,49.2,62.5,78.7,0.8,3.4,1.2,0.7,4.5,809.5,249.1,27.2,31.1,87.6,17.7,21.9,80.7,3.9,7.4,40.5,242.8,137.2,3.3,3.2,0.1,2.2,0.9,49.5,4.6,0.2,0.1,1.8,1.4,63.6,0.3,0,1,1.4,1.5,0.8,0.8,0.6,0.7,0.1,0.6,1.3,2.8,2.8,0,51.5,11,1.1,0,0.5,4.6,0,0.1,55.9,44.1,76,3,20.1,36.4,20.2,0.8,76,LB,0
Faitout Maouassa,2017-2018,19,Rennes,0,0.2,0.2,0,0,0,0.1,0.1,0.2,0.2,0.1,0.2,-0.1,-0.1,0,0.04,1.5,0,0,0.4,26.7,18.8,26.8,70.1,0.9,1.4,0.5,0.3,2.3,244.7,70.9,11.8,14,84.1,4.9,7.3,66.7,0.7,2.6,26.9,23.1,195.9,91.2,3.8,2.8,0.7,2.6,2.1,28.5,7.9,0.2,0.2,2.3,31.6,0.1,0,1.2,1.4,0.6,0.3,0.2,0.8,1.2,0.2,1,0.6,1.2,0.5,0,25.2,1.4,0.3,0,0,3.3,0.7,0.1,29,71,38.7,0.5,3.3,17.7,18.2,1.2,38.7,LB,0
Falaye Sacko,2021-2022,26,Saint-Étienne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.1,0,,0,0,49.7,59,84.2,0.3,3.8,0,0,5.1,853.7,360.4,21.7,23.3,93.1,22.4,24.8,90.2,4.5,8.4,40.2,213.1,125.6,0.8,1.3,0,1.1,0.1,42.8,0.8,0,0,1.2,1.1,75,0,0,1.2,0.3,2,1.3,1.8,0.4,1.5,0.9,0.5,0.5,2.6,2.4,0.3,54.4,4.6,1.5,0,0.3,1.1,0,0,,,67.2,3.8,27.9,33.9,5.8,0.3,67.2,RB,0
Fali Candé,2021-2022,23,Metz,0,0.2,0.2,0,0,0,0,0,0.1,0.2,0.1,0.2,0,0,0.05,0.6,0,0,0.2,33.3,32.2,45.1,71.3,1.1,1.5,0.4,0.3,1.8,549.8,234.3,15.5,18.2,85.3,13.5,17.6,76.8,3.1,7.6,41.5,29.1,143.2,67.2,1.2,0.9,0.2,1.7,0.8,30.2,3.8,0.3,0.3,1.6,0.8,60,0.2,0,1,1,2.8,1.7,1.2,1.7,1,0.2,0.8,0.6,3.3,1.9,0,34.3,10.8,0,0.1,4.2,4.2,1.7,0,31.8,68.2,57.3,3.1,19.2,25.2,13.1,0.4,57.3,CB,0
Fallou Diagne,2017-2018,27,Metz,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.05,0.6,0.07,0.14,0.3,50,31.9,41,77.9,0.3,2.8,0.1,0,2.5,793.3,300.7,6.5,7.7,83.9,15.8,18.9,84,9.6,13.9,69,26.8,106.2,47.7,0.3,0.2,0.2,0.5,0.1,27.4,0.5,0.2,0.1,1,0.8,67.4,0.3,0.1,1.2,0.2,1.3,0.8,0.3,0.6,1.3,0.7,0.6,1.8,3.2,4.7,0.1,39.1,1.6,0,1,0.1,0.1,0,0.2,88.9,11.1,51.3,5.2,25.4,24.4,2.1,0.6,51.3,CB,0
Ferland Mendy,2017-2018,22,Lyon,0,0.2,0.2,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.04,0.8,0,0,0.2,27.8,56.9,66.8,85.1,1.1,3.6,1.1,0.4,5.6,814.6,241.6,34.1,36.6,93.2,18.2,21.7,83.8,2.8,4.4,48.2,294.4,169.8,4.1,2.6,0.6,1.8,1.1,50.9,5.9,0.6,0.4,2.9,2.1,59.7,0.2,0,1.3,2,1.9,1.2,0.8,0.5,0.8,0.2,0.6,1.1,3,1.8,0,56.8,9.8,0.9,0,0.2,2.5,0,0.3,68.6,31.4,77.7,2.4,17.4,41.9,19.3,1.4,77.7,LB,1
Ferland Mendy,2018-2019,23,Lyon,0.1,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,-0.1,0.04,0.8,0.09,0.29,0.2,30.4,58.2,70.2,82.9,1.4,4.1,0.9,0.3,5.8,918.3,247.3,33.2,36.8,90.4,18.1,21.6,83.9,5,7.2,51.6,289,168.3,3.9,3,0.7,1.3,1.3,53.8,7.5,0.2,0.2,3.3,2.8,56.1,0.1,0,1,1.6,1.6,1,0.5,0.1,0.8,0.2,0.6,1.2,2.8,1.9,0.1,60.5,9.4,0.7,0.1,0.7,2.8,0,0.3,76.4,23.6,80.6,2.7,17.5,40.9,22.9,1.9,80.6,LB,1
Fernando Marçal,2017-2018,28,Lyon,0,0.2,0.2,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.04,0.1,0,0,0.1,50,57.5,69.7,82.6,1.2,2.3,0.6,0.2,4.8,889.3,288.6,32.9,35.3,93.1,19.2,24,80,4.4,6.9,47.2,240.6,142.3,2.6,1.9,0.3,1.3,0.6,51.6,4.4,0.3,0.3,2.2,1.8,59.6,0.1,0,1.1,1.7,2.4,1.4,1,1,1,0.4,0.6,1.8,4.2,4.8,0,58.2,11,1.8,0,0.1,1.9,0,0.5,20,80,82.4,3.8,22.9,46.1,13.9,0.8,82.4,LB,1
Flavius Daniliuc,2020-2021,19,Nice,0.1,0,0.1,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0.07,0.5,0.11,0.5,0.1,22.2,59.8,68.1,87.8,0.2,5.4,0.2,0.1,6.2,1085.2,405,24.5,26.4,92.8,30.3,32.6,92.9,4.6,7.7,59.8,47.3,237.9,158.3,1.5,0.4,0,0.7,0.2,55,0.4,0,0,0.9,0.6,39,0,0,0.7,0.5,1.4,0.9,0.6,0.7,1,0.4,0.7,0.9,2.3,1.9,0,64.5,3.6,0,0.9,0.1,0.1,0,0,100,0,75.7,6,32.1,39.9,3.7,0.8,75.7,CB,0
Flavius Daniliuc,2021-2022,20,Nice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.3,0,,0,0,53.7,61,87.9,0.2,2.6,0.2,0.1,4.4,949.1,345.2,21,23.3,90.1,27.9,30.7,90.9,3.9,5.4,72.7,45.7,237.5,121.5,0.4,0.5,0.1,0.9,0.1,42.8,1.7,0.1,0.1,0.8,0.8,46.7,0.3,0,1.2,0.3,3.2,2.2,2.4,0.6,0.9,0.5,0.4,1,4.2,2.4,0.1,54.4,6.7,0,0.5,0.5,0.5,0,0,60,40,70.9,5.2,29.8,35.9,5.9,0.7,70.9,CB,0
Florian Miguel,2018-2019,21,Nîmes,0,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,-0.1,0,0.29,0.3,0,0,0.1,25,31,40.9,75.9,0.7,1.3,0.3,0.2,1.3,542.7,216.6,14.3,15.6,92.2,13.8,17.9,77,2.6,5.6,23,91.1,48.2,1,0.5,0.2,0.3,0.3,25.7,1.5,0.2,0.2,1.5,1.1,39.5,0.2,0.1,1,1.5,1.5,1.3,0.6,0.3,1.2,0.6,0.6,1.7,3.2,3.8,0,33,7.7,1.4,0,0.1,0.8,0,0.2,37.5,62.5,51,4.2,25,20.1,6.6,1,51,LB,0
Florian Miguel,2019-2020,22,Nîmes,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0,0,0.07,0.8,0.06,0.5,0.1,11.1,30.5,43.4,70.2,0.6,2.1,0.8,0.4,2.8,498.1,236.5,16.2,18.7,86.9,11.6,15.7,73.7,2.2,6.3,25.1,138.6,76.2,2,1.2,0.4,1.3,0.4,27.5,4.3,0.1,0,1.8,0.9,52.1,0.4,0,2,2.1,2.2,1.1,1.4,0.9,0.8,0.2,0.7,1.4,3.7,1.4,0,31.6,11.6,0.5,0,0,2.8,0,0.2,39.5,60.5,54.6,1.7,16.4,24.3,14.3,1.4,54.6,LB,0
Florian Miguel,2020-2021,23,Nîmes,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0.5,0,0,0.2,37.5,43.4,54.5,79.6,0.1,3.2,0.2,0.1,3.5,913.5,329.7,11.4,12.5,90.7,26.2,29.7,88.2,5.6,11.3,39.8,210.9,117,0.6,0.2,0.1,0.4,0.2,41.6,0.6,0.1,0,0.3,0.2,48.4,0.2,0.1,1,1.9,0.8,0.8,0.5,0.5,1.2,0.8,0.5,2.6,3.5,3.9,0.1,50.1,4.3,2,0,0.4,0.4,0,0.1,75,25,64.7,5.5,36.6,25.7,2.9,0.6,64.7,LB,0
Fodé Ballo-Touré,2017-2018,20,Lille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.1,0,0,0.1,66.7,44.5,53.8,82.8,0.3,2.3,0.5,0.2,3.2,611.3,203.8,27.1,29.7,91,13.4,16.3,82.3,1.6,3,54.4,29.8,152.9,96.2,1.9,0.8,0.2,0.8,1,36.6,4.3,0,0,1,0.8,46.4,0.2,0,1.3,0.8,2.2,1.6,0.9,1.1,1.2,0.1,1.1,1.2,3.4,2.1,0,43.5,10.2,0,0.1,1.9,1.9,0,0,69.6,30.4,62.4,2.4,18.3,31.6,13.1,1,62.4,LB,0
Fodé Ballo-Touré,2018-2019,21,2 Teams,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0.08,0.2,0,0,0.1,37.5,34.4,46,74.7,0.7,2.9,0.7,0.4,3.9,509.8,202.5,19.5,22.3,87.4,11.9,16.3,73.3,1.9,4.2,44.7,27.8,168.9,100.6,2.8,2.2,0.3,1.3,1,29.1,4.1,0.2,0.2,1.6,1.3,53.7,0.2,0,0.8,1.4,2.6,1.9,1.2,0.9,1.3,0.3,1,1.6,4.2,2.3,0.1,35.8,10.1,0.1,0,2.7,2.7,0,0.1,58.5,41.5,57.6,2.1,15.8,29.3,13.4,0.7,57.6,LB,0
Fodé Ballo-Touré,2019-2020,22,Monaco,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,-0.1,-0.1,0.19,0.3,0,0,0.1,40,36.5,46.8,77.9,0.9,3.2,0.8,0.4,4.1,582.6,190.4,20.1,22.7,88.4,12.9,16.5,78.2,2.8,5.2,54.6,31.5,211.4,130.6,3.6,1.7,0.2,1.6,0.5,33.3,5.8,0,0,1.7,1.1,53.8,0.2,0,0.9,1.2,1.9,1.3,0.9,0.8,0.5,0.1,0.5,1.3,3.2,2.4,0,38.2,8.5,0.1,0.1,3.3,3.3,0,0.1,64.9,35.1,57.6,2.6,16.4,28.4,13.9,1.1,57.6,LB,0
Fodé Ballo-Touré,2020-2021,23,Monaco,0,0.4,0.4,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.3,0.07,0.3,0,0,0.1,50,47.4,58.7,80.8,1.1,3.4,1.5,1,3.3,729.5,210.6,26.9,30.2,89.2,15.9,19,83.6,3.3,5.7,57.1,34.8,212.1,107.3,4.1,2.3,0.8,1,0.7,41.1,7.1,0.5,0.4,2,1.8,54.5,0.3,0,1.4,1.6,2.9,2.3,0.8,1,1,0,1,0.8,3.7,1.5,0.1,48,10.6,0,0,5.3,5.3,0,0.1,33.3,66.7,68.7,1.8,15.2,33.2,20.7,2.3,68.7,LB,0
François Moubandje,2017-2018,27,Toulouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.2,0,0,0.1,33.3,33.7,47.1,71.5,0.4,3.4,0.4,0.2,4.2,578.8,264.2,16.7,19.5,85.6,13.7,17.7,77,3,7.7,25.1,120.3,64.3,1.4,1,0.1,1,0.4,25.9,2.9,0.1,0.1,1,0.8,71,0.3,0.1,1.2,0.8,1.5,0.8,0.5,1.3,1.2,0.4,0.8,1.4,2.9,4,0,35.7,11.3,0.8,0.1,0.2,2,0,0.2,61.3,38.7,57.4,3.4,20.4,27.3,10.1,0.3,57.4,LB,0
François Moubandje,2018-2019,28,Toulouse,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.06,0.3,0,0,0.1,42.9,35.8,47.2,75.8,0.6,2.5,0.3,0.3,3.5,610.8,235.7,16.6,18.9,87.7,14.6,19.1,76.2,3.5,6.6,28,162.1,91.2,1.6,1.4,0.1,1.6,0.6,30.2,3.7,0.1,0.1,1.3,1,51.3,0.1,0,1,0.9,1.8,1,0.8,0.2,0.8,0.2,0.7,1.3,3,3.4,0,39.1,8,1.1,0,0.2,1.9,0,0.1,50,50,58.1,4,19.4,28.4,11,0.6,58.1,LB,0
Franck Tabanou,2017-2018,28,Guingamp,0,0.2,0.2,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.04,0.2,0,,0,0,39.3,53.8,73,0.8,2.9,0.9,0.6,3.7,710.8,314.5,17.7,19.4,91.2,15.1,21,71.8,5.2,10,25.8,113.4,59.2,1.5,0.9,0.2,1,0.6,33.4,3.5,0.3,0.3,2.1,1.5,52.5,0.4,0,1.5,1.3,2,1.5,0.9,1.4,0.4,0.3,0.2,2.2,4.2,4.1,0,40.1,13.4,1.8,0,0.4,4.6,0.2,0.3,52.9,47.1,64.8,5.1,21.4,28.8,15.1,0.3,64.8,LB,0
Frederic Guilbert,2017-2018,22,Caen,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.11,0.4,0.08,0.33,0.1,23.1,29.6,43.2,68.5,0.4,2.3,0.8,0.6,3.4,535.4,222.4,13.4,15.9,84.3,11.6,16.7,69.8,3.7,7.3,17.7,119,58.2,2,1.6,0.1,1.2,1.1,23.4,4,0.1,0.1,1.6,1.2,59.5,0.3,0,1.6,1,3.8,2.5,1.4,1.5,1.2,0.4,0.8,2.4,6.2,3.8,0,32.7,10.2,0.2,0,0.4,3.5,0,0.2,59,41,57.8,3.1,17,27.9,13.7,0.4,57.8,RB,0
Frederic Guilbert,2018-2019,23,Caen,0,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0.03,0.3,0.09,1,0,9.1,30.4,44,69.1,0.7,1.9,0.6,0.4,2.7,537.9,224.3,14.9,17.7,84.3,11.5,16.4,70.2,3.4,7.3,23.4,129,66.8,1.8,1.6,0.1,1.4,0.8,26.2,2.7,0.1,0.1,1.6,1.1,50,0.3,0,1.8,1.1,3,2.1,1.3,1.3,1.5,0.6,0.9,2.4,5.4,3.7,0.1,35.5,8.3,0.5,0,0.6,2.8,0,0.2,58,42,57.9,3.5,20.2,27.1,11.2,0.5,57.9,RB,0
Frederic Guilbert,2020-2021,25,Strasbourg,0.1,0.3,0.4,0.1,0,0,0,0,0,0.1,0.2,0.2,0.2,0,0.2,0.04,1.2,0.07,0.25,0.3,26.7,35.9,53.1,67.6,1.1,2.7,1.3,1.1,4.1,716.8,299.5,13.7,16.4,83.3,15.4,20.4,75.5,5.9,12.5,29.6,186.5,100.5,3.2,2.1,0.1,1.6,0.6,32.2,3.9,0.4,0.3,2.3,1.2,47.1,0.2,0.1,1.5,1.1,3,1.5,1.7,1.1,1.1,0.1,1.1,2.7,5.7,2.6,0,40.1,12.8,2.2,0,0.6,5.4,0.6,0.2,53.3,46.7,67.1,3.5,18.9,29.2,20,0.3,67.1,RB,0
Frederic Guilbert,2021-2022,26,Strasbourg,0,0.1,0.1,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0,0,0.04,0.9,0,0,0.2,20.8,36.3,53.6,67.7,1.7,2.6,1.4,0.8,3.9,660.7,254.1,16.7,19.2,87,13.4,19.2,70,5,11.9,31.9,160.5,71.5,1.9,2,0,1.4,0.8,33.4,6,0.2,0.1,3.3,1.8,40.3,0.1,0,0.9,0.8,2.5,1.4,1.1,1.1,1.3,0.4,0.9,2,4.4,1.4,0,38.7,14.7,2.1,0,0.5,7.8,2.2,0.1,52.5,47.5,65.2,2.8,12,29.4,24.6,0.6,65.2,RB,0
Gaëtan Paquiez,2018-2019,24,Nîmes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.2,0,0,0.2,100,34,43.8,77.6,0.6,1.8,0.3,0,2.7,474.4,228.1,21.4,23.8,89.8,10,13.2,75.9,1.2,4.1,19.8,82.8,42.5,0.7,0.6,0.2,1.6,0.5,23,2,0,0,2.2,1.6,50,0.3,0,1.2,0.7,2.9,2,1.6,1.7,1.6,0.4,1.2,1.5,4.4,3.4,0,30.7,13,0.7,0.1,0.1,0.9,0,0.1,53.8,46.2,56.7,3.7,20.6,25.1,11.5,0.4,56.7,CB,0
