Player,Season,Age,Team,Goals,Assist,G+A,Non_penalty_goals,Penalty_kicks-made,Penalty_kicks_attempted,Expected_goals,Non_penalty_xG,Expected_assisted_goals,xG+xAssisted_G,Expected_assists,Non_penalty_expGoals+assisted_goals,Goals-Expected_goals,Assists-expGoals_assisted,Non_penalty_expGoals_perShot,Shot_/90,Goals_per_shot,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_completed,Passes_attempted,Passes_completition%,Passes_toShot,Passes_into_last3rd,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Completed_short_passes,Attempted_short_passes,Short_passes_Cmp%,Completed_medium_passes,Attempted_medium_passes,Medium_pass_Cmp%,Completed_long_passes,Attempted_long_passes,Long_passes_Cmp%,Carries/90,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Received,Prg_passes_received,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Yellow_cards,Red_cards,Fouls_committed,Fouls_drawn,Tackles_on_players,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Mistakes_leadto_shot,Live_ball_passes,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Offsides,Succ_Takes_on%,Tkld_During_Take_On%,Touches/90,Touches_Def_Pen,Touches_Def _3rd,Touches_Mid _3rd,Touches_Att _3rd,Touches_Att_ Pen,Touches_Live,Role,Tier_league
Bouna Sarr,2019-2020,27,Marseille,0,0.1,0.2,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,-0.1,0,0.09,1.2,0.04,0.25,0.2,14.3,45.4,56.4,80.5,0.6,2.2,1,0.5,3.9,612.2,167.1,28.6,31.6,90.4,12.6,15.7,79.9,2,4.4,44,272.9,139,4.3,3.4,0.5,2.2,1.3,44,5.9,0.3,0.2,2,1.4,52.6,0.1,0,1,1.8,2.5,1.5,1.2,1,0.7,0,0.7,1.3,3.8,1.6,0,47.2,9.1,1,0,0.2,4.2,0.4,0,57,43,69.7,1.7,14.1,33.7,23.2,1.5,69.7,RB,0
Bradley Locko,2021-2022,19,Reims,0.1,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.03,0.6,0.14,0.5,0.2,28.6,31.2,40.8,76.4,0.6,2,0.5,0.1,3.5,465.6,173.7,18.1,21.8,82.9,9.3,12.3,75.4,2.3,3.7,29.6,196.8,119.8,2.7,2,0.3,1.2,2,28.7,3.6,0.6,0.5,1.8,1.4,42.9,0.4,0,1.3,1.1,2.5,1.7,1.2,0.9,1.8,0.7,1.1,1.2,3.7,1.3,0,33.8,6.7,0.3,0,0.6,0.9,0,0.3,68.2,31.8,51.6,2,15.7,24.7,12.5,0.7,51.6,LB,0
Brendan Chardonnet,2019-2020,24,Brest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.4,0,,0,0,52.8,60.5,87.3,0.2,4.2,0.2,0,4.6,1168.1,396.6,14.9,15.7,94.4,27.6,29.9,92.3,10.3,13.8,74.6,42.1,220.4,127.6,0.9,0.4,0,0.2,0,47.9,0.2,0,0,0.8,0.7,63.3,0.4,0,0.8,0.5,1.3,0.7,0.8,0.5,0.9,0.5,0.3,1.6,3,5.5,0,59.3,1.2,0,1,0.2,0.2,0,0,100,0,71.2,9.6,38.3,31.9,1.2,0.3,71.2,CB,0
Brendan Chardonnet,2020-2021,25,Brest,0.1,0,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.11,0.7,0.14,0.33,0.3,42.9,45.8,55.9,81.9,0.2,3.8,0.5,0,3.5,997.4,408.1,13,14.4,89.9,24.8,27.1,91.3,7.9,13.3,59.3,41.2,180.7,108.3,1,0.4,0.1,0.3,0.1,45,0.2,0.1,0.1,0.7,0.6,60.8,0.1,0,1,0.8,1.7,1,0.9,0.5,1.8,1.4,0.4,2.1,3.8,5,0,54,1.6,0,0.8,0.1,0.1,0,0.3,100,0,68,10.2,38.4,27.7,2.4,1.2,68,CB,0
Brendan Chardonnet,2021-2022,26,Brest,0.1,0,0.1,0.1,0,0,0,0,0,0.1,0,0.1,0.1,0,0.1,0.5,0.21,0.5,0.2,42.9,35,43.1,81.1,0.3,3.3,0.1,0,2.8,802.8,338.9,8.4,9.3,90.3,18.4,20.1,91.5,7.8,12.5,62,31.3,155.8,86.5,0.3,0.5,0.1,0.2,0,31.3,0.2,0.1,0.1,0.6,0.5,61.4,0.2,0,0.9,0.8,1.5,0.8,1,0.4,1.4,1,0.4,1.8,3.3,4.7,0,40.8,2.2,0,0.8,0.1,0.1,0,0.1,25,75,53.5,8.4,30.2,21.9,1.8,0.6,53.5,CB,0
Cédric Hountondji,2021-2022,27,Clermont Foot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.4,0.13,0.33,0.1,37.5,37,43.7,84.6,0,1.1,0,0,1.9,613.6,228.1,18.3,20.3,90.2,15.4,17.4,88.3,2.4,4.4,30.4,131.5,71.5,0.2,0.1,0,0.1,0,32.8,0,0,0,0.3,0.1,69.7,0.1,0,0.5,0.3,1.5,0.8,0.7,0.4,1,0.5,0.5,1.5,3,3.4,0,42.3,1.4,1.3,0,0.5,0,0,0,,,52.3,5.8,30,21.5,1,0.8,52.3,CB,0
Cédric Yamberé,2017-2018,26,Dijon,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.14,0.3,0.33,0.6,0.2,55.6,34.5,42.3,81.6,0.2,2.5,0.2,0,2.9,716.9,243,11.4,12.9,88.9,17.4,19.1,91,5.1,9,29.2,181.7,122.1,1.1,0.6,0,0.4,0.1,31.4,0.2,0.1,0,0.7,0.5,57,0.2,0.1,0.9,1,1.8,1.3,0.5,0.6,0.8,0.5,0.3,1.7,3.6,4.4,0.2,40.5,1.8,1.6,0,1,0.1,0,0,78.3,21.7,52,4.7,24.7,26,2,0.6,52,CB,0
Cédric Yamberé,2018-2019,27,Dijon,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,0,0.1,0.7,0,0,0.1,18.2,32.6,39.3,82.9,0.1,1.9,0.2,0,1.8,719.4,239,8.1,8.9,90.9,18.4,19.9,92.6,5.7,9.6,26.1,151.3,85.1,0.4,0.3,0,0.4,0.1,28.7,0.1,0.1,0.1,0.6,0.5,44.9,0.1,0,1,1.1,1.5,1,0.7,0.6,1.4,1,0.4,1.7,3.2,4.4,0.1,37.5,1.7,1.6,0,0.8,0.1,0,0.1,85.7,14.3,50.2,5.2,25.3,23.4,1.8,1.1,50.2,CB,0
Caio Henrique Oliveira Silva,2020-2021,23,Monaco,0,0.2,0.2,0,0,0,0,0,0,0.1,0.2,0.1,0.2,0,0,0.1,0.2,0,0,0,20,44.7,56.6,79,1,2.7,1.5,0.4,3.6,717.6,200.5,22.2,24.9,89.1,19.3,24.3,79.4,2.3,4.9,35.2,198,120.7,3.2,2.3,0.5,1.4,0.3,39.3,7,0.4,0.3,2.2,1.7,40.4,0,0,0.3,0.5,1.9,1.3,1.2,0.8,0.8,0.1,0.6,0.6,2.5,1.4,0,45.4,11.1,1,0,0.2,3,0,0.1,63,37,63.7,1.4,14.8,29,20.7,1.5,63.7,LB,1
Caio Henrique Oliveira Silva,2021-2022,24,Monaco,0.1,0.3,0.3,0.1,0,0,0,0,0,0.2,0.3,0.2,0.3,0,0.1,0.05,0.6,0.11,0.33,0.2,31.6,47.5,63.3,75,1.5,3.5,1.5,0.4,5.3,764.9,265.4,24.3,27.4,88.7,18.7,24.5,76.5,3.3,8.1,42.5,244.9,136.7,2.7,2.6,0.4,1.2,0.2,43.3,7,0.4,0.3,3.1,2.1,32.5,0.2,0,0.6,0.7,1.8,1,0.9,1,1,0.2,0.8,0.9,2.7,1.3,0.1,51.3,11.7,1.8,0,0.3,4.3,1.2,0.3,37.5,62.5,71.4,2.5,17.6,31.9,22.6,1.7,71.4,LB,1
